Posn_Id,Skill_Id,Play_Id,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Gk_Diving,Gk_Handling,Gk_Kicking,Gk_Positioning,Gk_Reflexes
8087959,9078949,212198,84,74,58,85,84,83,86,85,84,86,79,76,77,84,78,87,72,91,67,88,66,71,81,86,82,84,66,66,57,12,14,15,8,14
8087960,9078950,212462,89,65,74,83,67,82,87,79,86,82,84,85,73,83,70,80,81,92,68,75,78,80,76,74,73,80,80,81,79,13,8,12,11,14
8087961,9078951,216460,47,37,81,68,30,47,36,44,58,56,69,70,56,76,43,72,90,67,85,48,89,85,24,27,38,73,88,86,87,9,11,7,10,15
8087962,9078952,216594,83,82,49,83,77,90,81,79,75,89,79,79,84,80,91,84,69,77,82,82,73,28,81,81,76,89,31,37,25,15,9,8,14,15
8087963,9078953,220793,36,40,80,77,28,63,30,27,67,73,72,79,60,80,55,66,73,76,83,44,87,82,34,49,44,75,84,85,88,9,7,10,6,15
8087964,9078954,220834,82,80,57,83,79,85,83,76,81,85,85,82,79,82,76,86,58,76,61,88,45,45,82,82,62,83,40,42,39,13,9,6,12,10
8087965,9078955,231443,81,78,43,79,76,91,82,64,70,83,94,93,90,82,85,83,59,76,52,76,54,36,79,84,75,82,42,30,33,6,6,14,10,13
8087966,9078956,41,77,69,54,90,75,88,80,70,84,91,70,66,79,84,84,67,47,58,58,70,58,65,78,93,71,89,68,57,56,6,13,6,13,7
8087967,9078957,41236,73,86,83,79,86,79,82,82,73,84,58,59,75,82,39,90,68,61,86,82,84,20,85,79,89,90,28,37,24,13,15,10,9,12
8087968,9078958,205498,75,57,56,89,71,82,75,76,87,85,70,61,77,82,73,71,58,79,66,62,79,76,68,87,84,79,62,77,70,14,7,13,14,8
8087969,9078959,205678,80,80,45,82,74,82,74,60,71,82,90,89,93,80,88,79,69,84,58,77,47,52,83,77,75,82,55,40,40,8,14,14,12,16
8087970,9078960,206113,74,81,46,79,83,87,64,62,68,83,92,90,86,81,88,85,64,68,68,81,63,38,80,74,68,74,45,48,45,14,10,10,9,7
8087971,9078961,207410,73,62,42,87,76,88,78,68,82,89,84,74,85,74,85,79,63,82,65,75,77,76,71,88,59,81,69,74,63,9,5,6,7,7
8087972,9078962,207566,68,52,73,81,50,78,79,50,84,80,62,67,51,75,51,70,69,85,92,59,78,81,64,81,60,89,82,83,67,6,6,5,14,14
8087973,9078963,207863,45,39,81,74,44,57,32,30,67,62,60,67,52,77,57,46,90,78,86,41,92,81,34,50,47,75,85,85,79,9,11,14,9,7
8087974,9078964,208418,78,79,53,77,68,88,81,78,71,87,89,87,88,83,71,84,68,74,59,75,61,18,81,71,74,75,58,39,26,9,11,9,10,10
8087975,9078965,208618,83,72,56,83,58,82,82,71,75,82,86,82,86,85,84,80,68,90,57,76,72,62,82,83,56,75,62,62,61,9,16,9,9,7
8087976,9078966,208808,79,86,60,78,69,84,75,76,73,82,90,91,87,82,79,82,82,83,61,83,60,33,79,81,74,78,36,30,32,10,13,6,7,13
8087977,9078967,209658,75,73,80,84,68,81,76,75,79,83,84,79,76,84,70,78,74,86,72,80,80,82,79,82,60,80,72,76,74,13,8,15,11,9
8087978,9078968,210008,70,69,77,85,72,79,73,59,83,83,73,74,79,83,72,80,73,82,80,79,76,80,76,80,67,84,70,81,75,9,12,9,7,15
8087979,9078969,210413,36,30,77,72,28,65,36,24,71,70,63,69,60,78,53,64,78,75,81,46,85,86,31,45,34,76,88,86,82,9,14,12,8,9
8087980,9078970,210514,86,58,64,79,62,85,83,69,75,84,91,91,78,83,74,80,73,90,66,66,73,77,78,74,46,77,79,79,79,6,9,15,14,14
8087981,9078971,212523,78,80,77,81,76,82,86,87,79,84,77,76,76,79,65,84,58,76,72,88,67,58,86,81,71,74,55,62,42,13,11,13,12,10
8087982,9078972,213345,81,77,52,77,77,88,84,70,63,83,95,93,88,82,84,78,75,76,63,73,36,23,79,75,70,75,29,17,15,5,3,5,3,5
8087983,9078973,213565,83,75,54,84,76,85,85,81,75,86,86,84,87,79,86,79,71,79,63,78,63,66,78,84,68,80,55,59,63,11,15,13,7,14
8087984,9078974,213331,35,20,80,74,24,55,30,27,69,64,64,77,48,81,44,44,72,63,93,25,76,80,27,61,38,75,80,87,84,11,8,7,9,14
8087985,9078975,216409,80,74,40,80,75,84,79,77,76,84,85,86,90,79,82,78,50,79,45,82,63,38,77,75,70,79,63,29,29,11,12,6,8,11
8087986,9078976,220440,36,23,80,78,24,60,25,27,69,76,72,73,62,81,60,58,85,73,80,35,80,82,50,60,43,78,85,84,80,10,10,9,12,7
8087987,9078977,221087,24,19,15,38,17,18,23,21,41,16,45,52,40,74,57,21,71,42,52,18,39,16,20,62,25,62,19,20,11,81,83,79,83,83
8087988,9078978,221992,75,77,58,74,75,84,72,65,67,81,94,93,91,82,76,76,67,80,59,76,64,45,78,75,64,77,42,35,29,11,10,14,14,10
8087989,9078979,222737,79,75,57,80,71,85,77,81,73,85,87,82,92,79,84,85,58,74,64,85,53,26,78,81,68,78,21,28,17,8,14,15,7,9
8087990,9078980,223959,74,50,59,83,65,78,70,78,77,81,81,74,85,79,93,78,52,85,66,74,86,86,65,74,48,78,84,84,77,5,5,13,7,9
8087991,9078981,224411,78,75,60,77,71,86,76,70,69,81,89,90,85,80,78,81,65,75,62,77,67,50,77,77,69,80,24,34,30,9,12,11,9,9
8087992,9078982,226226,75,77,59,82,69,84,82,72,84,84,77,79,82,80,81,80,64,80,69,76,65,65,79,84,60,79,61,67,67,10,7,10,15,14
8087993,9078983,226271,72,79,67,80,67,83,75,59,80,83,69,67,73,79,66,75,46,75,70,83,68,77,80,84,67,77,70,78,75,16,11,7,13,13
8087994,9078984,228702,75,52,64,87,64,86,82,64,82,88,80,78,84,83,78,68,76,74,69,57,64,78,66,85,45,86,69,73,70,7,13,10,10,9
8087995,9078985,230168,10,8,11,18,8,9,9,18,16,21,41,42,34,82,41,21,67,29,79,7,34,23,27,71,14,67,20,17,13,79,84,77,83,78
8087996,9078986,230225,40,56,83,67,63,60,72,58,58,64,68,74,61,78,63,74,91,76,79,61,86,82,58,50,62,70,77,85,84,18,12,14,11,18
8087997,9078987,230258,61,53,70,82,57,77,54,57,78,76,80,81,72,80,80,60,43,93,68,59,75,82,58,77,77,81,83,86,80,15,14,14,10,9
8087998,9078988,230658,70,72,58,86,63,83,68,60,80,84,68,70,79,81,90,76,78,78,62,74,73,75,77,84,69,86,65,76,70,6,13,13,11,12
8087999,9078989,231866,63,64,75,84,59,77,65,54,80,82,70,66,69,80,72,70,69,82,75,76,63,81,75,83,46,83,71,79,74,10,10,7,14,8
8088000,9078990,183498,70,70,75,80,76,75,67,55,83,79,68,69,67,82,71,87,77,88,77,86,80,80,82,78,45,78,78,80,82,13,9,6,7,9
8088001,9078991,183574,81,83,63,84,80,82,80,69,80,85,69,67,74,85,76,81,65,71,72,79,63,41,85,84,91,86,57,38,34,12,7,5,13,9
8088002,9078992,183711,81,67,65,84,72,73,80,74,84,80,67,66,68,80,70,77,79,91,72,71,77,80,75,83,64,78,77,79,76,7,13,7,9,13
8088003,9078993,184144,80,71,54,81,81,84,88,72,75,83,84,79,87,82,81,72,81,69,46,73,69,40,77,82,71,80,35,42,43,8,11,9,7,5
8088004,9078994,184200,78,78,74,78,79,84,79,72,74,85,79,83,69,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39,14,15,10,10,15
8088005,9078995,184431,72,78,34,80,75,86,90,93,76,86,88,80,94,83,91,80,34,77,42,81,75,26,83,78,73,82,23,29,28,6,3,6,3,3
8088006,9078996,184484,86,77,60,85,75,80,87,86,80,85,58,55,68,78,63,83,68,86,68,86,57,55,79,86,79,85,57,57,55,13,8,10,15,12
8088007,9078997,184942,77,77,59,82,65,82,67,71,80,84,85,77,85,81,85,78,61,82,74,76,72,42,81,80,79,82,49,43,38,16,11,13,9,8
8088008,9078998,185122,16,10,23,29,10,19,18,11,25,25,42,44,41,75,50,23,67,35,68,12,34,23,11,36,24,45,25,16,20,83,82,80,79,84
8088009,9078999,185221,63,48,72,79,54,68,42,60,76,73,63,62,65,83,62,78,76,85,81,73,88,83,53,69,58,84,82,81,84,10,6,11,12,13
8088010,9079000,186345,91,48,73,79,54,75,87,83,78,81,76,75,74,80,74,75,73,88,65,70,70,79,75,80,66,73,77,82,79,11,14,8,11,10
8088011,9079001,186561,75,74,58,84,79,81,70,66,80,82,65,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67,6,11,5,10,8
8088012,9079002,186627,68,83,67,78,78,81,78,78,66,85,75,80,71,68,50,89,74,66,86,79,70,30,78,74,92,81,10,22,20,2,2,2,4,2
8088013,9079003,187754,76,79,53,81,68,87,82,72,73,88,85,82,92,77,84,77,68,78,62,78,58,51,77,82,80,84,45,49,42,6,13,13,8,9
8088014,9079004,188803,73,76,56,77,82,87,52,73,75,85,93,91,90,79,83,83,62,79,62,83,56,49,74,79,72,82,38,53,40,7,7,11,15,13
8088015,9079005,189125,82,70,70,84,78,83,78,78,80,85,75,77,77,82,77,84,69,84,66,86,68,72,78,82,68,82,74,72,68,10,14,7,15,14
8088016,9079006,201455,65,69,75,81,62,78,62,56,79,83,69,76,76,83,67,86,81,78,91,80,82,79,77,79,45,82,78,82,82,15,10,10,8,10
8088017,9079007,202562,81,64,71,77,57,79,75,56,70,79,87,85,77,76,78,75,73,84,77,65,75,77,71,71,51,75,75,84,79,9,7,13,8,15
8088018,9079008,202685,52,80,79,71,81,77,71,56,45,79,77,79,76,78,69,85,89,76,88,72,87,40,83,66,79,72,54,42,50,7,13,9,7,9
8088019,9079009,203890,82,44,73,77,53,74,70,57,70,79,78,79,67,79,72,75,85,87,73,58,75,80,65,68,52,67,79,81,77,15,11,10,10,12
8088020,9079010,204024,61,46,58,80,58,71,54,51,72,81,52,52,66,85,54,54,51,93,69,42,78,81,70,73,47,78,80,80,76,8,13,9,6,8
8088021,9079011,204884,87,33,65,80,31,80,80,34,69,79,77,86,68,80,70,79,71,81,81,65,75,79,77,76,50,79,78,79,81,7,7,9,15,9
8088022,9079012,204923,70,79,56,79,78,79,74,63,67,81,83,77,75,85,79,86,75,84,76,81,70,55,81,79,65,75,58,55,51,11,13,14,15,13
8088023,9079013,205362,46,30,77,73,32,43,72,68,69,65,65,77,65,80,59,44,81,62,78,22,78,78,30,55,52,80,83,83,87,11,16,11,15,13
8088024,9079014,206467,78,82,73,76,81,78,78,74,68,79,78,77,79,81,78,83,75,82,77,81,63,39,83,78,65,76,29,40,30,11,15,16,12,15
8088025,9079015,207862,68,55,85,77,53,62,44,42,71,72,55,69,55,79,49,74,65,74,82,46,69,80,55,69,67,71,83,84,77,12,10,6,8,10
8088026,9079016,208093,61,78,80,75,79,78,69,56,56,80,76,79,70,81,69,80,73,77,74,77,55,40,83,58,75,72,43,41,41,15,12,7,12,10
8088027,9079017,208135,68,73,66,82,68,78,41,42,74,80,63,70,60,77,69,84,72,93,81,75,78,82,73,77,54,74,79,83,75,15,12,12,15,14
8088028,9079018,209889,85,75,52,84,79,83,84,82,77,84,82,68,88,83,86,79,63,74,49,82,69,84,77,79,44,78,67,70,77,12,6,8,11,8
8088029,9079019,210243,81,62,64,80,56,83,78,45,78,79,88,87,82,81,77,68,74,84,60,62,75,81,75,76,60,81,76,83,76,16,12,15,11,11
8088030,9079020,210617,80,76,43,80,58,84,78,75,76,82,85,86,83,82,78,78,63,55,50,72,48,50,80,80,59,71,45,43,25,13,16,15,8,14
8088031,9079021,212194,77,77,42,81,66,87,72,59,68,85,78,84,82,80,78,80,63,73,69,78,42,29,78,82,54,69,38,20,24,11,16,11,8,9
8088032,9079022,226110,69,80,57,72,68,85,79,65,63,81,90,91,90,79,79,80,68,78,61,73,43,25,78,80,85,78,28,27,25,11,14,11,6,8
8088033,9079023,225953,73,74,55,76,67,87,76,66,53,84,88,89,79,71,89,78,71,78,79,74,44,30,77,75,59,76,47,31,26,11,14,12,14,13
8088034,9079024,226753,15,12,20,33,13,26,30,17,26,38,64,62,68,78,53,21,80,39,67,17,29,15,11,62,27,57,12,18,14,83,79,85,75,80
8088035,9079025,228229,33,31,82,71,24,47,30,34,56,56,56,65,42,77,42,71,73,76,84,34,82,80,27,45,48,74,82,82,76,9,13,15,9,15
8088036,9079026,228941,59,83,77,69,79,77,69,33,58,80,77,78,77,81,72,76,84,77,74,60,76,55,84,68,80,75,28,40,35,14,13,7,11,8
8088037,9079027,230142,81,78,44,80,64,84,69,71,73,85,72,75,70,81,70,73,58,72,59,79,42,29,80,79,52,70,50,32,30,10,6,10,13,11
8088038,9079028,230234,75,58,59,78,58,75,48,73,75,77,69,68,78,78,77,72,67,89,71,64,81,79,54,73,61,68,80,81,77,9,9,14,15,8
8088039,9079029,230347,82,51,69,78,47,77,83,52,71,78,78,80,83,80,81,55,71,89,68,53,69,77,72,75,61,82,70,77,81,16,15,15,7,7
8088040,9079030,231943,69,79,75,75,64,84,71,65,59,80,83,86,78,78,74,80,80,78,77,64,82,35,79,72,69,78,46,44,36,12,7,8,11,13
8088041,9079031,234035,81,45,73,77,48,69,69,30,70,77,80,82,78,77,79,58,71,80,63,59,63,75,68,63,62,69,83,79,80,11,12,10,5,14
8088042,9079032,234153,79,74,56,84,66,80,69,82,77,82,75,77,75,80,73,77,59,78,65,73,49,68,76,83,73,76,60,65,56,6,14,7,13,11
8088043,9079033,234906,68,72,54,84,68,84,78,59,78,82,79,79,81,78,81,61,61,79,61,67,69,66,73,84,63,82,64,64,63,14,6,11,7,10
8088044,9079034,235569,67,59,56,83,59,86,67,63,79,84,84,76,83,80,84,80,63,78,78,70,81,73,70,79,60,84,66,73,69,8,10,13,8,7
8088045,9079035,239207,56,85,81,76,76,76,68,53,58,77,61,65,45,77,53,79,73,71,80,76,65,21,83,60,67,77,35,20,23,7,8,13,12,6
8088046,9079036,45186,86,80,59,83,68,85,86,77,84,83,72,66,72,82,72,74,33,54,65,76,53,35,81,85,75,80,41,47,39,9,14,6,10,11
8088047,9079037,112316,79,52,80,73,61,65,82,79,77,62,68,74,52,74,43,80,65,78,89,74,72,82,58,58,72,76,86,84,82,13,14,10,9,5
8088048,9079038,197061,54,36,82,77,50,65,63,22,74,69,55,69,55,78,47,66,66,73,77,48,75,83,51,72,42,75,80,84,78,11,15,10,7,10
8088049,9079039,197853,83,54,75,78,47,76,69,30,72,79,79,78,73,81,76,71,94,77,74,58,86,79,72,71,64,75,75,81,82,7,10,15,16,9
8088050,9079040,198118,52,49,85,78,49,63,42,53,75,74,65,72,53,79,50,78,76,77,82,66,81,83,61,67,50,75,80,82,82,14,8,14,10,15
8088051,9079041,198784,78,69,39,80,58,84,73,60,75,84,84,85,81,78,88,80,69,82,72,76,77,72,79,81,69,77,67,70,66,16,9,6,9,9
8088052,9079042,199005,23,11,14,40,15,13,23,12,45,24,53,52,53,73,50,35,78,34,68,18,36,23,10,68,25,64,10,20,17,81,75,82,78,83
8088053,9079043,199069,57,80,77,75,81,81,80,67,68,80,76,83,72,76,63,81,78,82,85,75,77,33,80,81,76,86,44,23,19,8,10,9,7,8
8088054,9079044,199110,62,78,65,75,75,85,77,60,55,83,86,89,85,79,80,80,62,74,77,65,50,16,81,73,74,75,26,24,22,8,10,10,14,6
8088055,9079045,199206,65,41,79,66,36,53,44,35,60,66,70,80,64,75,63,54,79,76,77,22,83,81,43,50,51,78,85,79,83,16,13,10,9,8
8088056,9079046,199416,79,79,47,77,75,82,85,81,78,81,79,77,79,75,78,83,66,75,66,79,63,45,78,80,65,67,73,58,55,14,8,13,7,11
8088057,9079047,200315,78,74,47,77,75,82,81,72,70,81,92,89,82,72,79,79,72,73,58,71,48,33,74,74,56,71,55,30,26,15,12,9,7,13
8088058,9079048,201119,80,60,59,81,55,83,65,50,67,81,84,80,72,81,82,75,59,88,75,73,63,79,82,71,51,79,77,74,75,8,8,14,11,10
8088059,9079049,201143,78,41,83,79,49,66,67,49,75,74,67,68,78,78,65,52,82,69,74,49,69,84,67,68,35,74,79,82,84,15,16,9,10,14
8088060,9079050,201325,13,15,15,37,11,16,11,11,37,19,50,47,51,74,38,14,66,42,73,12,33,26,13,48,16,45,12,15,12,81,77,76,79,83
8088061,9079051,201377,56,37,76,68,54,58,38,26,62,64,75,76,77,73,72,68,89,72,80,13,88,81,45,54,46,73,77,80,82,14,13,8,11,14
8088062,9079052,202335,67,52,82,77,51,65,60,74,78,70,62,68,52,78,38,82,77,78,89,72,91,81,53,67,70,77,82,81,83,11,14,6,13,9
8088063,9079053,203042,11,16,12,40,12,21,12,14,30,36,58,55,55,73,50,29,76,40,79,13,40,27,16,40,42,62,23,13,11,82,75,70,79,84
8088064,9079054,49031,11,10,10,36,18,14,14,11,34,20,34,40,52,67,48,21,74,28,74,13,22,25,10,34,20,66,25,10,13,81,82,66,82,79
8088065,9079055,54050,73,80,75,81,83,74,84,83,82,80,65,65,66,82,77,85,74,74,78,80,81,56,80,82,81,86,57,55,40,10,11,13,8,7
8088066,9079056,110677,11,11,12,31,13,13,16,12,35,24,46,34,54,74,49,21,62,30,57,16,22,11,10,68,11,60,15,14,14,84,77,81,80,79
8088067,9079057,142707,66,85,79,72,74,78,78,73,70,80,77,83,84,77,80,77,84,77,75,75,61,52,82,72,82,84,35,58,34,8,10,11,13,6
8088068,9079058,142754,63,42,66,79,51,58,63,50,75,80,69,62,72,79,78,76,80,76,72,55,88,85,51,68,60,81,78,81,82,6,10,8,5,5
8088069,9079059,144622,78,78,63,83,83,87,79,77,76,85,69,61,83,81,83,77,70,62,62,74,66,45,82,81,72,79,43,42,31,12,10,5,13,14
8088070,9079060,146748,11,12,10,28,14,11,10,11,23,23,34,52,48,78,47,22,68,42,66,11,36,16,11,53,21,62,16,13,14,75,82,74,82,76
8088071,9079061,146760,81,54,59,77,49,75,80,59,66,78,74,83,74,82,63,68,68,80,74,53,78,76,68,72,66,74,75,81,80,11,14,10,15,7
8088072,9079062,147782,66,61,63,82,60,73,62,54,74,78,67,65,77,76,76,71,70,85,64,63,88,80,64,74,62,77,81,81,73,13,7,15,13,12
8088073,9079063,148119,19,13,18,23,10,15,19,13,22,22,51,50,53,71,45,24,62,35,72,13,24,17,11,59,10,67,18,13,13,77,72,78,82,84
8088074,9079064,153244,72,83,78,71,78,73,77,70,68,72,71,68,66,78,59,84,72,71,90,79,80,51,81,72,78,80,33,41,23,10,15,14,11,11
8088075,9079065,156713,49,51,81,73,37,49,36,40,67,63,46,49,55,76,36,74,64,67,83,59,81,82,54,49,79,78,82,83,79,7,9,12,10,15
8088076,9079066,157960,77,70,62,80,69,86,79,70,72,83,83,76,82,76,76,81,74,72,71,82,68,68,75,77,73,77,62,69,68,14,14,9,16,8
8088077,9079067,158625,58,47,80,74,44,57,51,55,76,74,38,41,52,76,64,64,65,62,81,53,74,79,41,62,57,78,80,82,80,14,8,10,6,13
8088078,9079068,159147,65,55,81,74,44,62,59,51,77,73,59,60,63,76,72,65,81,71,78,61,77,83,58,63,68,80,77,84,82,6,7,12,11,14
8088079,9079069,161956,78,67,60,89,70,82,78,76,85,86,55,52,72,81,78,72,67,69,66,70,52,70,69,86,72,83,65,66,62,5,4,10,8,7
8088080,9079070,208330,82,71,42,79,67,85,80,65,74,82,84,76,85,76,71,74,61,68,59,71,41,36,76,80,60,74,30,22,22,15,10,11,12,7
8088081,9079071,208334,79,55,71,78,51,74,65,65,74,77,75,77,67,80,67,69,66,82,76,61,71,81,62,72,65,78,76,79,79,9,10,10,12,14
8088082,9079072,208498,50,82,75,73,73,76,74,66,63,77,74,76,77,78,71,76,89,81,78,66,39,19,82,64,74,69,22,37,27,13,12,10,15,11
8088083,9079073,208777,73,66,52,82,63,84,77,64,78,83,72,65,78,78,78,65,62,78,38,69,58,67,76,80,64,82,66,66,62,7,7,14,6,8
8088084,9079074,209981,15,14,14,39,13,20,12,19,44,12,37,34,38,78,29,25,48,43,69,19,25,12,10,60,24,57,20,18,15,76,79,77,77,78
8088085,9079075,210324,81,69,40,79,62,80,69,71,72,79,78,76,78,79,77,68,61,82,60,68,43,57,78,77,68,71,49,44,40,6,6,10,10,10
8088086,9079076,210411,78,67,56,77,63,84,74,72,74,83,76,74,86,80,82,67,57,68,54,68,73,46,76,79,72,80,52,41,27,11,12,9,10,15
8088087,9079077,210455,78,43,70,74,44,74,62,54,59,77,77,78,72,72,78,68,75,83,64,45,82,80,65,66,46,73,77,80,82,7,10,12,10,6
8088088,9079078,212501,75,66,78,79,71,69,72,71,78,74,61,68,59,73,58,86,67,89,87,76,74,78,71,76,44,75,76,78,76,14,8,14,14,6
8088089,9079079,213160,69,65,70,81,55,82,65,65,79,82,74,78,70,79,65,65,63,90,63,67,70,75,64,72,57,77,81,79,76,10,8,13,15,9
8088090,9079080,213516,77,74,51,76,82,80,78,70,69,81,78,75,85,81,85,78,62,80,45,71,64,55,81,76,71,69,32,44,35,7,9,10,8,13
8088091,9079081,213874,67,63,59,82,60,78,67,77,81,81,74,82,78,78,74,81,68,84,66,79,80,76,70,80,60,79,73,77,76,14,9,12,13,8
