Sn,Id,Ls,St,Rs,Lw,Lf,Cf,Rf,Rw,Lam,Cam,Ram,Lm,Lcm,Cm,Rcm,Rm,Lwb,Ldm,Cdm,Rdm,Rwb,Lb,Lcb,Cb,Rcb,Rb,Original_Position
15,209331,84+3,84+3,84+3,87+3,87+3,87+3,87+3,87+3,87+3,87+3,87+3,86+3,81+3,81+3,81+3,86+3,70+3,66+3,66+3,66+3,70+3,66+3,57+3,57+3,57+3,66+3,"RW,ST"
16,211110,83+3,83+3,83+3,87+3,86+3,86+3,86+3,87+3,87+3,87+3,87+3,86+3,79+3,79+3,79+3,86+3,62+3,58+3,58+3,58+3,62+3,56+3,45+3,45+3,45+3,56+3,"CAM,RW"
17,232363,58+2,58+2,58+2,57+2,57+2,57+2,57+2,57+2,59+2,59+2,59+2,60+2,66+2,66+2,66+2,60+2,74+2,79+2,79+2,79+2,74+2,77+2,84+2,84+2,84+2,77+2,CB
18,135507,75+3,75+3,75+3,75+3,76+3,76+3,76+3,75+3,77+3,77+3,77+3,76+3,81+3,81+3,81+3,76+3,81+3,84+3,84+3,84+3,81+3,80+3,82+3,82+3,82+3,80+3,CDM
19,167664,84+3,84+3,84+3,80+3,82+3,82+3,82+3,80+3,79+3,79+3,79+3,78+3,71+3,71+3,71+3,78+3,55+3,53+3,53+3,53+3,55+3,51+3,48+3,48+3,48+3,51+3,ST
20,168651,77+3,77+3,77+3,80+3,80+3,80+3,80+3,80+3,82+3,82+3,82+3,81+3,84+3,84+3,84+3,81+3,78+3,80+3,80+3,80+3,78+3,76+3,73+3,73+3,73+3,76+3,"CM,CDM"
21,172871,69+3,69+3,69+3,69+3,70+3,70+3,70+3,69+3,70+3,70+3,70+3,71+3,75+3,75+3,75+3,71+3,79+3,82+3,82+3,82+3,79+3,80+3,84+3,84+3,84+3,80+3,CB
22,175943,78+3,78+3,78+3,86+3,85+3,85+3,85+3,86+3,86+3,86+3,86+3,85+3,78+3,78+3,78+3,85+3,65+3,60+3,60+3,60+3,65+3,60+3,46+3,46+3,46+3,60+3,"CF,ST"
23,176676,81+3,81+3,81+3,85+3,84+3,84+3,84+3,85+3,84+3,84+3,84+3,85+3,84+3,84+3,84+3,85+3,84+3,82+3,82+3,82+3,84+3,83+3,80+3,80+3,80+3,83+3,LB
24,184087,66+3,66+3,66+3,65+3,67+3,67+3,67+3,65+3,68+3,68+3,68+3,68+3,75+3,75+3,75+3,68+3,78+3,83+3,83+3,83+3,78+3,80+3,84+3,84+3,84+3,80+3,CB
25,189332,76+3,76+3,76+3,82+3,79+3,79+3,79+3,82+3,80+3,80+3,80+3,83+3,80+3,80+3,80+3,83+3,85+3,80+3,80+3,80+3,85+3,84+3,78+3,78+3,78+3,84+3,LB
26,189509,76+3,76+3,76+3,82+3,82+3,82+3,82+3,82+3,84+3,84+3,84+3,82+3,84+3,84+3,84+3,82+3,77+3,77+3,77+3,77+3,77+3,74+3,69+3,69+3,69+3,74+3,"CM,CAM,CDM"
27,192387,84+3,84+3,84+3,79+3,82+3,82+3,82+3,79+3,78+3,78+3,78+3,77+3,70+3,70+3,70+3,77+3,60+3,58+3,58+3,58+3,60+3,58+3,55+3,55+3,55+3,58+3,ST
28,193041,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
29,197781,76+3,76+3,76+3,83+3,82+3,82+3,82+3,83+3,85+3,85+3,85+3,82+3,82+3,82+3,82+3,82+3,71+3,72+3,72+3,72+3,71+3,68+3,63+3,63+3,63+3,68+3,"CAM,CM,LW"
30,198710,80+3,80+3,80+3,84+3,83+3,83+3,83+3,84+3,85+3,85+3,85+3,83+3,81+3,81+3,81+3,83+3,69+3,68+3,68+3,68+3,69+3,65+3,58+3,58+3,58+3,65+3,"CAM,CM,RM"
31,200145,74+3,74+3,74+3,71+3,74+3,74+3,74+3,71+3,75+3,75+3,75+3,72+3,79+3,79+3,79+3,72+3,78+3,84+3,84+3,84+3,78+3,79+3,84+3,84+3,84+3,79+3,CDM
32,201399,84+3,84+3,84+3,76+3,81+3,81+3,81+3,76+3,76+3,76+3,76+3,74+3,68+3,68+3,68+3,74+3,53+3,53+3,53+3,53+3,53+3,52+3,51+3,51+3,51+3,52+3,ST
33,206585,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
34,208670,74+3,74+3,74+3,80+3,79+3,79+3,79+3,80+3,82+3,82+3,82+3,81+3,82+3,82+3,82+3,81+3,71+3,72+3,72+3,72+3,71+3,67+3,60+3,60+3,60+3,67+3,"CAM,RW"
35,209499,73+3,73+3,73+3,75+3,75+3,75+3,75+3,75+3,76+3,76+3,76+3,77+3,80+3,80+3,80+3,77+3,82+3,83+3,83+3,83+3,82+3,82+3,82+3,82+3,82+3,82+3,CDM
36,211300,82+3,82+3,82+3,83+3,83+3,83+3,83+3,83+3,81+3,81+3,81+3,81+3,74+3,74+3,74+3,81+3,64+3,60+3,60+3,60+3,64+3,61+3,54+3,54+3,54+3,61+3,"LW,ST,LM"
37,212188,82+3,82+3,82+3,81+3,81+3,81+3,81+3,81+3,78+3,78+3,78+3,80+3,70+3,70+3,70+3,80+3,61+3,55+3,55+3,55+3,61+3,57+3,49+3,49+3,49+3,57+3,ST
38,212190,56+2,56+2,56+2,49+2,52+2,52+2,52+2,49+2,52+2,52+2,52+2,52+2,60+2,60+2,60+2,52+2,69+2,75+2,75+2,75+2,69+2,73+2,81+2,81+2,81+2,73+2,CB
39,212198,78+2,78+2,78+2,82+2,82+2,82+2,82+2,82+2,83+2,83+2,83+2,83+2,83+2,83+2,83+2,83+2,77+2,76+2,76+2,76+2,77+2,74+2,68+2,68+2,68+2,74+2,"CAM,CM"
40,212462,76+3,76+3,76+3,79+3,78+3,78+3,78+3,79+3,79+3,79+3,79+3,81+3,81+3,81+3,81+3,81+3,83+3,81+3,81+3,81+3,83+3,82+3,78+3,78+3,78+3,82+3,LB
41,216460,56+2,56+2,56+2,51+2,51+2,51+2,51+2,51+2,50+2,50+2,50+2,53+2,56+2,56+2,56+2,53+2,71+2,73+2,73+2,73+2,71+2,74+2,83+2,83+2,83+2,74+2,CB
42,216594,79+3,79+3,79+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,77+3,77+3,77+3,83+3,62+3,60+3,60+3,60+3,62+3,56+3,50+3,50+3,50+3,56+3,CAM
43,220793,61+2,61+2,61+2,59+2,60+2,60+2,60+2,59+2,61+2,61+2,61+2,62+2,66+2,66+2,66+2,62+2,74+2,78+2,78+2,78+2,74+2,76+2,82+2,82+2,82+2,76+2,CB
44,220834,79+3,79+3,79+3,83+3,82+3,82+3,82+3,83+3,83+3,83+3,83+3,82+3,78+3,78+3,78+3,82+3,66+3,63+3,63+3,63+3,66+3,62+3,52+3,52+3,52+3,62+3,"LW,RW"
45,231443,76+3,76+3,76+3,84+3,82+3,82+3,82+3,84+3,82+3,82+3,82+3,83+3,75+3,75+3,75+3,83+3,64+3,58+3,58+3,58+3,64+3,59+3,47+3,47+3,47+3,59+3,"RW,LW"
46,41,73+3,73+3,73+3,81+3,80+3,80+3,80+3,81+3,84+3,84+3,84+3,81+3,82+3,82+3,82+3,81+3,71+3,73+3,73+3,73+3,71+3,68+3,63+3,63+3,63+3,68+3,"CM,LM"
47,41236,82+4,82+4,82+4,77+4,80+4,80+4,80+4,77+4,79+4,79+4,79+4,76+4,73+4,73+4,73+4,76+4,55+4,57+4,57+4,57+4,55+4,51+4,52+4,52+4,52+4,51+4,ST
48,205498,69+2,69+2,69+2,75+2,75+2,75+2,75+2,75+2,79+2,79+2,79+2,78+2,82+2,82+2,82+2,78+2,76+2,79+2,79+2,79+2,76+2,74+2,71+2,71+2,71+2,74+2,CM
49,205678,76+2,76+2,76+2,82+2,80+2,80+2,80+2,82+2,81+2,81+2,81+2,81+2,76+2,76+2,76+2,81+2,69+2,64+2,64+2,64+2,69+2,64+2,54+2,54+2,54+2,64+2,"RM,RW"
50,206113,78+2,78+2,78+2,82+2,81+2,81+2,81+2,82+2,81+2,81+2,81+2,80+2,74+2,74+2,74+2,80+2,65+2,62+2,62+2,62+2,65+2,62+2,54+2,54+2,54+2,62+2,"LM,RM,CAM,LW"
51,207410,71+3,71+3,71+3,79+3,78+3,78+3,78+3,79+3,82+3,82+3,82+3,80+3,82+3,82+3,82+3,80+3,76+3,78+3,78+3,78+3,76+3,74+3,69+3,69+3,69+3,74+3,CM
52,207566,68+3,68+3,68+3,70+3,71+3,71+3,71+3,70+3,73+3,73+3,73+3,73+3,78+3,78+3,78+3,73+3,76+3,80+3,80+3,80+3,76+3,75+3,79+3,79+3,79+3,75+3,"CDM,CM"
53,207863,56+3,56+3,56+3,55+3,55+3,55+3,55+3,55+3,57+3,57+3,57+3,58+3,64+3,64+3,64+3,58+3,71+3,76+3,76+3,76+3,71+3,73+3,81+3,81+3,81+3,73+3,CB
54,208418,78+3,78+3,78+3,82+3,81+3,81+3,81+3,82+3,80+3,80+3,80+3,81+3,73+3,73+3,73+3,81+3,62+3,58+3,58+3,58+3,62+3,58+3,50+3,50+3,50+3,58+3,LM
55,208618,75+2,75+2,75+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,82+2,79+2,79+2,79+2,82+2,75+2,72+2,72+2,72+2,75+2,73+2,65+2,65+2,65+2,73+2,"RW,RM"
56,208808,79+2,79+2,79+2,83+2,82+2,82+2,82+2,83+2,81+2,81+2,81+2,82+2,75+2,75+2,75+2,82+2,63+2,58+2,58+2,58+2,63+2,59+2,49+2,49+2,49+2,59+2,"LM,ST,RM"
57,209658,78+3,78+3,78+3,80+3,80+3,80+3,80+3,80+3,81+3,81+3,81+3,80+3,81+3,81+3,81+3,80+3,79+3,79+3,79+3,79+3,79+3,79+3,77+3,77+3,77+3,79+3,"CM,CAM,CDM"
58,210008,77+2,77+2,77+2,77+2,78+2,78+2,78+2,77+2,79+2,79+2,79+2,78+2,81+2,81+2,81+2,78+2,78+2,80+2,80+2,80+2,78+2,77+2,77+2,77+2,77+2,77+2,"CM,CDM"
59,210413,56+2,56+2,56+2,56+2,57+2,57+2,57+2,56+2,58+2,58+2,58+2,59+2,65+2,65+2,65+2,59+2,72+2,77+2,77+2,77+2,72+2,74+2,82+2,82+2,82+2,74+2,CB
60,210514,74+2,74+2,74+2,80+2,78+2,78+2,78+2,80+2,78+2,78+2,78+2,81+2,78+2,78+2,78+2,81+2,82+2,78+2,78+2,78+2,82+2,81+2,75+2,75+2,75+2,81+2,RB
61,212523,80+2,80+2,80+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,80+2,79+2,79+2,79+2,80+2,69+2,69+2,69+2,69+2,69+2,67+2,64+2,64+2,64+2,67+2,CAM
62,213345,77+2,77+2,77+2,82+2,81+2,81+2,81+2,82+2,80+2,80+2,80+2,81+2,71+2,71+2,71+2,81+2,58+2,51+2,51+2,51+2,58+2,53+2,40+2,40+2,40+2,53+2,"LM,RM,LW,RW"
63,213565,76+3,76+3,76+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,74+3,71+3,71+3,71+3,74+3,71+3,64+3,64+3,64+3,71+3,"LM,CAM,RM"
64,213331,52+2,52+2,52+2,52+2,53+2,53+2,53+2,52+2,56+2,56+2,56+2,57+2,63+2,63+2,63+2,57+2,70+2,76+2,76+2,76+2,70+2,73+2,81+2,81+2,81+2,73+2,CB
65,216409,73+2,73+2,73+2,81+2,79+2,79+2,79+2,81+2,80+2,80+2,80+2,80+2,74+2,74+2,74+2,80+2,64+2,61+2,61+2,61+2,64+2,60+2,49+2,49+2,49+2,60+2,"RM,LM,ST"
66,220440,58+2,58+2,58+2,59+2,61+2,61+2,61+2,59+2,63+2,63+2,63+2,62+2,68+2,68+2,68+2,62+2,72+2,78+2,78+2,78+2,72+2,75+2,81+2,81+2,81+2,75+2,CB
67,221087,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
68,221992,76+3,76+3,76+3,81+3,79+3,79+3,79+3,81+3,79+3,79+3,79+3,80+3,72+3,72+3,72+3,80+3,64+3,59+3,59+3,59+3,64+3,60+3,51+3,51+3,51+3,60+3,"RW,LW"
69,222737,77+2,77+2,77+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,80+2,74+2,74+2,74+2,80+2,58+2,55+2,55+2,55+2,58+2,53+2,43+2,43+2,43+2,53+2,RW
70,223959,68+2,68+2,68+2,74+2,73+2,73+2,73+2,74+2,75+2,75+2,75+2,75+2,78+2,78+2,78+2,75+2,80+2,81+2,81+2,81+2,80+2,79+2,77+2,77+2,77+2,79+2,"CDM,CM"
71,224411,76+2,76+2,76+2,80+2,80+2,80+2,80+2,80+2,79+2,79+2,79+2,80+2,73+2,73+2,73+2,80+2,63+2,59+2,59+2,59+2,63+2,59+2,50+2,50+2,50+2,59+2,"LM,ST,RM,LW"
72,226226,76+2,76+2,76+2,80+2,80+2,80+2,80+2,80+2,81+2,81+2,81+2,80+2,80+2,80+2,80+2,80+2,74+2,74+2,74+2,74+2,74+2,72+2,67+2,67+2,67+2,72+2,"CM,CAM,CDM"
73,226271,76+2,76+2,76+2,78+2,79+2,79+2,79+2,78+2,80+2,80+2,80+2,78+2,80+2,80+2,80+2,78+2,75+2,77+2,77+2,77+2,75+2,74+2,73+2,73+2,73+2,74+2,"CM,CDM,CAM"
74,228702,70+2,70+2,70+2,77+2,76+2,76+2,76+2,77+2,79+2,79+2,79+2,79+2,80+2,80+2,80+2,79+2,77+2,78+2,78+2,78+2,77+2,76+2,72+2,72+2,72+2,76+2,"CM,CDM,CB"
75,230168,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
76,230225,66+2,66+2,66+2,60+2,63+2,63+2,63+2,60+2,61+2,61+2,61+2,61+2,64+2,64+2,64+2,61+2,71+2,73+2,73+2,73+2,71+2,74+2,80+2,80+2,80+2,74+2,"CB,CDM"
77,230258,67+2,67+2,67+2,71+2,71+2,71+2,71+2,71+2,73+2,73+2,73+2,74+2,77+2,77+2,77+2,74+2,79+2,80+2,80+2,80+2,79+2,80+2,78+2,78+2,78+2,80+2,"CDM,CM"
78,230658,74+2,74+2,74+2,78+2,78+2,78+2,78+2,78+2,80+2,80+2,80+2,78+2,81+2,81+2,81+2,78+2,75+2,77+2,77+2,77+2,75+2,73+2,71+2,71+2,71+2,73+2,CM
79,231866,73+2,73+2,73+2,74+2,76+2,76+2,76+2,74+2,78+2,78+2,78+2,75+2,80+2,80+2,80+2,75+2,76+2,78+2,78+2,78+2,76+2,75+2,75+2,75+2,75+2,75+2,"CM,CDM"
80,183498,77+2,77+2,77+2,75+2,77+2,77+2,77+2,75+2,77+2,77+2,77+2,76+2,80+2,80+2,80+2,76+2,78+2,80+2,80+2,80+2,78+2,78+2,78+2,78+2,78+2,78+2,"CDM,CM"
81,183574,79+2,79+2,79+2,81+2,81+2,81+2,81+2,81+2,82+2,82+2,82+2,80+2,78+2,78+2,78+2,80+2,64+2,64+2,64+2,64+2,64+2,60+2,56+2,56+2,56+2,60+2,"CF,ST,CAM"
82,183711,72+2,72+2,72+2,75+2,75+2,75+2,75+2,75+2,77+2,77+2,77+2,77+2,80+2,80+2,80+2,77+2,79+2,80+2,80+2,80+2,79+2,78+2,76+2,76+2,76+2,78+2,"CDM,CM"
83,184144,73+3,73+3,73+3,80+3,79+3,79+3,79+3,80+3,80+3,80+3,80+3,80+3,75+3,75+3,75+3,80+3,64+3,61+3,61+3,61+3,64+3,60+3,51+3,51+3,51+3,60+3,CAM
84,184200,80+3,80+3,80+3,80+3,80+3,80+3,80+3,80+3,79+3,79+3,79+3,80+3,75+3,75+3,75+3,80+3,65+3,65+3,65+3,65+3,65+3,63+3,60+3,60+3,60+3,63+3,ST
85,184431,75+2,75+2,75+2,82+2,81+2,81+2,81+2,82+2,82+2,82+2,82+2,81+2,75+2,75+2,75+2,81+2,59+2,56+2,56+2,56+2,59+2,54+2,41+2,41+2,41+2,54+2,"CF,ST"
86,184484,75+3,75+3,75+3,78+3,78+3,78+3,78+3,78+3,80+3,80+3,80+3,79+3,80+3,80+3,80+3,79+3,70+3,70+3,70+3,70+3,70+3,67+3,61+3,61+3,61+3,67+3,CAM
87,184942,77+2,77+2,77+2,80+2,80+2,80+2,80+2,80+2,81+2,81+2,81+2,80+2,77+2,77+2,77+2,80+2,66+2,65+2,65+2,65+2,66+2,62+2,56+2,56+2,56+2,62+2,"CAM,RW"
88,185122,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
89,185221,66+3,66+3,66+3,66+3,67+3,67+3,67+3,66+3,69+3,69+3,69+3,68+3,74+3,74+3,74+3,68+3,76+3,80+3,80+3,80+3,76+3,77+3,80+3,80+3,80+3,77+3,"CDM,CB"
90,186345,70+2,70+2,70+2,75+2,73+2,73+2,73+2,75+2,75+2,75+2,75+2,77+2,78+2,78+2,78+2,77+2,81+2,78+2,78+2,78+2,81+2,80+2,76+2,76+2,76+2,80+2,"RB,RWB"
91,186561,75+3,75+3,75+3,77+3,78+3,78+3,78+3,77+3,79+3,79+3,79+3,79+3,80+3,80+3,80+3,79+3,75+3,75+3,75+3,75+3,75+3,73+3,69+3,69+3,69+3,73+3,"CM,CDM,CAM"
92,186627,79+3,79+3,79+3,77+3,79+3,79+3,79+3,77+3,77+3,77+3,77+3,76+3,70+3,70+3,70+3,76+3,54+3,53+3,53+3,53+3,54+3,49+3,45+3,45+3,45+3,49+3,ST
93,187754,76+2,76+2,76+2,82+2,81+2,81+2,81+2,82+2,82+2,82+2,82+2,81+2,77+2,77+2,77+2,81+2,67+2,65+2,65+2,65+2,67+2,64+2,56+2,56+2,56+2,64+2,RM
94,188803,77+2,77+2,77+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,76+2,76+2,76+2,81+2,67+2,64+2,64+2,64+2,67+2,64+2,55+2,55+2,55+2,64+2,"LM,CAM"
95,189125,77+3,77+3,77+3,80+3,80+3,80+3,80+3,80+3,81+3,81+3,81+3,80+3,81+3,81+3,81+3,80+3,78+3,77+3,77+3,77+3,78+3,76+3,72+3,72+3,72+3,76+3,"CM,LW"
96,201455,77+2,77+2,77+2,76+2,78+2,78+2,78+2,76+2,78+2,78+2,78+2,76+2,79+2,79+2,79+2,76+2,77+2,80+2,80+2,80+2,77+2,78+2,81+2,81+2,81+2,78+2,"CM,CDM"
97,202562,73+2,73+2,73+2,76+2,75+2,75+2,75+2,76+2,74+2,74+2,74+2,77+2,75+2,75+2,75+2,77+2,79+2,77+2,77+2,77+2,79+2,79+2,77+2,77+2,77+2,79+2,"LB,LWB,LM"
98,202685,79+2,79+2,79+2,74+2,77+2,77+2,77+2,74+2,74+2,74+2,74+2,72+2,67+2,67+2,67+2,72+2,61+2,60+2,60+2,60+2,61+2,60+2,62+2,62+2,62+2,60+2,ST
99,203890,67+2,67+2,67+2,71+2,70+2,70+2,70+2,71+2,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,79+2,77+2,77+2,77+2,79+2,79+2,77+2,77+2,77+2,79+2,RB
100,204024,63+2,63+2,63+2,67+2,67+2,67+2,67+2,67+2,70+2,70+2,70+2,70+2,75+2,75+2,75+2,70+2,76+2,79+2,79+2,79+2,76+2,75+2,75+2,75+2,75+2,75+2,"CDM,CM"
101,204884,68+2,68+2,68+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,76+2,76+2,76+2,76+2,76+2,80+2,78+2,78+2,78+2,80+2,80+2,77+2,77+2,77+2,80+2,LB
102,204923,78+2,78+2,78+2,79+2,80+2,80+2,80+2,79+2,79+2,79+2,79+2,78+2,76+2,76+2,76+2,78+2,69+2,68+2,68+2,68+2,69+2,67+2,63+2,63+2,63+2,67+2,"CAM,CM"
103,205362,52+2,52+2,52+2,53+2,52+2,52+2,52+2,53+2,55+2,55+2,55+2,56+2,62+2,62+2,62+2,56+2,70+2,74+2,74+2,74+2,70+2,74+2,79+2,79+2,79+2,74+2,CB
104,206467,79+2,79+2,79+2,79+2,79+2,79+2,79+2,79+2,78+2,78+2,78+2,78+2,73+2,73+2,73+2,78+2,62+2,59+2,59+2,59+2,62+2,58+2,53+2,53+2,53+2,58+2,"ST,LW"
105,207862,66+2,66+2,66+2,64+2,65+2,65+2,65+2,64+2,66+2,66+2,66+2,67+2,70+2,70+2,70+2,67+2,74+2,77+2,77+2,77+2,74+2,76+2,79+2,79+2,79+2,76+2,"CB,CDM"
106,208093,79+2,79+2,79+2,75+2,77+2,77+2,77+2,75+2,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,61+2,58+2,58+2,58+2,61+2,60+2,56+2,56+2,56+2,60+2,ST
107,208135,75+2,75+2,75+2,74+2,76+2,76+2,76+2,74+2,76+2,76+2,76+2,75+2,79+2,79+2,79+2,75+2,78+2,80+2,80+2,80+2,78+2,77+2,78+2,78+2,78+2,77+2,"CDM,CM"
108,209889,74+3,74+3,74+3,80+3,79+3,79+3,79+3,80+3,81+3,81+3,81+3,80+3,80+3,80+3,80+3,80+3,78+3,76+3,76+3,76+3,78+3,76+3,69+3,69+3,69+3,76+3,"LM,LB,CM"
109,210243,72+3,72+3,72+3,78+3,76+3,76+3,76+3,78+3,77+3,77+3,77+3,79+3,78+3,78+3,78+3,79+3,81+3,78+3,78+3,78+3,81+3,80+3,75+3,75+3,75+3,80+3,"RB,RM"
110,210617,74+2,74+2,74+2,81+2,79+2,79+2,79+2,81+2,80+2,80+2,80+2,80+2,74+2,74+2,74+2,80+2,63+2,61+2,61+2,61+2,63+2,59+2,50+2,50+2,50+2,59+2,"RM,LM,CM"
111,212194,75+2,75+2,75+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,80+2,73+2,73+2,73+2,80+2,59+2,55+2,55+2,55+2,59+2,54+2,43+2,43+2,43+2,54+2,"LM,RM,CAM"
112,226110,76+2,76+2,76+2,80+2,80+2,80+2,80+2,80+2,79+2,79+2,79+2,79+2,70+2,70+2,70+2,79+2,58+2,52+2,52+2,52+2,58+2,54+2,43+2,43+2,43+2,54+2,"RM,RW,ST"
113,225953,76+2,76+2,76+2,79+2,78+2,78+2,78+2,79+2,78+2,78+2,78+2,78+2,69+2,69+2,69+2,78+2,61+2,55+2,55+2,55+2,61+2,56+2,49+2,49+2,49+2,56+2,"LW,RW"
114,226753,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
115,228229,54+2,54+2,54+2,48+2,51+2,51+2,51+2,48+2,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,67+2,72+2,72+2,72+2,67+2,70+2,78+2,78+2,78+2,70+2,CB
116,228941,78+2,78+2,78+2,75+2,77+2,77+2,77+2,75+2,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,61+2,59+2,59+2,59+2,61+2,58+2,56+2,56+2,56+2,58+2,ST
117,230142,74+2,74+2,74+2,80+2,79+2,79+2,79+2,80+2,79+2,79+2,79+2,79+2,74+2,74+2,74+2,79+2,61+2,58+2,58+2,58+2,61+2,56+2,47+2,47+2,47+2,56+2,"LW,LM,RW"
118,230234,66+2,66+2,66+2,70+2,69+2,69+2,69+2,70+2,71+2,71+2,71+2,72+2,75+2,75+2,75+2,72+2,77+2,78+2,78+2,78+2,77+2,77+2,75+2,75+2,75+2,77+2,"CDM,CM"
119,230347,67+2,67+2,67+2,74+2,71+2,71+2,71+2,74+2,73+2,73+2,73+2,76+2,75+2,75+2,75+2,76+2,79+2,76+2,76+2,76+2,79+2,78+2,74+2,74+2,74+2,78+2,"LB,LM"
120,231943,78+2,78+2,78+2,78+2,78+2,78+2,78+2,78+2,76+2,76+2,76+2,77+2,70+2,70+2,70+2,77+2,62+2,60+2,60+2,60+2,62+2,60+2,57+2,57+2,57+2,60+2,"ST,LW,LM"
121,234035,65+2,65+2,65+2,71+2,68+2,68+2,68+2,71+2,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,78+2,75+2,75+2,75+2,78+2,78+2,75+2,75+2,75+2,78+2,RB
122,234153,74+2,74+2,74+2,78+2,78+2,78+2,78+2,78+2,79+2,79+2,79+2,79+2,78+2,78+2,78+2,79+2,73+2,71+2,71+2,71+2,73+2,70+2,64+2,64+2,64+2,70+2,"RM,CM"
123,234906,72+2,72+2,72+2,78+2,77+2,77+2,77+2,78+2,79+2,79+2,79+2,78+2,78+2,78+2,78+2,78+2,72+2,73+2,73+2,73+2,72+2,70+2,65+2,65+2,65+2,70+2,"CM,LM"
124,235569,72+2,72+2,72+2,77+2,77+2,77+2,77+2,77+2,78+2,78+2,78+2,78+2,78+2,78+2,78+2,78+2,75+2,76+2,76+2,76+2,75+2,73+2,72+2,72+2,72+2,73+2,"CM,CDM"
