Club_no,Play_Id,Club_Team
1810272,223959,Arsenal
1810273,224411,Valencia CF
1810274,226226,Real Betis
1810275,226271,Napoli
1810276,228702,Ajax
1810277,230168,Grêmio
1810278,230225,Cruzeiro
1810279,230258,Atlético Mineiro
1810280,230658,FC Barcelona
1810281,231866,Atlético Madrid
1810282,183498,Lazio
1810283,183574,SV Werder Bremen
1810284,183711,Liverpool
1810285,184144,Dalian YiFang FC
1810286,184200,West Ham United
1810287,184431,Italy
1810288,184484,Everton
1810289,184942,Al Nassr
1810290,185122,RB Leipzig
1810291,185221,Olympique de Marseille
1810292,186345,Tottenham Hotspur
1810293,186561,Arsenal
1810294,186627,Olympique de Marseille
1810295,187754,Shakhtar Donetsk
1810296,188803,Shakhtar Donetsk
1810297,189125,Milan
1810298,201455,Valencia CF
1810299,202562,VfL Wolfsburg
1810300,202685,Torino
1810301,203890,Inter
1810302,204024,Borussia Mönchengladbach
1810303,204884,Manchester City
1810304,204923,RB Leipzig
1810305,205362,FC Schalke 04
1810306,206467,Borussia Mönchengladbach
1810307,207862,Borussia Mönchengladbach
1810308,208093,Villarreal CF
1810309,208135,Watford
1810310,209889,Borussia Dortmund
1810311,210243,Leicester City
1810312,210617,Milan
1810313,212194,Bayer 04 Leverkusen
1810314,226110,LOSC Lille
1810315,225953,PSV
1810316,226753,Ajax
1810317,228229,West Ham United
1810318,228941,Sevilla FC
1810319,230142,Real Sociedad
1810320,230234,Fluminense
1810321,230347,Cruzeiro
1810322,231943,Everton
1810323,234035,Real Madrid
1810324,234153,Valencia CF
1810325,234906,Olympique Lyonnais
1810326,235569,Olympique Lyonnais
1810327,239207,RC Celta
1810328,45186,Real Betis
1810329,112316,Sporting CP
1810330,197061,Liverpool
1810331,197853,Tottenham Hotspur
1810332,198118,VfL Wolfsburg
1810333,198784,Liverpool
1810334,199005,Brighton & Hove Albion
1810335,199069,Cameroon
1810336,199110,Fiorentina
1810337,199206,Beşiktaş JK
1810338,199416,Athletic Club de Bilbao
1810339,200315,Real Betis
1810340,201119,Shakhtar Donetsk
1810341,201143,Real Betis
1810342,201325,FC Nantes
1810343,201377,FC Barcelona
1810344,202335,Tottenham Hotspur
1810345,203042,Stoke City
1810346,49031,Chievo Verona
1810347,54050,DC United
1810348,110677,Real Sociedad
1810349,142707,Racing Club
1810350,142754,Hebei China Fortune FC
1810351,144622,Borussia Mönchengladbach
1810352,146748,RCD Espanyol
1810353,146760,Atlético Madrid
1810354,147782,Lokomotiv Moscow
1810355,148119,PFC CSKA Moscow
1810356,153244,Tigres U.A.N.L.
1810357,156713,Sweden
1810358,157960,Lokomotiv Moscow
1810359,158625,OGC Nice
1810360,159147,AS Saint-Étienne
1810361,161956,Inter
1810362,208330,Real Sociedad
1810363,208334,1. FC Köln
1810364,208498,FC Red Bull Salzburg
1810365,208777,FC Porto
1810366,209981,Girona FC
1810367,210324,Borussia Mönchengladbach
1810368,210411,FC Porto
1810369,210455,Wolverhampton Wanderers
1810370,212501,Wolverhampton Wanderers
1810371,213160,Spartak Moscow
1810372,213516,SC Braga
1810373,213874,LOSC Lille
1810374,213991,Bournemouth
1810375,214947,1. FSV Mainz 05
1810376,215057,Boca Juniors
1810377,215061,Boca Juniors
1810378,190243,Borussia Dortmund
1810379,190456,Bournemouth
1810380,190544,Beşiktaş JK
1810381,191076,Burnley
1810382,192598,Shanghai SIPG FC
1810383,192678,SD Eibar
1810384,192679,Sevilla FC
1810385,193152,Athletic Club de Bilbao
1810386,193469,Villarreal CF
1810387,193532,Beşiktaş JK
1810388,193738,Galatasaray SK
1810389,194229,RC Celta
1810390,194761,Girona FC
1810391,194845,AS Saint-Étienne
1810392,194957,Manchester United
1810393,195586,FC Augsburg
1810394,238794,Real Madrid
1810395,241184,Real Betis
1810396,80,Medipol Başakşehir FK
1810397,49369,Sagan Tosu
1810398,121944,Chicago Fire
1810399,124375,Beşiktaş JK
1810400,150418,VfB Stuttgart
1810401,152908,Manchester United
1810402,157301,Fulham
1810403,158121,FC Girondins de Bordeaux
1810404,158232,Hertha BSC
1810405,159065,Hebei China Fortune FC
1810406,161648,Stade Rennais FC
1810407,163155,Watford
1810408,163264,Burnley
1810409,164029,SD Eibar
1810410,164468,Chelsea
1810411,213655,Arsenal
1810412,213666,Chelsea
1810413,213732,Spartak Moscow
1810414,214026,Girona FC
1810415,214394,Colombia
1810416,214766,Boca Juniors
1810417,215223,OGC Nice
1810418,215466,Napoli
1810419,215716,Fulham
1810420,216065,Frosinone
1810421,216189,Athletic Club de Bilbao
1810422,216373,SC Braga
1810423,216393,Leicester City
1810424,216435,RC Celta
1810425,216497,Borussia Dortmund
1810426,216643,Olympique Lyonnais
1810427,199915,Brighton & Hove Albion
1810428,200607,Huddersfield Town
1810429,200641,FC Schalke 04
1810430,200677,Montpellier HSC
1810431,201046,Sampdoria
1810432,201510,Paris Saint-Germain
1810433,201922,Eintracht Frankfurt
1810434,202429,Eintracht Frankfurt
1810435,202642,Spartak Moscow
1810436,202750,Wolverhampton Wanderers
1810437,202789,SC Freiburg
1810438,202851,Sampdoria
1810439,202935,Villarreal CF
1810440,203106,TSG 1899 Hoffenheim
1810441,203299,Peru
1810442,203362,Southampton
1810443,183497,Napoli
1810444,190149,Athletic Club de Bilbao
1810445,193476,AS Saint-Étienne
1810446,150724,Burnley
1810447,159171,Al Ahli
1810448,186302,Cruz Azul
1810449,192445,VfL Wolfsburg
1810450,199354,West Ham United
1810451,158133,Lokomotiv Moscow
1810452,172723,Bournemouth
1810453,153260,Montpellier HSC
1810454,189606,Bayer 04 Leverkusen
1810455,178085,RCD Espanyol
1810456,173474,FC Red Bull Salzburg
1810457,172962,Fenerbahçe SK
1810458,158626,AS Saint-Étienne
1810459,219145,Deportivo Alavés
1810460,146952,CD Leganés
1810461,177159,Borussia Mönchengladbach
1810462,236295,1. FSV Mainz 05
1810463,229636,PSV
1810464,185090,Jiangsu Suning FC
1810465,177666,SV Werder Bremen
1810466,205569,Southampton
1810467,184575,LA Galaxy
1810468,172287,Deportivo Alavés
1810469,190717,West Ham United
1810470,184826,AS Monaco
1810471,193011,Bournemouth
1810472,189682,Burnley
1810473,164082,Beşiktaş JK
1810474,178416,Beşiktaş JK
1810475,189250,Newcastle United
1810476,208450,Manchester United
1810477,162369,Hertha BSC
1810478,205632,Olympique de Marseille
1810479,183871,Hannover 96
1810480,230463,Atlético Mineiro
1810481,219455,Deportivo Alavés
1810482,215871,Brighton & Hove Albion
1810483,189757,Al Ittihad
1810484,177723,Fulham
1810485,213051,Arsenal
1810486,223033,1. FC Köln
1810487,199737,SC Braga
1810488,227127,Athletic Club de Bilbao
1810489,196150,Junior FC
1810490,142902,Shakhtar Donetsk
1810491,212602,Real Sociedad
1810492,168312,Milan
1810493,157304,FC Barcelona
1810494,205431,Hannover 96
1810495,200054,West Ham United
1810496,216437,Lazio
1810497,205427,Al Ahli
1810498,183666,RCD Espanyol
1810499,177519,Medipol Başakşehir FK
1810500,172143,Ajax
1810501,50542,Rangers FC
1810502,188524,Medipol Başakşehir FK
1810503,185195,Shanghai Greenland Shenhua FC
1810504,193130,Fulham
1810505,225126,Montpellier HSC
1810506,229476,Hannover 96
1810507,152999,Bologna
1810508,224933,Udinese
1810509,152997,Racing Club
1810510,182179,Udinese
1810511,183714,1. FC Köln
1810512,177569,Eintracht Frankfurt
1810513,152993,Club Atlético Banfield
1810514,221342,VfB Stuttgart
1810515,201118,Inter
1810516,184477,Hamburger SV
1810517,210333,CD Leganés
1810518,190875,Parma
1810519,53914,Everton
1810520,211354,Fiorentina
1810521,194201,Leeds United
1810522,186521,Girona FC
1810523,212442,Olympiacos CFP
1810524,199641,RC Strasbourg Alsace
1810525,183512,Athletic Club de Bilbao
1810526,220883,River Plate
1810527,216531,SC Braga
1810528,201939,Valencia CF
1810529,190674,Stade Rennais FC
1810530,169426,Real Betis
1810531,218066,KRC Genk
1810532,231633,West Ham United
1810533,199633,Burnley
1810534,232656,Real Sociedad
1810535,192715,Girona FC
1810536,216266,Olympique Lyonnais
1810537,138699,Bologna
1810538,199626,Vitória Guimarães
1810539,190223,Athletic Club de Bilbao
1810540,161805,Udinese
1810541,192012,CD Leganés
1810542,189196,Grasshopper Club Zürich
1810543,188428,Girona FC
1810544,242444,SL Benfica
1810545,215051,Boca Juniors
1810546,171018,Rayo Vallecano
1810547,172553,Huddersfield Town
1810548,167431,VfB Stuttgart
1810549,188166,West Bromwich Albion
1810550,221701,FC Nantes
1810551,221445,RCD Espanyol
1810552,200197,San Lorenzo de Almagro
1810553,220932,Aston Villa
1810554,201988,Newcastle United
1810555,196144,Portimonense SC
1810556,210736,Chelsea
1810557,193839,Lazio
1810558,184111,Crystal Palace
1810559,229167,SV Werder Bremen
1810560,163631,Everton
1810561,152879,West Ham United
1810562,244269,Celtic
1810563,174381,Paraguay
1810564,204077,Stade Rennais FC
1810565,189484,Roma
1810566,224811,Shakhtar Donetsk
1810567,228650,Sporting CP
1810568,155946,West Ham United
1810569,226601,Fiorentina
1810570,223273,Atalanta
1810571,186200,Milan
1810572,221016,Levante UD
1810573,134744,Beşiktaş JK
1810574,183895,New York City FC
1810575,195671,Southampton
1810576,215639,Newcastle United
1810577,230230,Atlético Mineiro
1810578,199254,Cagliari
1810579,163925,Livorno
1810580,209236,Olympiacos CFP
1810581,139860,Olympique Lyonnais
1810582,162131,Tottenham Hotspur
1810583,143699,Beşiktaş JK
1810584,186961,SPAL
1810585,230224,Bahia
1810586,155984,Getafe CF
1810587,178284,Los Angeles FC
1810588,203910,Brighton & Hove Albion
1810589,229764,Athletic Club de Bilbao
1810590,208004,Ajax
1810591,201858,Bologna
1810592,143745,Medipol Başakşehir FK
1810593,193408,Switzerland
1810594,230528,Paraná
1810595,238463,RB Leipzig
1810596,189053,Empoli
1810597,222077,Sassuolo
1810598,197756,Crystal Palace
1810599,215930,Bayer 04 Leverkusen
1810600,188536,Spartak Moscow
1810601,146296,Villarreal CF
1810602,203128,Amiens SC
1810603,226166,RB Leipzig
1810604,206198,SC Freiburg
1810605,192427,Medipol Başakşehir FK
1810606,152747,Burnley
1810607,205995,Eintracht Frankfurt
1810608,221354,SV Werder Bremen
1810609,194728,TSG 1899 Hoffenheim
1810610,188840,Akhisar Belediyespor
1810611,182184,Brighton & Hove Albion
1810612,235944,RC Celta
1810613,190885,Bournemouth
1810614,201893,CD Leganés
1810615,189860,Watford
1810616,230564,Eintracht Frankfurt
1810617,152996,Hertha BSC
1810618,211108,Chongqing Dangdai Lifan FC SWM Team
1810619,134820,Celtic
1810620,232099,Hertha BSC
1810621,200353,LOSC Lille
1810622,198614,Real Sociedad
1810623,184789,TSG 1899 Hoffenheim
1810624,230613,Napoli
1810625,189908,Bologna
1810626,192722,AS Saint-Étienne
1810627,204497,Fortuna Düsseldorf
1810628,211408,Sampdoria
1810629,198352,1. FSV Mainz 05
1810630,188879,Málaga CF
1810631,231887,Trabzonspor
1810632,189390,FC Schalke 04
1810633,239053,Real Madrid
1810634,214989,Independiente
1810635,137677,Tottenham Hotspur
1810636,198861,Leicester City
1810637,209610,Santos Laguna
1810638,240900,Athletic Club de Bilbao
1810639,225028,RC Celta
1810640,186115,West Bromwich Albion
1810641,213761,Al Nassr
1810642,239872,SC Braga
1810643,216320,Udinese
1810644,768,SPAL
1810645,188414,Al Ittihad
1810646,176894,Medipol Başakşehir FK
1810647,220414,Bournemouth
1810648,205566,Liverpool
1810649,199422,Feyenoord
1810650,198140,Monterrey
1810651,190971,Minnesota United FC
1810652,212219,Stade Malherbe Caen
1810653,183546,Huddersfield Town
1810654,221479,Everton
1810655,193062,Udinese
1810656,215334,CD Leganés
1810657,210214,RC Celta
1810658,237604,Independiente
1810659,220196,Bournemouth
1810660,195363,FC Schalke 04
1810661,191011,Parma
1810662,179746,Stoke City
1810663,195361,RCD Espanyol
1810664,219681,Olympique de Marseille
1810665,216097,Boavista FC
1810666,194079,Fenerbahçe SK
1810667,186143,Sheffield United
1810668,211999,FC Augsburg
1810669,210463,Cádiz CF
1810670,208451,1. FSV Mainz 05
1810671,204355,Newcastle United
1810672,231745,RSC Anderlecht
1810673,230465,Botafogo
1810674,49472,Angers SCO
1810675,219712,Getafe CF
1810676,215616,Levante UD
1810677,209984,Vitória de Setúbal
1810678,192575,Udinese
1810679,198719,Southampton
1810680,190782,Udinese
1810681,183870,Panathinaikos FC
1810682,228414,1. FC Nürnberg
1810683,150590,OGC Nice
1810684,147006,Perth Glory
1810685,194365,Leicester City
1810686,179551,LA Galaxy
1810687,236639,LOSC Lille
1810688,222558,Roma
1810689,200798,SC Braga
1810690,213597,Chile
1810691,193116,Sevilla FC
1810692,215644,Deportivo Alavés
1810693,169051,Shanghai Greenland Shenhua FC
1810694,229723,RC Celta
1810695,220763,PSV
1810696,206427,Shakhtar Donetsk
1810697,173146,Cagliari
1810698,201818,Al Nassr
1810699,206424,Çaykur Rizespor
1810700,192087,PFC CSKA Moscow
1810701,210007,FC Red Bull Salzburg
1810702,208509,Stade de Reims
1810703,237692,Manchester City
1810704,222844,Hannover 96
1810705,225403,Medipol Başakşehir FK
1810706,134779,FC Girondins de Bordeaux
1810707,213114,Deportivo Alavés
1810708,164985,Cagliari
1810709,228729,Club América
1810710,211321,Amiens SC
1810711,171896,Tigres U.A.N.L.
1810712,236920,Roma
1810713,225144,South Africa
1810714,223608,CD Leganés
1810715,105846,Bournemouth
1810716,209782,Feyenoord
1810717,207734,Portimonense SC
1810718,189338,Monterrey
1810719,230042,AS Saint-Étienne
1810720,223898,Nîmes Olympique
1810721,209818,TSG 1899 Hoffenheim
1810722,233113,FC Barcelona
1810723,225945,LOSC Lille
1810724,215449,FC København
1810725,187800,Fenerbahçe SK
1810726,238744,FC Schalke 04
1810727,195479,Rangers FC
1810728,237207,FC Girondins de Bordeaux
1810729,215703,Sassuolo
1810730,208535,Sassuolo
1810731,202135,Genoa
1810732,184469,Cardiff City
1810733,244373,Dynamo Kyiv
1810734,235454,OGC Nice
1810735,215998,River Plate
1810736,220093,Atalanta
1810737,211899,SC Freiburg
1810738,158905,Hannover 96
1810739,213689,Preston North End
1810740,231352,Aston Villa
1810741,188086,Sporting CP
1810742,234678,KRC Genk
1810743,222390,Athletic Club de Bilbao
1810744,211382,Sevilla FC
1810745,209846,SC Freiburg
1810746,202934,Trabzonspor
1810747,186805,West Bromwich Albion
1810748,198581,Colombia
1810749,194996,Deportivo Alavés
1810750,215270,Tigres U.A.N.L.
1810751,184037,Crystal Palace
1810752,229092,Çaykur Rizespor
1810753,220132,Real Sociedad
1810754,220131,Galatasaray SK
1810755,244193,Sporting CP
1810756,157665,Crystal Palace
1810757,212449,Angers SCO
1810758,172768,Bournemouth
1810759,195038,1. FC Köln
1810760,235997,RC Celta
1810761,169181,Feyenoord
1810762,192476,Sporting Kansas City
1810763,214491,Tigres U.A.N.L.
1810764,195033,Hertha BSC
1810765,234201,Dynamo Kyiv
1810766,206594,Brighton & Hove Albion
1810767,199170,Fiorentina
1810768,198658,AZ Alkmaar
1810769,197890,U.N.A.M.
1810770,230401,Atlético Paranaense
1810771,221697,Brentford
1810772,220673,Willem II
1810773,212225,Beşiktaş JK
1810774,198657,AZ Alkmaar
1810775,191488,Racing Club
1810776,221695,Bologna
1810777,201215,Bologna
1810778,169214,Celtic
1810779,177149,Slovenia
1810780,228093,En Avant de Guingamp
1810781,214781,Independiente
1810782,205601,Newcastle United
1810783,186912,FC Ingolstadt 04
1810784,198688,Atlanta United
1810785,245279,Real Madrid
1810786,234015,Ceará Sporting Club
1810787,210719,VfB Stuttgart
1810788,194334,Middlesbrough
1810789,221982,Girona FC
1810790,215070,Club Atlético Colón
1810791,194333,1. FC Union Berlin
1810792,215069,PAOK
1810793,190748,Göztepe SK
1810794,189468,Rangers FC
1810795,183068,Stade Malherbe Caen
1810796,205340,Chicago Fire
1810797,45083,BSC Young Boys
1810798,193337,Alanyaspor
1810799,241721,LOSC Lille
1810800,207929,PAOK
1810801,186680,UD Las Palmas
1810802,194359,Galatasaray SK
1810803,244791,Viktoria Plzeň
1810804,212023,AS Saint-Étienne
1810805,171830,Crotone
1810806,200758,Reading
1810807,193077,Bologna
1810808,176693,Real Sporting de Gijón
1810809,205365,Viktoria Plzeň
1810810,190772,Sporting Kansas City
1810811,223284,RC Strasbourg Alsace
1810812,207412,GD Chaves
1810813,189491,Trabzonspor
1810814,121937,Fortuna Düsseldorf
1810815,224081,Leeds United
1810816,158800,FC Utrecht
1810817,209744,Chile
1810818,206160,Ascoli
1810819,237135,Vitória Guimarães
1810820,234575,FC Porto
1810821,163407,AS Monaco
1810822,233550,RC Strasbourg Alsace
1810823,215886,Real Salt Lake
1810824,213582,Club Atlético Aldosivi
1810825,196942,CA Osasuna
1810826,192333,Orlando City SC
1810827,178253,Henan Jianye FC
1810828,229453,Olympiacos CFP
1810829,223053,Club León
1810830,210287,1. FC Köln
1810831,188270,Cardiff City
1810832,205934,Sampdoria
1810833,200302,Aberdeen
1810834,193133,Udinese
1810835,203629,Russia
1810836,179820,New York Red Bulls
1810837,169324,Austria
1810838,202858,Club Tijuana
1810839,199274,Palermo
1810840,233064,Derby County
1810841,211048,Shakhtar Donetsk
1810842,230503,Grêmio
1810843,148839,VfL Wolfsburg
1810844,213095,Canada
1810845,202087,1. FC Köln
1810846,184457,FC Basel 1893
1810847,225673,TSG 1899 Hoffenheim
1810848,209289,Real Sociedad
1810849,189576,Girona FC
1810850,211592,Russia
1810851,192647,Stade Brestois 29
1810852,180359,SD Huesca
1810853,178567,Amiens SC
1810854,236935,FC Red Bull Salzburg
1810855,230021,KRC Genk
1810856,230276,Internacional
1810857,208260,Panathinaikos FC
1810858,194947,Olympiacos CFP
1810859,158851,Chile
1810860,202115,Hannover 96
1810861,164994,Wisła Kraków
1810862,225951,Nîmes Olympique
1810863,215199,San Lorenzo de Almagro
1810864,212127,Genoa
1810865,212125,Fulham
1810866,193692,Boavista FC
1810867,192156,Moreirense FC
1810868,191388,Fortuna Düsseldorf
1810869,189084,PSV
1810870,245660,Côte d'Ivoire
1810871,229788,Real Valladolid CF
1810872,192667,CD Leganés
1810873,237211,SL Benfica
1810874,189595,Fenerbahçe SK
1810875,165531,Pachuca
1810876,204699,Spartak Moscow
1810877,202395,GD Chaves
1810878,198331,Burnley
1810879,166074,Rayo Vallecano
1810880,178616,Málaga CF
1810881,232119,Leicester City
1810882,225719,Leicester City
1810883,216247,VfL Wolfsburg
1810884,205495,Girona FC
1810885,220085,SC Freiburg
1810886,230324,Grêmio
1810887,183475,Odense Boldklub
1810888,201139,Milan
1810889,234930,En Avant de Guingamp
1810890,200882,Padova
1810891,209329,Santos Laguna
1810892,199601,Çaykur Rizespor
1810893,176048,Colorado Rapids
1810894,203736,Angers SCO
1810895,200408,Burnley
1810896,212183,Real Valladolid CF
1810897,201943,FC Girondins de Bordeaux
1810898,192725,Fulham
1810899,226773,Olympique Lyonnais
1810900,223188,Fenerbahçe SK
1810901,151508,Rangers FC
1810902,209620,Stade de Reims
1810903,190931,Genoa
1810904,208339,Cardiff City
1810905,187858,Standard de Liège
1810906,175314,Fulham
1810907,230354,Internacional
1810908,187601,Miedź Legnica
1810909,229585,Australia
1810910,213242,OGC Nice
1810911,212474,CD Feirense
1810912,199418,Brisbane Roar
1810913,189945,Grasshopper Club Zürich
1810914,176377,Guangzhou R&F FC
1810915,162297,Inter
1810916,222457,Kayserispor
1810917,184312,Parma
1810918,177398,1. FC Nürnberg
1810919,234742,Leicester City
1810920,232693,Çaykur Rizespor
1810921,199157,Levante UD
1810922,183284,Bursaspor
1810923,217844,GD Chaves
1810924,148212,Spartak Moscow
1810925,183795,1. FC Nürnberg
1810926,234772,Cádiz CF
1810927,230420,Bahia
1810928,157716,Eintracht Frankfurt
1810929,204308,KAS Eupen
1810930,192274,Gimnàstic de Tarragona
1810931,180754,Kawasaki Frontale
1810932,186385,Middlesbrough
1810933,221201,1. FC Nürnberg
1810934,219409,Vitesse
1810935,213777,Hannover 96
1810936,208144,Genoa
1810937,223247,Unión de Santa Fe
1810938,241166,Sivasspor
1810939,217870,Empoli
1810940,225293,FC Metz
1810941,223245,Club Necaxa
1810942,172077,Monterrey
1810943,226861,Nîmes Olympique
1810944,226093,Birmingham City
1810945,202541,Birmingham City
1810946,221740,Stade Malherbe Caen
1810947,190507,SD Huesca
1810948,178475,Frosinone
1810949,215083,Montreal Impact
1810950,209449,Sporting Kansas City
1810951,189480,Alanyaspor
1810952,220198,Swansea City
1810953,191269,Al Hilal
1810954,244261,Dinamo Zagreb
1810955,226853,Feyenoord
1810956,207653,Ecuador
1810957,195620,Wellington Phoenix
1810958,223524,Frosinone
1810959,195912,Stade de Reims
1810960,190535,Real Valladolid CF
1810961,211527,SD Huesca
1810962,207431,SD Huesca
1810963,196935,Getafe CF
1810964,158790,Curicó Unido
1810965,192838,Chievo Verona
1810966,211014,GD Chaves
1810967,203590,1. FC Union Berlin
1810968,184133,Göztepe SK
1810969,233029,Atlético Tucumán
1810970,213061,Sagan Tosu
1810971,190276,FC Metz
1810972,196932,Toulouse Football Club
1810973,226627,FC Red Bull Salzburg
1810974,207683,Panathinaikos FC
1810975,209218,Al Taawoun
1810976,198240,Girona FC
1810977,232543,Patronato
1810978,231263,Stade Rennais FC
1810979,231007,PAOK
1810980,184926,FC Porto
1810981,234078,Hamburger SV
1810982,214622,Celtic
1810983,142942,Club Atlético Talleres
1810984,156253,Aberdeen
1810985,204125,SK Slavia Praha
1810986,193884,Stoke City
1810987,183644,FK Austria Wien
1810988,49756,FC Midtjylland
1810989,229980,Monterrey
1810990,188506,Chievo Verona
1810991,175962,1. FSV Mainz 05
1810992,235866,Genoa
1810993,214136,Tigres U.A.N.L.
1810994,210296,Universidad de Chile
1810995,189303,Reading
1810996,183671,US Cremonese
1810997,215927,Standard de Liège
1810998,179574,Sheffield Wednesday
1810999,169078,Queens Park Rangers
1811000,229494,CD Lugo
1811001,189557,Palermo
1811002,165493,Querétaro
1811003,229749,Defensa y Justicia
1811004,211061,1. FSV Mainz 05
1811005,202101,Vitória Guimarães
1811006,184436,Cardiff City
1811007,162932,Deportivo Toluca
1811008,192371,Rosario Central
1811009,221331,Genoa
1811010,212369,SC Braga
1811011,137361,Hellas Verona
1811012,199313,Angers SCO
1811013,225680,Yeni Malatyaspor
1811014,210320,Bologna
1811015,182670,Medipol Başakşehir FK
1811016,176526,Club Atlético Colón
1811017,230286,Atlético Mineiro
1811018,152718,Henan Jianye FC
1811019,214158,Deportes Tolima
1811020,215181,San Lorenzo de Almagro
1811021,182411,Guangzhou Evergrande Taobao FC
1811022,172939,Sheffield Wednesday
1811023,230283,Atlético Mineiro
1811024,188554,Málaga CF
1811025,190636,Deportivo Toluca
1811026,185260,Göztepe SK
1811027,234924,Huddersfield Town
1811028,194730,CD Lugo
1811029,222634,Watford
1811030,210602,Al Hilal
1811031,200106,Willem II
1811032,228777,Independiente Santa Fe
1811033,190120,En Avant de Guingamp
1811034,178600,Atiker Konyaspor
1811035,158375,KAA Gent
1811036,205735,Chievo Verona
1811037,201895,New England Revolution
1811038,213414,Udinese
1811039,192165,BK Häcken
1811040,237221,Tottenham Hotspur
1811041,198599,Galatasaray SK
1811042,225478,Kashima Antlers
1811043,210118,AEK Athens
1811044,206022,Djurgårdens IF
1811045,181445,Malmö FF
1811046,178628,Sheffield Wednesday
1811047,190915,Brøndby IF
1811048,230850,Standard de Liège
1811049,226754,Empoli
1811050,194753,Hellas Verona
1811051,186817,Moreirense FC
1811052,220609,AS Saint-Étienne
1811053,236480,Brighton & Hove Albion
1811054,188607,Deportivo Toluca
1811055,232639,FC Groningen
1811056,214207,Deportivo Toluca
1811057,225252,Millonarios FC
1811058,190947,FC Utrecht
1811059,168930,Real Oviedo
1811060,169697,Middlesbrough
1811061,229857,Sassuolo
1811062,214497,Independiente Medellín
1811063,199392,Al Fateh
1811064,231391,Nottingham Forest
1811065,221919,Stade de Reims
1811066,7647,Livorno
1811067,190942,FC Midtjylland
1811068,183774,Wolverhampton Wanderers
1811069,155355,VfL Bochum 1848
1811070,205531,Perugia
1811071,176345,Kashima Antlers
1811072,230361,Sport Club do Recife
1811073,164857,CD Feirense
1811074,158969,Argentinos Juniors
1811075,183288,Nottingham Forest
1811076,198136,Hellas Verona
1811077,183287,FC Lorient
1811078,226807,Seattle Sounders FC
1811079,218359,En Avant de Guingamp
1811080,244470,SK Slavia Praha
1811081,221174,Dinamo Zagreb
1811082,230389,Cruzeiro
1811083,183540,Sheffield Wednesday
1811084,236532,SC Freiburg
1811085,214772,Club Atlético Lanús
1811086,137460,US Salernitana 1919
1811087,226803,New York Red Bulls
1811088,222707,Al Wehda
1811089,224242,Hertha BSC
1811090,193549,Millwall
1811091,245261,Santa Clara
1811092,239117,SK Slavia Praha
1811093,173325,Córdoba CF
1811094,220685,Nottingham Forest
1811095,176652,Viktoria Plzeň
1811096,222988,Sanfrecce Hiroshima
1811097,213260,Millonarios FC
1811098,223243,Club América
1811099,222987,Vissel Kobe
1811100,192778,Al Raed
1811101,238858,Portimonense SC
1811102,241673,Rangers FC
1811103,238857,FC Porto
1811104,210697,Fiorentina
1811105,188168,Middlesbrough
1811106,239904,Shakhtar Donetsk
1811107,237600,OGC Nice
1811108,209440,Al Ittihad
1811109,175391,Boavista FC
1811110,149791,West Bromwich Albion
1811111,211231,Granada CF
1811112,208159,Fenerbahçe SK
1811113,205343,US Salernitana 1919
1811114,200735,Sagan Tosu
1811115,184606,Moreirense FC
1811116,203038,Chievo Verona
1811117,230429,Botafogo
1811118,212253,FC Midtjylland
1811119,206109,Frosinone
1811120,192540,Sheffield United
1811121,109852,Rangers FC
1811122,208949,Al Hilal
1811123,230452,Ceará Sporting Club
