Club_no,Ntn_no,Play_Id,National_Team
1810434,232,202429,
1810435,233,202642,
1810436,234,202750,
1810437,235,202789,
1810438,236,202851,
1810439,237,202935,
1810440,238,203106,
1810441,239,203299,Al Hilal
1810442,240,203362,Norway
1810443,241,183497,
1810444,242,190149,
1810445,243,193476,
1810446,244,150724,
1810447,245,159171,
1810448,246,186302,
1810449,247,192445,
1810450,248,199354,
1810451,249,158133,Peru
1810452,250,172723,
1810453,251,153260,
1810454,252,189606,Austria
1810455,253,178085,
1810456,254,173474,
1810457,255,172962,
1810458,256,158626,
1810459,257,219145,Chile
1810460,258,146952,
1810461,259,177159,
1810462,260,236295,
1810463,261,229636,Uruguay
1810464,262,185090,
1810465,263,177666,
1810466,264,205569,
1810467,265,184575,
1810468,266,172287,
1810469,267,190717,
1810470,268,184826,
1810471,269,193011,
1810472,270,189682,
1810473,271,164082,
1810474,272,178416,
1810475,273,189250,Venezuela
1810476,274,208450,
1810477,275,162369,
1810478,276,205632,
1810479,277,183871,
1810480,278,230463,Brazil
1810481,279,219455,
1810482,280,215871,
1810483,281,189757,
1810484,282,177723,
1810485,283,213051,Egypt
1810486,284,223033,
1810487,285,199737,
1810488,286,227127,
1810489,287,196150,
1810490,288,142902,
1810491,289,212602,
1810492,290,168312,
1810493,291,157304,Belgium
1810494,292,205431,
1810495,293,200054,
1810496,294,216437,
1810497,295,205427,
1810498,296,183666,
1810499,297,177519,
1810500,298,172143,Denmark
1810501,299,50542,
1810502,300,188524,
1810503,301,185195,
1810504,302,193130,
1810505,303,225126,
1810506,304,229476,
1810507,305,152999,
1810508,306,224933,Italy
1810509,307,152997,
1810510,308,182179,
1810511,309,183714,
1810512,310,177569,
1810513,311,152993,
1810514,312,221342,
1810515,313,201118,Portugal
1810516,314,184477,
1810517,315,210333,
1810518,316,190875,
1810519,317,53914,
1810520,318,211354,
1810521,319,194201,Sweden
1810522,320,186521,
1810523,321,212442,
1810524,322,199641,
1810525,323,183512,
1810526,324,220883,
1810527,325,216531,
1810528,326,201939,
1810529,327,190674,
1810530,328,169426,
1810531,329,218066,
1810532,330,231633,
1810533,331,199633,
1810534,332,232656,
1810535,333,192715,
1810536,334,216266,Netherlands
1810537,335,138699,
1810538,336,199626,
1810539,337,190223,
1810540,338,161805,
1810541,339,192012,Mexico
1810542,340,189196,
1810543,341,188428,
1810544,342,242444,
1810545,343,215051,
1810546,344,171018,
1810547,345,172553,Denmark
1810548,346,167431,
1810549,347,188166,Scotland
1810550,348,221701,
1810551,349,221445,
1810552,350,200197,
1810553,351,220932,
1810554,352,201988,
1810555,353,196144,
1810556,354,210736,
1810557,355,193839,
1810558,356,184111,
1810559,357,229167,
1810560,358,163631,
1810561,359,152879,
1810562,360,244269,
1810563,361,174381,
1810564,362,204077,
1810565,363,189484,
1810566,364,224811,
1810567,365,228650,
1810568,366,155946,
1810569,367,226601,
1810570,368,223273,
1810571,369,186200,
1810572,370,221016,
1810573,371,134744,Canada
1810574,372,183895,
1810575,373,195671,
1810576,374,215639,
1810577,375,230230,
1810578,376,199254,
1810579,377,163925,
1810580,378,209236,
1810581,379,139860,
1810582,380,162131,
1810583,381,143699,
1810584,382,186961,
1810585,383,230224,
1810586,384,155984,
1810587,385,178284,
1810588,386,203910,
1810589,387,229764,
1810590,388,208004,
1810591,389,201858,
1810592,390,143745,
1810593,391,193408,SL Benfica
1810594,392,230528,
1810595,393,238463,
1810596,394,189053,
1810597,395,222077,
1810598,396,197756,
1810599,397,215930,
1810600,398,188536,
1810601,399,146296,
1810602,400,203128,
1810603,401,226166,
1810604,402,206198,
1810605,403,192427,
1810606,404,152747,
1810607,405,205995,
1810608,406,221354,
1810609,407,194728,
1810610,408,188840,
1810611,409,182184,
1810612,410,235944,
1810613,411,190885,
1810614,412,201893,
1810615,413,189860,
1810616,414,230564,
1810617,415,152996,
1810618,416,211108,
1810619,417,134820,
1810620,418,232099,
1810621,419,200353,
1810622,420,198614,
1810623,421,184789,Hungary
1810624,422,230613,
1810625,423,189908,Poland
1810626,424,192722,
1810627,425,204497,
1810628,426,211408,
1810629,427,198352,
1810630,428,188879,
1810631,429,231887,Turkey
1810632,430,189390,
1810633,431,239053,Uruguay
1810634,432,214989,
1810635,433,137677,
1810636,434,198861,
1810637,435,209610,
1810638,436,240900,
1810639,437,225028,
1810640,438,186115,
1810641,439,213761,
1810642,440,239872,
1810643,441,216320,
1810644,442,768,
1810645,443,188414,
1810646,444,176894,
1810647,445,220414,
1810648,446,205566,
1810649,447,199422,
1810650,448,198140,
1810651,449,190971,
1810652,450,212219,
1810653,451,183546,
1810654,452,221479,
1810655,453,193062,
1810656,454,215334,
1810657,455,210214,
1810658,456,237604,
1810659,457,220196,Wales
1810660,458,195363,
1810661,459,191011,
1810662,460,179746,Wales
1810663,461,195361,
1810664,462,219681,
1810665,463,216097,
1810666,464,194079,
1810667,465,186143,Northern Ireland
1810668,466,211999,
1810669,467,210463,Venezuela
1810670,468,208451,Sweden
1810671,469,204355,Wales
1810672,470,231745,
1810673,471,230465,
1810674,472,49472,
1810675,473,219712,
1810676,474,215616,
1810677,475,209984,
1810678,476,192575,
1810679,477,198719,
1810680,478,190782,
1810681,479,183870,
1810682,480,228414,
1810683,481,150590,
1810684,482,147006,
1810685,483,194365,
1810686,484,179551,
1810687,485,236639,
1810688,486,222558,
1810689,487,200798,
1810690,488,213597,Santos Laguna
1810691,489,193116,
1810692,490,215644,
1810693,491,169051,
1810694,492,229723,
1810695,493,220763,New Zealand
1810696,494,206427,
1810697,495,173146,
1810698,496,201818,
1810699,497,206424,
1810700,498,192087,
1810701,499,210007,
1810702,500,208509,
1810703,501,237692,
1810704,502,222844,
1810705,503,225403,Turkey
1810706,504,134779,
1810707,505,213114,
1810708,506,164985,
1810709,507,228729,
1810710,508,211321,
1810711,509,171896,
1810712,510,236920,
1810713,511,225144,
1810714,512,223608,
1810715,513,105846,
1810716,514,209782,
1810717,515,207734,
1810718,516,189338,
1810719,517,230042,
1810720,518,223898,
1810721,519,209818,
1810722,520,233113,
1810723,521,225945,
1810724,522,215449,
1810725,523,187800,Chile
1810726,524,238744,United States
1810727,525,195479,
1810728,526,237207,
1810729,527,215703,
1810730,528,208535,
1810731,529,202135,
1810732,530,184469,Republic of Ireland
1810733,531,244373,
1810734,532,235454,
1810735,533,215998,
1810736,534,220093,
1810737,535,211899,
1810738,536,158905,
1810739,537,213689,
1810740,538,231352,
1810741,539,188086,
1810742,540,234678,
1810743,541,222390,
1810744,542,211382,
1810745,543,209846,
1810746,544,202934,
1810747,545,186805,Ecuador
1810748,546,198581,Pachuca
1810749,547,194996,
1810750,548,215270,
1810751,549,184037,
1810752,550,229092,
1810753,551,220132,
1810754,552,220131,
1810755,553,244193,
1810756,554,157665,
1810757,555,212449,
1810758,556,172768,
1810759,557,195038,Austria
1810760,558,235997,
1810761,559,169181,
1810762,560,192476,
1810763,561,214491,
1810764,562,195033,Australia
1810765,563,234201,
1810766,564,206594,
1810767,565,199170,
1810768,566,198658,Norway
1810769,567,197890,
1810770,568,230401,
1810771,569,221697,
1810772,570,220673,Peru
1810773,571,212225,Chile
1810774,572,198657,Norway
1810775,573,191488,
1810776,574,221695,
1810777,575,201215,
1810778,576,169214,
1810779,577,177149,
1810780,578,228093,
1810781,579,214781,
1810782,580,205601,
1810783,581,186912,
1810784,582,198688,
1810785,583,245279,
1810786,584,234015,
1810787,585,210719,
1810788,586,194334,
1810789,587,221982,
1810790,588,215070,
1810791,589,194333,
1810792,590,215069,
1810793,591,190748,
1810794,592,189468,
1810795,593,183068,
1810796,594,205340,
1810797,595,45083,
1810798,596,193337,
1810799,597,241721,
1810800,598,207929,
1810801,599,186680,
1810802,600,194359,
1810803,601,244791,
1810804,602,212023,Slovenia
1810805,603,171830,
1810806,604,200758,
1810807,605,193077,
1810808,606,176693,
1810809,607,205365,Czech Republic
1810810,608,190772,
1810811,609,223284,
1810812,610,207412,
1810813,611,189491,
1810814,612,121937,
1810815,613,224081,
1810816,614,158800,
1810817,615,209744,Racing Club
1810818,616,206160,
1810819,617,237135,
1810820,618,234575,
1810821,619,163407,
1810822,620,233550,
1810823,621,215886,
1810824,622,213582,
1810825,623,196942,
1810826,624,192333,
1810827,625,178253,
1810828,626,229453,
1810829,627,223053,
1810830,628,210287,
1810831,629,188270,
1810832,630,205934,
1810833,631,200302,Scotland
1810834,632,193133,Denmark
1810835,633,203629,
1810836,634,179820,
1810837,635,169324,FC Red Bull Salzburg
1810838,636,202858,
1810839,637,199274,
1810840,638,233064,
1810841,639,211048,
1810842,640,230503,
1810843,641,148839,
1810844,642,213095,Puebla FC
1810845,643,202087,
1810846,644,184457,
1810847,645,225673,
1810848,646,209289,
1810849,647,189576,
1810850,648,211592,
1810851,649,192647,
1810852,650,180359,
1810853,651,178567,
1810854,652,236935,
1810855,653,230021,
1810856,654,230276,
1810857,655,208260,Greece
1810858,656,194947,
1810859,657,158851,Universidad de Chile
1810860,658,202115,
1810861,659,164994,Poland
1810862,660,225951,
1810863,661,215199,
1810864,662,212127,
1810865,663,212125,
1810866,664,193692,
1810867,665,192156,
1810868,666,191388,
1810869,667,189084,
1810870,668,245660,
1810871,669,229788,
1810872,670,192667,
1810873,671,237211,
1810874,672,189595,
1810875,673,165531,
1810876,674,204699,
1810877,675,202395,
1810878,676,198331,
1810879,677,166074,
1810880,678,178616,
1810881,679,232119,Turkey
1810882,680,225719,
1810883,681,216247,
1810884,682,205495,
1810885,683,220085,
1810886,684,230324,
1810887,685,183475,Norway
1810888,686,201139,
1810889,687,234930,
1810890,688,200882,
1810891,689,209329,
1810892,690,199601,
1810893,691,176048,
1810894,692,203736,
1810895,693,200408,
1810896,694,212183,
1810897,695,201943,Denmark
1810898,696,192725,
1810899,697,226773,
1810900,698,223188,Turkey
1810901,699,151508,Northern Ireland
1810902,700,209620,
1810903,701,190931,
1810904,702,208339,
1810905,703,187858,
1810906,704,175314,
1810907,705,230354,
1810908,706,187601,
1810909,707,229585,Al Hilal
1810910,708,213242,
1810911,709,212474,
1810912,710,199418,
1810913,711,189945,
1810914,712,176377,
1810915,713,162297,
1810916,714,222457,
1810917,715,184312,
1810918,716,177398,
1810919,717,234742,
1810920,718,232693,
1810921,719,199157,
1810922,720,183284,
1810923,721,217844,
1810924,722,148212,
1810925,723,183795,
1810926,724,234772,
1810927,725,230420,
1810928,726,157716,
1810929,727,204308,
1810930,728,192274,
1810931,729,180754,
1810932,730,186385,
1810933,731,221201,
1810934,732,219409,
1810935,733,213777,Norway
1810936,734,208144,
1810937,735,223247,
1810938,736,241166,
1810939,737,217870,
1810940,738,225293,
1810941,739,223245,
1810942,740,172077,
1810943,741,226861,
1810944,742,226093,
1810945,743,202541,
1810946,744,221740,
1810947,745,190507,
1810948,746,178475,
1810949,747,215083,
1810950,748,209449,
1810951,749,189480,
1810952,750,220198,
1810953,751,191269,
1810954,752,244261,
1810955,753,226853,
1810956,754,207653,Club Tijuana
1810957,755,195620,
1810958,756,223524,
1810959,757,195912,
1810960,758,190535,
1810961,759,211527,
1810962,760,207431,
1810963,761,196935,
1810964,762,158790,
1810965,763,192838,
1810966,764,211014,
1810967,765,203590,
1810968,766,184133,
1810969,767,233029,
1810970,768,213061,
1810971,769,190276,
1810972,770,196932,
1810973,771,226627,
1810974,772,207683,
1810975,773,209218,
1810976,774,198240,
1810977,775,232543,
1810978,776,231263,
1810979,777,231007,
1810980,778,184926,
1810981,779,234078,
1810982,780,214622,
1810983,781,142942,
1810984,782,156253,
1810985,783,204125,Czech Republic
1810986,784,193884,
1810987,785,183644,
1810988,786,49756,
1810989,787,229980,
1810990,788,188506,
1810991,789,175962,
1810992,790,235866,
1810993,791,214136,
1810994,792,210296,
1810995,793,189303,
1810996,794,183671,
1810997,795,215927,
1810998,796,179574,
1810999,797,169078,
1811000,798,229494,
1811001,799,189557,
1811002,800,165493,
1811003,801,229749,
1811004,802,211061,Romania
1811005,803,202101,
1811006,804,184436,
1811007,805,162932,
1811008,806,192371,
1811009,807,221331,
1811010,808,212369,
1811011,809,137361,
1811012,810,199313,
1811013,811,225680,Ecuador
1811014,812,210320,
1811015,813,182670,Turkey
1811016,814,176526,
1811017,815,230286,
1811018,816,152718,
1811019,817,214158,
1811020,818,215181,
1811021,819,182411,
1811022,820,172939,
1811023,821,230283,
1811024,822,188554,
1811025,823,190636,
1811026,824,185260,
1811027,825,234924,
1811028,826,194730,
1811029,827,222634,
1811030,828,210602,
1811031,829,200106,
1811032,830,228777,
1811033,831,190120,Sweden
1811034,832,178600,
1811035,833,158375,
1811036,834,205735,
1811037,835,201895,
1811038,836,213414,
1811039,837,192165,
1811040,838,237221,
1811041,839,198599,Norway
1811042,840,225478,
1811043,841,210118,
1811044,842,206022,
1811045,843,181445,
1811046,844,178628,
1811047,845,190915,
1811048,846,230850,
1811049,847,226754,
1811050,848,194753,
1811051,849,186817,
1811052,850,220609,
1811053,851,236480,
1811054,852,188607,
1811055,853,232639,
1811056,854,214207,
1811057,855,225252,
1811058,856,190947,
1811059,857,168930,
1811060,858,169697,Republic of Ireland
1811061,859,229857,
1811062,860,214497,
1811063,861,199392,
1811064,862,231391,
1811065,863,221919,
1811066,864,7647,
1811067,865,190942,
1811068,866,183774,
1811069,867,155355,
1811070,868,205531,
1811071,869,176345,
1811072,870,230361,
1811073,871,164857,
1811074,872,158969,
1811075,873,183288,
1811076,874,198136,
1811077,875,183287,
1811078,876,226807,United States
1811079,877,218359,
1811080,878,244470,Czech Republic
1811081,879,221174,
1811082,880,230389,
1811083,881,183540,
1811084,882,236532,
1811085,883,214772,
1811086,884,137460,
1811087,885,226803,
1811088,886,222707,
1811089,887,224242,
1811090,888,193549,
1811091,889,245261,
1811092,890,239117,
1811093,891,173325,
1811094,892,220685,
1811095,893,176652,
1811096,894,222988,
1811097,895,213260,
1811098,896,223243,
1811099,897,222987,
1811100,898,192778,
1811101,899,238858,
1811102,900,241673,
1811103,901,238857,
1811104,902,210697,
1811105,903,188168,
1811106,904,239904,
1811107,905,237600,
1811108,906,209440,
1811109,907,175391,
1811110,908,149791,
1811111,909,211231,
1811112,910,208159,
1811113,911,205343,
1811114,912,200735,
1811115,913,184606,
1811116,914,203038,
1811117,915,230429,
1811118,916,212253,
1811119,917,206109,
1811120,918,192540,
1811121,919,109852,Northern Ireland
1811122,920,208949,
1811123,921,230452,
1811124,922,225844,
1811125,923,198196,
1811126,924,196916,
1811127,925,222515,
1811128,926,152883,
1811129,927,202547,
1811130,928,186674,
1811131,929,240690,
1811132,930,227890,
1811133,931,201266,
1811134,932,190769,
1811135,933,186161,
1811136,934,223537,
1811137,935,204337,
1811138,936,206152,
1811139,937,182343,
1811140,938,155463,
1811141,939,200519,
1811142,940,234822,
1811143,941,165190,
1811144,942,223046,
1811145,943,213829,
1811146,944,213317,
1811147,945,201285,
1811148,946,243780,
1811149,947,205124,
1811150,948,184387,
1811151,949,149571,
1811152,950,206147,
1811153,951,236610,
1811154,952,19292,
1811155,953,211292,
1811156,954,209756,
1811157,955,188763,
1811158,956,191066,
1811159,957,225114,
1811160,958,210010,
1811161,959,189272,
1811162,960,225880,Paraguay
1811163,961,230231,
1811164,962,187478,
1811165,963,247126,
1811166,964,232278,
1811167,965,214358,
1811168,966,183893,
1811169,967,219733,
1811170,968,191856,
1811171,969,29552,
1811172,970,224368,
1811173,971,220528,
1811174,972,215152,
1811175,973,224367,
1811176,974,212591,United States
1811177,975,219758,
1811178,976,188269,
1811179,977,179565,Switzerland
1811180,978,178029,
1811181,979,222573,
1811182,980,213613,
1811183,981,173162,
1811184,982,48745,
1811185,983,168297,
1811186,984,215414,
1811187,985,133249,
1811188,986,192128,
1811189,987,191104,
1811190,988,183936,
1811191,989,239744,
1811192,990,233600,
1811193,991,225151,
1811194,992,220031,Scotland
1811195,993,216191,
1811196,994,211327,
1811197,995,203903,
1811198,996,164478,
1811199,997,16254,
1811200,998,168317,
1811201,999,220029,
1811202,1000,188540,
1811203,1001,224921,
1811204,1002,215193,
1811205,1003,212889,
1811206,1004,236696,
1811207,1005,230296,
1811208,1006,216472,
1811209,1007,214168,
1811210,1008,192663,
1811211,1009,205207,
1811212,1010,190870,
1811213,1011,229526,
1811214,1012,193429,
1811215,1013,49045,
1811216,1014,214933,
1811217,1015,201877,Norway
1811218,1016,192660,
1811219,1017,200111,
1811220,1018,241070,
1811221,1019,214190,
1811222,1020,205998,
1811223,1021,224428,
1811224,1022,200108,
1811225,1023,237995,
1811226,1024,210603,
1811227,1025,203435,
1811228,1026,221610,
1811229,1027,211626,Poland
1811230,1028,142762,
1811231,1029,6826,
1811232,1030,182440,Australia
1811233,1031,235176,
1811234,1032,228520,
1811235,1033,243656,
1811236,1034,230344,
1811237,1035,216520,Querétaro
1811238,1036,212680,Northern Ireland
1811239,1037,236999,
1811240,1038,214727,
1811241,1039,207559,
1811242,1040,230341,
1811243,1041,228804,
1811244,1042,200387,
1811245,1043,218050,
1811246,1044,152514,
1811247,1045,192449,
1811248,1046,143809,
1811249,1047,158144,
1811250,1048,211903,
1811251,1049,194015,
1811252,1050,242143,
1811253,1051,155871,
1811254,1052,208607,
1811255,1053,200159,
1811256,1054,196318,Turkey
1811257,1055,190430,
1811258,1056,183518,
1811259,1057,223198,
1811260,1058,220638,
1811261,1059,212446,
1811262,1060,222429,
1811263,1061,217565,
1811264,1062,213725,South Africa
1811265,1063,203741,
1811266,1064,189148,
1811267,1065,230390,
1811268,1066,223734,
1811269,1067,213750,
1811270,1068,111093,
1811271,1069,193780,
1811272,1070,181236,
1811273,1071,214004,
1811274,1072,199412,
1811275,1073,198900,
1811276,1074,193267,
1811277,1075,241907,
1811278,1076,237043,Cruz Azul
1811279,1077,220659,
1811280,1078,214515,
1811281,1079,189938,
1811282,1080,207858,
1811283,1081,223240,
1811284,1082,233223,
1811285,1083,230407,
1811286,1084,212231,
1811287,1085,201991,
1811288,1086,240134,
1811289,1087,228614,
1811290,1088,199174,
1811291,1089,193029,
1811292,1090,176389,
1811293,1091,225541,
1811294,1092,241412,Santos Laguna
1811295,1093,232708,
1811296,1094,215556,Switzerland
1811297,1095,201220,
1811298,1096,180739,
1811299,1097,240899,
1811300,1098,202271,
1811301,1099,193310,
1811302,1100,238621,
1811303,1101,222493,
1811304,1102,211741,
1811305,1103,198429,Czech Republic
1811306,1104,168732,
1811307,1105,167452,
1811308,1106,229404,
1811309,1107,228124,
1811310,1108,229659,
1811311,1109,225563,
1811312,1110,215067,
1811313,1111,214299,
1811314,1112,192026,
1811315,1113,235290,
1811316,1114,198194,
1811317,1115,237105,
1811318,1116,236593,
1811319,1117,234033,
1811320,1118,233265,
1811321,1119,211249,
1811322,1120,196913,
1811323,1121,184624,
1811324,1122,244271,
1811325,1123,209711,
1811326,1124,244270,
1811327,1125,176942,Sweden
1811328,1126,217646,
1811329,1127,199726,
1811330,1128,193581,
1811331,1129,189228,
1811332,1130,156483,
1811333,1131,202052,
1811334,1132,156227,
1811335,1133,212035,
1811336,1134,193602,
1811337,1135,226626,
1811338,1136,150594,
1811339,1137,211522,
1811340,1138,205122,
1811341,1139,223297,
1811342,1140,211265,
1811343,1141,211009,Republic of Ireland
1811344,1142,209729,
1811345,1143,209473,
1811346,1144,232512,
1811347,1145,180287,
1811348,1146,187988,
1811349,1147,185172,
1811350,1148,163156,Republic of Ireland
1811351,1149,213332,
1811352,1150,204372,
1811353,1151,234579,
1811354,1152,231507,
1811355,1153,200787,
1811356,1154,52306,
1811357,1155,180818,
1811358,1156,243538,
1811359,1157,234578,
1811360,1158,222546,
1811361,1159,234833,
1811362,1160,183632,
1811363,1161,169808,
1811364,1162,217168,
1811365,1163,214096,
1811366,1164,199789,
1811367,1165,161644,
1811368,1166,225900,
1811369,1167,223596,
1811370,1168,219244,BSC Young Boys
1811371,1169,241771,
1811372,1170,214378,
1811373,1171,234857,
1811374,1172,169321,
1811375,1173,209769,
1811376,1174,159080,
1811377,1175,214376,
1811378,1176,203368,
1811379,1177,191079,
1811380,1178,228967,
1811381,1179,224103,
1811382,1180,221564,
1811383,1181,203388,
1811384,1182,194171,
1811385,1183,193147,
1811386,1184,173179,
1811387,1185,218747,
1811388,1186,205691,
1811389,1187,173434,
1811390,1188,230522,
1811391,1189,230266,
1811392,1190,189561,
1811393,1191,178297,
1811394,1192,169593,
1811395,1193,225145,South Africa
1811396,1194,202873,
1811397,1195,214392,
1811398,1196,205970,
1811399,1197,199570,
1811400,1198,215441,
1811401,1199,237456,
1811402,1200,232080,
1811403,1201,204688,
1811404,1202,198032,
1811405,1203,193679,
1811406,1204,236175,
1811407,1205,212879,
1811408,1206,204687,
1811409,1207,192910,
1811410,1208,190094,
1811411,1209,240526,
1811412,1210,225934,
1811413,1211,220302,
1811414,1212,205990,
1811415,1213,244389,
1811416,1214,240037,
1811417,1215,162981,
1811418,1216,220837,Atlético Nacional
1811419,1217,214436,
1811420,1218,202148,
1811421,1219,227235,
1811422,1220,207523,
1811423,1221,182178,
1811424,1222,229282,
1811425,1223,212130,
1811426,1224,201890,
1811427,1225,193185,
1811428,1226,216481,
1811429,1227,232608,
1811430,1228,199101,
1811431,1229,166844,Northern Ireland
1811432,1230,230332,
1811433,1231,204476,
1811434,1232,188091,
1811435,1233,172475,
1811436,1234,233147,
1811437,1235,201403,
1811438,1236,221370,
1811439,1237,220090,
1811440,1238,189369,
1811441,1239,186553,
1811442,1240,180409,
1811443,1241,201145,
1811444,1242,230072,
1811445,1243,186551,
1811446,1244,215502,
1811447,1245,198350,
1811448,1246,197838,
1811449,1247,183245,
1811450,1248,231628,
1811451,1249,198348,
1811452,1250,188107,
1811453,1251,193226,
1811454,1252,168650,
1811455,1253,227530,
1811456,1254,227274,
1811457,1255,142794,
1811458,1256,207562,
1811459,1257,200138,
1811460,1258,187337,
1811461,1259,176841,
1811462,1260,230366,
1811463,1261,225502,
1811464,1262,223710,
1811465,1263,215262,
1811466,1264,201438,
1811467,1265,177373,
1811468,1266,239837,
1811469,1267,227293,
1811470,1268,158685,
1811471,1269,210653,
1811472,1270,145117,
1811473,1271,192732,
1811474,1272,176348,
1811475,1273,239580,
1811476,1274,237532,
1811477,1275,234716,
1811478,1276,205551,
1811479,1277,202223,
1811480,1278,199663,
1811481,1279,238830,
1811482,1280,216302,
1811483,1281,210926,
1811484,1282,206317,
1811485,1283,201965,
1811486,1284,244204,
1811487,1285,237548,
1811488,1286,228332,
1811489,1287,181483,
1811490,1288,235499,
1811491,1289,212715,
1811492,1290,210923,
