Id,Overall_Rating,Potential,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Gk_Diving,Gk_Handling,Gk_Kicking,Gk_Positioning,Gk_Reflexes,Log Value_Euro,Age,Log Predicted Value_Euro,Name,Value_Euro,Predicted Value_Euro
209331,89.0,90.0,78.0,90.0,59.0,83.0,76.0,89.0,83.0,60.0,74.0,88.0,94.0,91.0,91.0,92.0,88.0,80.0,68.0,84.0,70.0,83.0,63.0,55.0,92.0,84.0,75.0,91.0,38.0,43.0,41.0,14.0,14.0,9.0,11.0,14.0,18.178609182752638,26,13.54078122330122,M. Salah,"78,500,000","759,777"
211110,89.0,94.0,82.0,84.0,68.0,87.0,88.0,92.0,88.0,88.0,75.0,92.0,87.0,83.0,91.0,86.0,85.0,82.0,75.0,80.0,65.0,88.0,48.0,32.0,84.0,87.0,86.0,84.0,23.0,20.0,20.0,5.0,4.0,4.0,5.0,8.0,18.304146927696415,25,13.511784637452521,P. Dybala,"89,000,000","738,063"
232363,86.0,93.0,40.0,42.0,82.0,73.0,40.0,59.0,34.0,30.0,69.0,67.0,70.0,73.0,48.0,83.0,51.0,50.0,78.0,77.0,85.0,30.0,86.0,86.0,30.0,57.0,56.0,81.0,92.0,89.0,84.0,10.0,13.0,12.0,8.0,12.0,17.795192211866237,24,13.132351551124898,M. Škriniar,"53,500,000","505,019"
135507,87.0,87.0,68.0,69.0,66.0,85.0,74.0,77.0,70.0,72.0,83.0,82.0,68.0,67.0,72.0,89.0,78.0,83.0,78.0,84.0,76.0,78.0,87.0,89.0,70.0,75.0,61.0,79.0,87.0,86.0,80.0,12.0,11.0,5.0,13.0,7.0,16.835935444108635,33,13.191588659099976,Fernandinho,"20,499,999","535,838"
167664,87.0,87.0,68.0,91.0,79.0,74.0,88.0,83.0,74.0,62.0,59.0,84.0,70.0,72.0,75.0,86.0,69.0,86.0,79.0,70.0,85.0,80.0,50.0,20.0,92.0,74.0,70.0,86.0,35.0,22.0,18.0,5.0,12.0,7.0,5.0,10.0,17.697074355907713,31,12.560771693676529,G. Higuaín,"48,500,000","285,150"
168651,87.0,87.0,84.0,79.0,59.0,87.0,84.0,82.0,88.0,82.0,90.0,85.0,66.0,62.0,73.0,80.0,66.0,84.0,39.0,83.0,71.0,87.0,67.0,81.0,80.0,86.0,82.0,86.0,76.0,75.0,73.0,14.0,11.0,12.0,5.0,9.0,17.654962870557586,30,10.607064699980192,I. Rakitić,"46,500,000","40,419"
172871,87.0,87.0,72.0,56.0,80.0,79.0,52.0,71.0,63.0,73.0,74.0,77.0,61.0,65.0,61.0,85.0,60.0,80.0,85.0,75.0,79.0,66.0,84.0,89.0,60.0,68.0,66.0,83.0,89.0,87.0,88.0,6.0,10.0,9.0,12.0,7.0,17.341871082580436,31,12.926903330461222,J. Vertonghen,"34,000,000","411,228"
175943,87.0,87.0,77.0,86.0,35.0,82.0,70.0,91.0,82.0,79.0,74.0,89.0,93.0,85.0,94.0,88.0,92.0,80.0,60.0,75.0,42.0,81.0,59.0,36.0,87.0,83.0,79.0,81.0,25.0,40.0,40.0,7.0,10.0,8.0,10.0,4.0,17.622173047734595,31,14.248155668133569,D. Mertens,"45,000,000","1,541,329"
176676,87.0,87.0,90.0,73.0,75.0,84.0,61.0,90.0,85.0,67.0,78.0,92.0,83.0,82.0,86.0,87.0,86.0,83.0,76.0,89.0,78.0,70.0,84.0,83.0,85.0,82.0,59.0,86.0,71.0,82.0,83.0,12.0,5.0,5.0,5.0,9.0,17.41282281855272,30,12.467772303676108,Marcelo,"36,499,999","259,827"
184087,87.0,88.0,64.0,45.0,82.0,79.0,38.0,62.0,63.0,69.0,85.0,75.0,61.0,67.0,60.0,88.0,50.0,78.0,84.0,76.0,79.0,65.0,81.0,87.0,58.0,67.0,58.0,84.0,90.0,91.0,86.0,16.0,6.0,14.0,16.0,14.0,17.599700191882537,30,14.5680866387613,T. Alderweireld,"44,000,000","2,122,460"
189332,87.0,87.0,87.0,73.0,70.0,84.0,60.0,80.0,80.0,63.0,74.0,84.0,93.0,93.0,90.0,83.0,85.0,64.0,81.0,91.0,61.0,66.0,77.0,84.0,80.0,76.0,59.0,82.0,74.0,84.0,84.0,13.0,15.0,13.0,6.0,13.0,17.45309671769066,29,13.111924087008024,Jordi Alba,"37,999,999","494,807"
189509,87.0,87.0,72.0,69.0,54.0,90.0,90.0,90.0,85.0,77.0,87.0,90.0,78.0,69.0,90.0,86.0,86.0,76.0,75.0,75.0,59.0,79.0,56.0,78.0,79.0,86.0,75.0,85.0,67.0,67.0,71.0,6.0,11.0,7.0,9.0,13.0,17.757092365633966,27,12.365276144078704,Thiago,"51,500,000","234,515"
192387,87.0,87.0,55.0,90.0,81.0,74.0,87.0,83.0,70.0,51.0,49.0,83.0,78.0,85.0,77.0,87.0,63.0,86.0,77.0,80.0,76.0,80.0,77.0,40.0,91.0,65.0,78.0,81.0,34.0,33.0,32.0,6.0,8.0,15.0,12.0,6.0,17.7667542765457,29,13.875612967335721,C. Immobile,"51,999,999","1,061,945"
193041,87.0,87.0,11.0,15.0,11.0,30.0,11.0,16.0,11.0,15.0,37.0,19.0,54.0,53.0,60.0,84.0,61.0,21.0,74.0,39.0,75.0,13.0,32.0,20.0,16.0,68.0,25.0,67.0,28.0,14.0,14.0,90.0,81.0,75.0,82.0,90.0,17.23323724157764,32,11.890335702313033,K. Navas,"30,500,000","145,850"
197781,87.0,90.0,75.0,79.0,55.0,86.0,65.0,94.0,88.0,76.0,81.0,95.0,75.0,69.0,87.0,77.0,90.0,69.0,64.0,70.0,59.0,85.0,58.0,64.0,78.0,86.0,76.0,86.0,60.0,64.0,51.0,10.0,8.0,12.0,15.0,6.0,17.95067711470663,26,13.597110175205112,Isco,"62,499,999","803,803"
198710,87.0,88.0,90.0,83.0,62.0,89.0,90.0,85.0,89.0,86.0,83.0,90.0,73.0,67.0,83.0,85.0,76.0,86.0,54.0,70.0,68.0,92.0,64.0,55.0,80.0,88.0,81.0,87.0,52.0,41.0,44.0,15.0,15.0,15.0,5.0,14.0,17.893048001869992,27,14.5602811598133,J. Rodríguez,"58,999,999","2,105,958"
200145,87.0,89.0,58.0,64.0,76.0,83.0,61.0,69.0,63.0,74.0,82.0,78.0,61.0,66.0,62.0,86.0,66.0,86.0,88.0,87.0,89.0,81.0,89.0,86.0,69.0,77.0,66.0,84.0,84.0,87.0,86.0,13.0,14.0,16.0,12.0,12.0,17.73748389424559,27,16.241787154712142,Casemiro,"50,500,000","11,316,667"
201399,87.0,90.0,46.0,91.0,91.0,73.0,85.0,77.0,58.0,45.0,54.0,81.0,77.0,78.0,76.0,88.0,76.0,84.0,94.0,69.0,76.0,70.0,56.0,22.0,92.0,64.0,82.0,85.0,45.0,24.0,20.0,13.0,9.0,5.0,7.0,9.0,17.982175781766,26,15.814489746672814,M. Icardi,"64,499,999","7,381,517"
206585,84.0,90.0,25.0,11.0,17.0,32.0,18.0,10.0,25.0,19.0,36.0,16.0,34.0,33.0,41.0,79.0,39.0,25.0,71.0,37.0,51.0,14.0,18.0,21.0,15.0,55.0,24.0,63.0,19.0,18.0,16.0,84.0,82.0,79.0,80.0,85.0,17.24949776244942,24,13.271816523990468,Kepa,"30,999,999","580,599"
208670,84.0,86.0,84.0,68.0,53.0,86.0,77.0,84.0,90.0,78.0,89.0,83.0,76.0,74.0,86.0,83.0,78.0,80.0,38.0,86.0,59.0,76.0,72.0,62.0,76.0,88.0,72.0,83.0,52.0,66.0,36.0,11.0,7.0,11.0,8.0,14.0,17.45309671769066,25,13.525196449710842,H. Ziyech,"37,999,999","748,028"
209499,84.0,88.0,79.0,66.0,75.0,83.0,47.0,76.0,71.0,53.0,80.0,82.0,69.0,72.0,69.0,83.0,67.0,78.0,75.0,92.0,79.0,65.0,85.0,84.0,70.0,77.0,91.0,84.0,84.0,86.0,84.0,13.0,12.0,6.0,8.0,8.0,17.341871082580436,25,15.53742160441306,Fabinho,"34,000,000","5,595,210"
211300,84.0,90.0,76.0,84.0,69.0,78.0,74.0,88.0,84.0,54.0,60.0,87.0,88.0,89.0,85.0,82.0,81.0,84.0,74.0,76.0,75.0,80.0,58.0,42.0,83.0,74.0,81.0,82.0,34.0,39.0,36.0,9.0,8.0,8.0,15.0,11.0,17.565014633894645,23,14.05869412390886,A. Martial,"42,499,999","1,275,302"
212188,84.0,87.0,69.0,87.0,77.0,77.0,85.0,83.0,63.0,56.0,55.0,84.0,93.0,93.0,81.0,86.0,76.0,78.0,78.0,83.0,64.0,70.0,63.0,37.0,85.0,61.0,72.0,74.0,39.0,20.0,19.0,9.0,9.0,8.0,15.0,9.0,17.50439001207821,23,14.260150332074753,T. Werner,"40,000,000","1,559,928"
212190,84.0,90.0,30.0,20.0,86.0,78.0,31.0,42.0,28.0,30.0,63.0,63.0,52.0,84.0,33.0,79.0,33.0,77.0,38.0,65.0,94.0,62.0,82.0,82.0,26.0,30.0,32.0,72.0,83.0,85.0,83.0,15.0,7.0,14.0,7.0,15.0,17.41282281855272,23,14.824902308503416,N. Süle,"36,499,999","2,743,931"
212198,84.0,88.0,84.0,74.0,58.0,85.0,84.0,83.0,86.0,85.0,84.0,86.0,79.0,76.0,77.0,84.0,78.0,87.0,72.0,91.0,67.0,88.0,66.0,71.0,81.0,86.0,82.0,84.0,66.0,66.0,57.0,12.0,14.0,15.0,8.0,14.0,17.516812532076766,24,16.942188861838133,Bruno Fernandes,"40,499,999","22,798,125"
212462,84.0,86.0,89.0,65.0,74.0,83.0,67.0,82.0,87.0,79.0,86.0,82.0,84.0,85.0,73.0,83.0,70.0,80.0,81.0,92.0,68.0,75.0,78.0,80.0,76.0,74.0,73.0,80.0,80.0,81.0,79.0,13.0,8.0,12.0,11.0,14.0,17.24949776244942,26,16.367717932293445,Alex Telles,"30,999,999","12,835,405"
216460,84.0,88.0,47.0,37.0,81.0,68.0,30.0,47.0,36.0,44.0,58.0,56.0,69.0,70.0,56.0,76.0,43.0,72.0,90.0,67.0,85.0,48.0,89.0,85.0,24.0,27.0,38.0,73.0,88.0,86.0,87.0,9.0,11.0,7.0,10.0,15.0,17.341871082580436,24,13.194947533380269,J. Giménez,"34,000,000","537,641"
216594,84.0,88.0,83.0,82.0,49.0,83.0,77.0,90.0,81.0,79.0,75.0,89.0,79.0,79.0,84.0,80.0,91.0,84.0,69.0,77.0,82.0,82.0,73.0,28.0,81.0,81.0,76.0,89.0,31.0,37.0,25.0,15.0,9.0,8.0,14.0,15.0,17.516812532076766,25,11.50455275973885,N. Fekir,"40,499,999","99,166"
220793,84.0,88.0,36.0,40.0,80.0,77.0,28.0,63.0,30.0,27.0,67.0,73.0,72.0,79.0,60.0,80.0,55.0,66.0,73.0,76.0,83.0,44.0,87.0,82.0,34.0,49.0,44.0,75.0,84.0,85.0,88.0,9.0,7.0,10.0,6.0,15.0,17.341871082580436,22,10.364517651344821,D. Sánchez,"34,000,000","31,714"
220834,84.0,89.0,82.0,80.0,57.0,83.0,79.0,85.0,83.0,76.0,81.0,85.0,85.0,82.0,79.0,82.0,76.0,86.0,58.0,76.0,61.0,88.0,45.0,45.0,82.0,82.0,62.0,83.0,40.0,42.0,39.0,13.0,9.0,6.0,12.0,10.0,17.541203985200926,23,13.530470353554598,Marco Asensio,"41,499,999","751,984"
231443,84.0,92.0,81.0,78.0,43.0,79.0,76.0,91.0,82.0,64.0,70.0,83.0,94.0,93.0,90.0,82.0,85.0,83.0,59.0,76.0,52.0,76.0,54.0,36.0,79.0,84.0,75.0,82.0,42.0,30.0,33.0,6.0,6.0,14.0,10.0,13.0,17.64415195445337,21,14.704330893899998,O. Dembélé,"46,000,000","2,432,258"
41,85.0,85.0,77.0,69.0,54.0,90.0,75.0,88.0,80.0,70.0,84.0,91.0,70.0,66.0,79.0,84.0,84.0,67.0,47.0,58.0,58.0,70.0,58.0,65.0,78.0,93.0,71.0,89.0,68.0,57.0,56.0,6.0,13.0,6.0,13.0,7.0,16.733281290048552,34,15.544005024875501,Iniesta,"18,499,999","5,632,168"
41236,85.0,85.0,73.0,86.0,83.0,79.0,86.0,79.0,82.0,82.0,73.0,84.0,58.0,59.0,75.0,82.0,39.0,90.0,68.0,61.0,86.0,82.0,84.0,20.0,85.0,79.0,89.0,90.0,28.0,37.0,24.0,13.0,15.0,10.0,9.0,12.0,16.454567887579532,37,15.646013989167548,Z. Ibrahimović,"13,999,999","6,237,025"
205498,83.0,84.0,75.0,57.0,56.0,89.0,71.0,82.0,75.0,76.0,87.0,85.0,70.0,61.0,77.0,82.0,73.0,71.0,58.0,79.0,66.0,62.0,79.0,76.0,68.0,87.0,84.0,79.0,62.0,77.0,70.0,14.0,7.0,13.0,14.0,8.0,17.216707939626428,27,13.2490949675403,Jorginho,"29,999,999","567,556"
205678,83.0,83.0,80.0,80.0,45.0,82.0,74.0,82.0,74.0,60.0,71.0,82.0,90.0,89.0,93.0,80.0,88.0,79.0,69.0,84.0,58.0,77.0,47.0,52.0,83.0,77.0,75.0,82.0,55.0,40.0,40.0,8.0,14.0,14.0,12.0,16.0,17.073607095985757,29,13.26631364662234,E. Višća,"26,000,000","577,413"
206113,83.0,87.0,74.0,81.0,46.0,79.0,83.0,87.0,64.0,62.0,68.0,83.0,92.0,90.0,86.0,81.0,88.0,85.0,64.0,68.0,68.0,81.0,63.0,38.0,80.0,74.0,68.0,74.0,45.0,48.0,45.0,14.0,10.0,10.0,9.0,7.0,17.341871082580436,23,13.314301461599076,S. Gnabry,"34,000,000","605,797"
207410,83.0,89.0,73.0,62.0,42.0,87.0,76.0,88.0,78.0,68.0,82.0,89.0,84.0,74.0,85.0,74.0,85.0,79.0,63.0,82.0,65.0,75.0,77.0,76.0,71.0,88.0,59.0,81.0,69.0,74.0,63.0,9.0,5.0,6.0,7.0,7.0,17.37085861945369,24,12.178821054533993,M. Kovačić,"35,000,000","194,623"
207566,83.0,86.0,68.0,52.0,73.0,81.0,50.0,78.0,79.0,50.0,84.0,80.0,62.0,67.0,51.0,75.0,51.0,70.0,69.0,85.0,92.0,59.0,78.0,81.0,64.0,81.0,60.0,89.0,82.0,83.0,67.0,6.0,6.0,5.0,14.0,14.0,17.111347423968603,26,12.609393844560087,William Carvalho,"26,999,999","299,357"
207863,83.0,84.0,45.0,39.0,81.0,74.0,44.0,57.0,32.0,30.0,67.0,62.0,60.0,67.0,52.0,77.0,57.0,46.0,90.0,78.0,86.0,41.0,92.0,81.0,34.0,50.0,47.0,75.0,85.0,85.0,79.0,9.0,11.0,14.0,9.0,7.0,16.929025867174648,29,13.003490990669187,Felipe,"22,499,999","443,960"
208418,83.0,86.0,78.0,79.0,53.0,77.0,68.0,88.0,81.0,78.0,71.0,87.0,89.0,87.0,88.0,83.0,71.0,84.0,68.0,74.0,59.0,75.0,61.0,18.0,81.0,71.0,74.0,75.0,58.0,39.0,26.0,9.0,11.0,9.0,10.0,10.0,17.312018119430753,25,13.662170210812473,Y. Carrasco,"32,999,999","857,837"
208618,83.0,83.0,83.0,72.0,56.0,83.0,58.0,82.0,82.0,71.0,75.0,82.0,86.0,82.0,86.0,85.0,84.0,80.0,68.0,90.0,57.0,76.0,72.0,62.0,82.0,83.0,56.0,75.0,62.0,62.0,61.0,9.0,16.0,9.0,9.0,7.0,17.111347423968603,27,14.344634387296685,Lucas Vázquez,"26,999,999","1,697,444"
208808,83.0,83.0,79.0,86.0,60.0,78.0,69.0,84.0,75.0,76.0,73.0,82.0,90.0,91.0,87.0,82.0,79.0,82.0,82.0,83.0,61.0,83.0,60.0,33.0,79.0,81.0,74.0,78.0,36.0,30.0,32.0,10.0,13.0,6.0,7.0,13.0,17.14771506813948,27,11.945986661861347,Q. Promes,"28,000,000","154,197"
209658,83.0,88.0,75.0,73.0,80.0,84.0,68.0,81.0,76.0,75.0,79.0,83.0,84.0,79.0,76.0,84.0,70.0,78.0,74.0,86.0,72.0,80.0,80.0,82.0,79.0,82.0,60.0,80.0,72.0,76.0,74.0,13.0,8.0,15.0,11.0,9.0,17.341871082580436,24,13.108699146992334,L. Goretzka,"34,000,000","493,214"
210008,83.0,87.0,70.0,69.0,77.0,85.0,72.0,79.0,73.0,59.0,83.0,83.0,73.0,74.0,79.0,83.0,72.0,80.0,73.0,82.0,80.0,79.0,76.0,80.0,76.0,80.0,67.0,84.0,70.0,81.0,75.0,9.0,12.0,9.0,7.0,15.0,17.312018119430753,23,12.655243179793798,A. Rabiot,"32,999,999","313,402"
210413,83.0,90.0,36.0,30.0,77.0,72.0,28.0,65.0,36.0,24.0,71.0,70.0,63.0,69.0,60.0,78.0,53.0,64.0,78.0,75.0,81.0,46.0,85.0,86.0,31.0,45.0,34.0,76.0,88.0,86.0,82.0,9.0,14.0,12.0,8.0,9.0,17.24949776244942,24,14.658699329216939,A. Romagnoli,"30,999,999","2,323,765"
210514,83.0,89.0,86.0,58.0,64.0,79.0,62.0,85.0,83.0,69.0,75.0,84.0,91.0,91.0,78.0,83.0,74.0,80.0,73.0,90.0,66.0,66.0,73.0,77.0,78.0,74.0,46.0,77.0,79.0,79.0,79.0,6.0,9.0,15.0,14.0,14.0,17.19990082131005,24,12.77309627893215,João Cancelo,"29,500,000","352,602"
212523,83.0,87.0,78.0,80.0,77.0,81.0,76.0,82.0,86.0,87.0,79.0,84.0,77.0,76.0,76.0,79.0,65.0,84.0,58.0,76.0,72.0,88.0,67.0,58.0,86.0,81.0,71.0,74.0,55.0,62.0,42.0,13.0,11.0,13.0,12.0,10.0,17.341871082580436,25,12.529893827100244,Anderson Talisca,"34,000,000","276,480"
213345,83.0,88.0,81.0,77.0,52.0,77.0,77.0,88.0,84.0,70.0,63.0,83.0,95.0,93.0,88.0,82.0,84.0,78.0,75.0,76.0,63.0,73.0,36.0,23.0,79.0,75.0,70.0,75.0,29.0,17.0,15.0,5.0,3.0,5.0,3.0,5.0,17.356469882001587,22,10.532396020869,K. Coman,"34,499,999","37,511"
213565,83.0,89.0,83.0,75.0,54.0,84.0,76.0,85.0,85.0,81.0,75.0,86.0,86.0,84.0,87.0,79.0,86.0,79.0,71.0,79.0,63.0,78.0,63.0,66.0,78.0,84.0,68.0,80.0,55.0,59.0,63.0,11.0,15.0,13.0,7.0,14.0,17.385043254445645,23,13.668507526953475,T. Lemar,"35,500,000","863,291"
213331,82.0,87.0,35.0,20.0,80.0,74.0,24.0,55.0,30.0,27.0,69.0,64.0,64.0,77.0,48.0,81.0,44.0,44.0,72.0,63.0,93.0,25.0,76.0,80.0,27.0,61.0,38.0,75.0,80.0,87.0,84.0,11.0,8.0,7.0,9.0,14.0,17.034386382832476,23,12.957524058357983,J. Tah,"25,000,000","424,014"
216409,82.0,85.0,80.0,74.0,40.0,80.0,75.0,84.0,79.0,77.0,76.0,84.0,85.0,86.0,90.0,79.0,82.0,78.0,50.0,79.0,45.0,82.0,63.0,38.0,77.0,75.0,70.0,79.0,63.0,29.0,29.0,11.0,12.0,6.0,8.0,11.0,17.14771506813948,25,13.22677061958925,M. Politano,"28,000,000","555,026"
220440,82.0,88.0,36.0,23.0,80.0,78.0,24.0,60.0,25.0,27.0,69.0,76.0,72.0,73.0,62.0,81.0,60.0,58.0,85.0,73.0,80.0,35.0,80.0,82.0,50.0,60.0,43.0,78.0,85.0,84.0,80.0,10.0,10.0,9.0,12.0,7.0,17.073607095985757,23,14.236054525079085,C. Lenglet,"26,000,000","1,522,789"
221087,82.0,87.0,24.0,19.0,15.0,38.0,17.0,18.0,23.0,21.0,41.0,16.0,45.0,52.0,40.0,74.0,57.0,21.0,71.0,42.0,52.0,18.0,39.0,16.0,20.0,62.0,25.0,62.0,19.0,20.0,11.0,81.0,83.0,79.0,83.0,83.0,16.883563493097892,24,14.866938553073949,Pau López,"21,500,000","2,861,734"
221992,82.0,87.0,75.0,77.0,58.0,74.0,75.0,84.0,72.0,65.0,67.0,81.0,94.0,93.0,91.0,82.0,76.0,76.0,67.0,80.0,59.0,76.0,64.0,45.0,78.0,75.0,64.0,77.0,42.0,35.0,29.0,11.0,10.0,14.0,14.0,10.0,17.19990082131005,23,13.369711215905268,H. Lozano,"29,500,000","640,312"
222737,82.0,89.0,79.0,75.0,57.0,80.0,71.0,85.0,77.0,81.0,73.0,85.0,87.0,82.0,92.0,79.0,84.0,85.0,58.0,74.0,64.0,85.0,53.0,26.0,78.0,81.0,68.0,78.0,21.0,28.0,17.0,8.0,14.0,15.0,7.0,9.0,17.26549810379586,22,14.333687241996024,Malcom,"31,499,999","1,678,963"
223959,82.0,87.0,74.0,50.0,59.0,83.0,65.0,78.0,70.0,78.0,77.0,81.0,81.0,74.0,85.0,79.0,93.0,78.0,52.0,85.0,66.0,74.0,86.0,86.0,65.0,74.0,48.0,78.0,84.0,84.0,77.0,5.0,5.0,13.0,7.0,9.0,17.034386382832476,23,12.430410602971868,L. Torreira,"25,000,000","250,298"
224411,82.0,86.0,78.0,75.0,60.0,77.0,71.0,86.0,76.0,70.0,69.0,81.0,89.0,90.0,85.0,80.0,78.0,81.0,65.0,75.0,62.0,77.0,67.0,50.0,77.0,77.0,69.0,80.0,24.0,34.0,30.0,9.0,12.0,11.0,9.0,9.0,17.182806387950748,22,13.898930298258223,Gonçalo Guedes,"29,000,000","1,086,997"
226226,82.0,88.0,75.0,77.0,59.0,82.0,69.0,84.0,82.0,72.0,84.0,84.0,77.0,79.0,82.0,80.0,81.0,80.0,64.0,80.0,69.0,76.0,65.0,65.0,79.0,84.0,60.0,79.0,61.0,67.0,67.0,10.0,7.0,10.0,15.0,14.0,17.216707939626428,22,13.755139920406627,G. Lo Celso,"29,999,999","941,415"
