S/N,Id,Club_Team
703,187858,Standard de Liège
704,175314,Fulham
705,230354,Internacional
706,187601,Miedź Legnica
707,229585,Australia
708,213242,OGC Nice
709,212474,CD Feirense
710,199418,Brisbane Roar
711,189945,Grasshopper Club Zürich
712,176377,Guangzhou R&F FC
713,162297,Inter
714,222457,Kayserispor
715,184312,Parma
716,177398,1. FC Nürnberg
717,234742,Leicester City
718,232693,Çaykur Rizespor
719,199157,Levante UD
720,183284,Bursaspor
721,217844,GD Chaves
722,148212,Spartak Moscow
723,183795,1. FC Nürnberg
724,234772,Cádiz CF
725,230420,Bahia
726,157716,Eintracht Frankfurt
727,204308,KAS Eupen
728,192274,Gimnàstic de Tarragona
729,180754,Kawasaki Frontale
730,186385,Middlesbrough
731,221201,1. FC Nürnberg
732,219409,Vitesse
733,213777,Hannover 96
734,208144,Genoa
735,223247,Unión de Santa Fe
736,241166,Sivasspor
737,217870,Empoli
738,225293,FC Metz
739,223245,Club Necaxa
740,172077,Monterrey
741,226861,Nîmes Olympique
742,226093,Birmingham City
743,202541,Birmingham City
744,221740,Stade Malherbe Caen
745,190507,SD Huesca
746,178475,Frosinone
747,215083,Montreal Impact
748,209449,Sporting Kansas City
749,189480,Alanyaspor
750,220198,Swansea City
751,191269,Al Hilal
752,244261,Dinamo Zagreb
753,226853,Feyenoord
754,207653,Ecuador
755,195620,Wellington Phoenix
756,223524,Frosinone
757,195912,Stade de Reims
758,190535,Real Valladolid CF
759,211527,SD Huesca
760,207431,SD Huesca
761,196935,Getafe CF
762,158790,Curicó Unido
763,192838,Chievo Verona
764,211014,GD Chaves
765,203590,1. FC Union Berlin
766,184133,Göztepe SK
767,233029,Atlético Tucumán
768,213061,Sagan Tosu
769,190276,FC Metz
770,196932,Toulouse Football Club
771,226627,FC Red Bull Salzburg
772,207683,Panathinaikos FC
773,209218,Al Taawoun
774,198240,Girona FC
775,232543,Patronato
776,231263,Stade Rennais FC
777,231007,PAOK
778,184926,FC Porto
779,234078,Hamburger SV
780,214622,Celtic
781,142942,Club Atlético Talleres
782,156253,Aberdeen
783,204125,SK Slavia Praha
784,193884,Stoke City
785,183644,FK Austria Wien
786,49756,FC Midtjylland
787,229980,Monterrey
788,188506,Chievo Verona
789,175962,1. FSV Mainz 05
790,235866,Genoa
791,214136,Tigres U.A.N.L.
792,210296,Universidad de Chile
793,189303,Reading
794,183671,US Cremonese
795,215927,Standard de Liège
796,179574,Sheffield Wednesday
797,169078,Queens Park Rangers
798,229494,CD Lugo
799,189557,Palermo
800,165493,Querétaro
801,229749,Defensa y Justicia
802,211061,1. FSV Mainz 05
803,202101,Vitória Guimarães
804,184436,Cardiff City
805,162932,Deportivo Toluca
806,192371,Rosario Central
807,221331,Genoa
808,212369,SC Braga
809,137361,Hellas Verona
810,199313,Angers SCO
811,225680,Yeni Malatyaspor
812,210320,Bologna
813,182670,Medipol Başakşehir FK
814,176526,Club Atlético Colón
815,230286,Atlético Mineiro
816,152718,Henan Jianye FC
817,214158,Deportes Tolima
818,215181,San Lorenzo de Almagro
819,182411,Guangzhou Evergrande Taobao FC
820,172939,Sheffield Wednesday
821,230283,Atlético Mineiro
822,188554,Málaga CF
823,190636,Deportivo Toluca
824,185260,Göztepe SK
825,234924,Huddersfield Town
826,194730,CD Lugo
827,222634,Watford
828,210602,Al Hilal
829,200106,Willem II
830,228777,Independiente Santa Fe
831,190120,En Avant de Guingamp
832,178600,Atiker Konyaspor
833,158375,KAA Gent
834,205735,Chievo Verona
835,201895,New England Revolution
836,213414,Udinese
837,192165,BK Häcken
838,237221,Tottenham Hotspur
839,198599,Galatasaray SK
840,225478,Kashima Antlers
841,210118,AEK Athens
842,206022,Djurgårdens IF
843,181445,Malmö FF
844,178628,Sheffield Wednesday
845,190915,Brøndby IF
846,230850,Standard de Liège
847,226754,Empoli
848,194753,Hellas Verona
849,186817,Moreirense FC
850,220609,AS Saint-Étienne
851,236480,Brighton & Hove Albion
852,188607,Deportivo Toluca
853,232639,FC Groningen
854,214207,Deportivo Toluca
855,225252,Millonarios FC
856,190947,FC Utrecht
857,168930,Real Oviedo
858,169697,Middlesbrough
859,229857,Sassuolo
860,214497,Independiente Medellín
861,199392,Al Fateh
862,231391,Nottingham Forest
863,221919,Stade de Reims
864,7647,Livorno
865,190942,FC Midtjylland
866,183774,Wolverhampton Wanderers
867,155355,VfL Bochum 1848
868,205531,Perugia
869,176345,Kashima Antlers
870,230361,Sport Club do Recife
871,164857,CD Feirense
872,158969,Argentinos Juniors
873,183288,Nottingham Forest
874,198136,Hellas Verona
875,183287,FC Lorient
876,226807,Seattle Sounders FC
877,218359,En Avant de Guingamp
878,244470,SK Slavia Praha
879,221174,Dinamo Zagreb
880,230389,Cruzeiro
881,183540,Sheffield Wednesday
882,236532,SC Freiburg
883,214772,Club Atlético Lanús
884,137460,US Salernitana 1919
885,226803,New York Red Bulls
886,222707,Al Wehda
887,224242,Hertha BSC
888,193549,Millwall
889,245261,Santa Clara
890,239117,SK Slavia Praha
891,173325,Córdoba CF
892,220685,Nottingham Forest
893,176652,Viktoria Plzeň
894,222988,Sanfrecce Hiroshima
895,213260,Millonarios FC
896,223243,Club América
897,222987,Vissel Kobe
898,192778,Al Raed
899,238858,Portimonense SC
900,241673,Rangers FC
901,238857,FC Porto
902,210697,Fiorentina
903,188168,Middlesbrough
904,239904,Shakhtar Donetsk
905,237600,OGC Nice
906,209440,Al Ittihad
907,175391,Boavista FC
908,149791,West Bromwich Albion
909,211231,Granada CF
910,208159,Fenerbahçe SK
911,205343,US Salernitana 1919
912,200735,Sagan Tosu
913,184606,Moreirense FC
914,203038,Chievo Verona
915,230429,Botafogo
916,212253,FC Midtjylland
917,206109,Frosinone
918,192540,Sheffield United
919,109852,Rangers FC
920,208949,Al Hilal
921,230452,Ceará Sporting Club
922,225844,Real Valladolid CF
923,198196,Hamburger SV
924,196916,Bristol City
925,222515,Le Havre AC
926,152883,Seattle Sounders FC
927,202547,FC Utrecht
928,186674,Sporting Kansas City
929,240690,VfB Stuttgart
930,227890,Rio Ave FC
931,201266,Aalborg BK
932,190769,Spezia
933,186161,BB Erzurumspor
934,223537,1. FSV Mainz 05
935,204337,Atlético Tucumán
936,206152,Universidad Católica
937,182343,Shandong Luneng TaiShan FC
938,155463,Al Shabab
939,200519,SD Huesca
940,234822,Orlando Pirates
941,165190,Wales
942,223046,Galatasaray SK
943,213829,Cagliari
944,213317,Jeonbuk Hyundai Motors
945,201285,Lech Poznań
946,243780,Valencia CF
947,205124,Yokohama F. Marinos
948,184387,Toulouse Football Club
949,149571,Chievo Verona
950,206147,Malmö FF
951,236610,Juventus
952,19292,Ipswich Town
953,211292,Dalian YiFang FC
954,209756,Lobos BUAP
955,188763,Sivasspor
956,191066,1. FC Union Berlin
957,225114,FC Groningen
958,210010,FC Utrecht
959,189272,VfB Stuttgart
960,225880,Portland Timbers
961,230231,Botafogo
962,187478,Guadalajara
963,247126,Sagan Tosu
964,232278,FC Dallas
965,214358,Once Caldas
966,183893,Nottingham Forest
967,219733,RC Strasbourg Alsace
968,191856,Atlético Nacional
969,29552,Júbilo Iwata
970,224368,Stade de Reims
971,220528,Cosenza
972,215152,Rosario Central
973,224367,Universidad Católica
974,212591,Los Angeles FC
975,219758,Carpi
976,188269,CD Palestino
977,179565,Dinamo Zagreb
978,178029,Sivasspor
979,222573,Benevento
980,213613,FC Utrecht
981,173162,Parma
982,48745,San Lorenzo de Almagro
983,168297,Hammarby IF
984,215414,CD Nacional
985,133249,Iceland
986,192128,Hannover 96
987,191104,Atlético Tucumán
988,183936,Yeni Malatyaspor
989,239744,Borussia Mönchengladbach
990,233600,Egypt
991,225151,KSV Cercle Brugge
992,220031,Swansea City
993,216191,Vissel Kobe
994,211327,Toulouse Football Club
995,203903,Aalborg BK
996,164478,AIK
997,16254,Colorado Rapids
998,168317,AIK
999,220029,Stade Malherbe Caen
1000,188540,Middlesbrough
1001,224921,Deportivo Alavés
1002,215193,Club Atlético Tigre
1003,212889,Kasimpaşa SK
1004,236696,Panathinaikos FC
1005,230296,Vitória
1006,216472,Cádiz CF
1007,214168,Querétaro
1008,192663,DSC Arminia Bielefeld
1009,205207,Ecuador
1010,190870,FC Metz
1011,229526,Shakhtar Donetsk
1012,193429,Sivasspor
1013,49045,Kilmarnock
1014,214933,Defensa y Justicia
1015,201877,FC St. Pauli
1016,192660,1. FC Union Berlin
1017,200111,AZ Alkmaar
1018,241070,GD Chaves
1019,214190,Independiente Santa Fe
1020,205998,Göztepe SK
1021,224428,Amiens SC
1022,200108,FC København
1023,237995,Real Betis
1024,210603,Al Hilal
1025,203435,Stade Malherbe Caen
1026,221610,Hungary
1027,211626,Dinamo Zagreb
1028,142762,Unión de Santa Fe
1029,6826,West Bromwich Albion
1030,182440,VfL Bochum 1848
1031,235176,Club Atlético Colón
1032,228520,SD Huesca
1033,243656,Olympique de Marseille
1034,230344,América FC (Minas Gerais)
1035,216520,Mexico
1036,212680,Kilmarnock
1037,236999,Portland Timbers
1038,214727,Monterrey
1039,207559,Brøndby IF
1040,230341,Santos
1041,228804,Sint-Truidense VV
1042,200387,Royal Antwerp FC
1043,218050,Çaykur Rizespor
1044,152514,Huddersfield Town
1045,192449,Norwich City
1046,143809,Sivasspor
1047,158144,RCD Mallorca
1048,211903,FC Zürich
1049,194015,DSC Arminia Bielefeld
1050,242143,SC Braga
1051,155871,Ipswich Town
1052,208607,UD Las Palmas
1053,200159,DSC Arminia Bielefeld
1054,196318,Göztepe SK
