,Id,Name,Age,Height_Cm,Weight_Kgs,Positions,Nationality,Overall_Rating,Potential,Value_Euro,International_Reputation_1_5,Skill_Moves_1_5,Work_Rate
23,184087,T. Alderweireld,30,185.42,81.2,DF,Belgium,87,88,44000000,3,2,Medium/ Medium
24,189332,Jordi Alba,29,170.18,68,DF,Spain,87,87,38000000,3,3,High/ Medium
25,189509,Thiago,27,175.26,69.9,MF,Spain,87,87,51500000,3,5,Medium/ Medium
26,192387,C. Immobile,29,185.42,84.8,FW,Italy,87,87,52000000,3,3,High/ Medium
27,193041,K. Navas,32,185.42,79.8,GK,Costa Rica,87,87,30500000,3,1,Medium/ Medium
28,197781,Isco,26,175.26,78.9,MF,Spain,87,90,62500000,3,4,High/ Medium
29,198710,J. Rodríguez,27,154.94,74.8,MF,Colombia,87,88,59000000,4,4,Medium/ Medium
30,200145,Casemiro,27,185.42,83.9,MF,Brazil,87,89,50500000,3,2,Medium/ High
31,201399,M. Icardi,26,154.94,74.8,FW,Argentina,87,90,64500000,3,3,Medium/ Low
32,206585,Kepa,24,185.42,84.8,GK,Spain,84,90,31000000,1,1,Medium/ Medium
33,208670,H. Ziyech,25,154.94,64.9,MF,Morocco,84,86,38000000,3,4,High/ High
34,209499,Fabinho,25,187.96,78,MF,Brazil,84,88,34000000,3,3,Medium/ High
35,211300,A. Martial,23,182.88,76.2,MF,France,84,90,42500000,3,4,Medium/ Medium
36,212188,T. Werner,23,154.94,74.8,FW,Germany,84,87,40000000,3,3,High/ Medium
37,212190,N. Süle,23,195.58,97.1,DF,Germany,84,90,36500000,2,2,Medium/ Medium
38,212198,Bruno Fernandes,24,152.4,68.9,MF,Portugal,84,88,40500000,2,4,High/ High
39,212462,Alex Telles,26,154.94,71.2,DF,Brazil,84,86,31000000,3,3,High/ Medium
40,216460,J. Giménez,24,185.42,79.8,DF,Uruguay,84,88,34000000,2,2,Medium/ High
41,216594,N. Fekir,25,172.72,74.8,MF,France,84,88,40500000,3,4,High/ Medium
42,220793,D. Sánchez,22,187.96,78.9,DF,Colombia,84,88,34000000,2,2,Medium/ High
43,220834,Marco Asensio,23,182.88,76.2,MF,Spain,84,89,41500000,3,4,High/ Medium
44,231443,O. Dembélé,21,152.4,67.1,DF,France,84,92,46000000,3,4,High/ Low
45,41,Iniesta,34,170.18,68,MF,Spain,85,85,18500000,4,4,High/ Medium
46,41236,Z. Ibrahimović,37,195.58,94.8,FW,Sweden,85,85,14000000,5,5,Medium/ Low
47,205498,Jorginho,27,154.94,67.1,MF,Italy,83,84,30000000,2,3,Medium/ Medium
48,205678,E. Višća,29,172.72,63,MF,Bosnia Herzegovina,83,83,26000000,2,4,High/ Medium
49,206113,S. Gnabry,23,175.26,74.8,MF,Germany,83,87,34000000,2,4,High/ Medium
50,207410,M. Kovačić,24,175.26,78,MF,Croatia,83,89,35000000,3,4,High/ High
51,207566,William Carvalho,26,187.96,83,MF,Portugal,83,86,27000000,3,3,Medium/ Medium
52,207863,Felipe,29,190.5,86.2,DF,Brazil,83,84,22500000,3,2,Medium/ High
53,208418,Y. Carrasco,25,154.94,73,MF,Belgium,83,86,33000000,3,4,High/ Medium
54,208618,Lucas Vázquez,27,172.72,69.9,DF,Spain,83,83,27000000,2,4,High/ High
55,208808,Q. Promes,27,175.26,72.1,MF,Netherlands,83,83,28000000,2,5,High/ Low
56,209658,L. Goretzka,24,187.96,78.9,MF,Germany,83,88,34000000,3,3,High/ High
57,210008,A. Rabiot,23,193.04,79.8,MF,France,83,87,33000000,2,3,High/ Medium
58,210413,A. Romagnoli,24,187.96,78,DF,Italy,83,90,31000000,2,2,Medium/ High
59,210514,João Cancelo,24,182.88,73.9,DF,Portugal,83,89,29500000,2,4,High/ Medium
60,212523,Anderson Talisca,25,190.5,79.8,MF,Brazil,83,87,34000000,2,4,High/ Low
61,213345,K. Coman,22,152.4,71.2,MF,France,83,88,34500000,2,5,Medium/ Low
62,213565,T. Lemar,23,170.18,62.1,MF,France,83,89,35500000,3,4,Medium/ Medium
63,213331,J. Tah,23,195.58,97.1,DF,Germany,82,87,25000000,2,2,Medium/ Medium
64,216409,M. Politano,25,170.18,67.1,MF,Italy,82,85,28000000,2,4,High/ Medium
65,220440,C. Lenglet,23,185.42,81.2,DF,France,82,88,26000000,1,2,Medium/ High
66,221087,Pau López,24,187.96,77.1,GK,Spain,82,87,21500000,1,1,Medium/ Medium
67,221992,H. Lozano,23,175.26,69.9,DF,Mexico,82,87,29500000,3,4,High/ Low
68,222737,Malcom,22,172.72,73.9,MF,Brazil,82,89,31500000,2,4,Medium/ Medium
69,223959,L. Torreira,23,167.64,64,MF,Uruguay,82,87,25000000,2,3,Medium/ High
70,224411,Gonçalo Guedes,22,152.4,68,MF,Portugal,82,86,29000000,1,4,High/ Medium
71,226226,G. Lo Celso,22,175.26,69.9,MF,Argentina,82,88,30000000,1,4,High/ Medium
72,226271,Fabián,22,187.96,69.9,MF,Spain,82,90,32000000,1,4,Medium/ Medium
73,228702,F. de Jong,21,154.94,69.9,MF,Netherlands,82,89,31000000,1,4,Medium/ Medium
74,230168,Raphaelito Anjos,31,190.5,84.8,GK,Brazil,82,82,14000000,1,1,Medium/ Medium
75,230225,Juiano Mestres,35,154.94,82.1,DF,Brazil,82,82,6500000,1,2,High/ Medium
76,230258,Rosberto Dourado,31,175.26,69.9,MF,Brazil,82,82,16500000,1,2,High/ Medium
77,230658,Arthur,22,170.18,73,MF,Brazil,82,90,32500000,1,4,Medium/ Medium
78,231866,Rodri,22,190.5,82.1,MF,Spain,82,87,29000000,1,4,Medium/ Medium
79,183498,M. Parolo,34,182.88,74.8,MF,Italy,82,82,9000000,2,3,High/ High
80,183574,M. Kruse,30,154.94,76.2,FW,Germany,82,82,21500000,2,4,High/ Medium
81,183711,J. Henderson,28,182.88,79.8,MF,England,82,82,18000000,2,3,Medium/ High
82,184144,N. Gaitán,31,172.72,66.2,MF,Argentina,82,82,21000000,3,4,Medium/ Medium
83,184200,M. Arnautović,29,193.04,83,FW,Austria,82,82,22000000,3,4,High/ Medium
84,184431,S. Giovinco,32,162.56,60.8,FW,Italy,82,82,20000000,2,4,High/ Medium
85,184484,G. Sigurðsson,29,185.42,77.1,MF,Iceland,82,82,22500000,3,3,High/ High
86,184942,Giuliano,28,172.72,68,MF,Brazil,82,82,22500000,2,4,High/ Medium
87,185122,P. Gulácsi,28,193.04,86.2,GK,Hungary,82,83,18000000,2,1,Medium/ Medium
88,185221,Luiz Gustavo,31,187.96,78,MF,Brazil,82,82,16500000,3,3,Medium/ High
89,186345,K. Trippier,28,152.4,72.1,DF,England,82,82,18500000,2,3,High/ Medium
90,186561,A. Ramsey,28,182.88,76.2,MF,Wales,82,82,23000000,3,3,High/ High
91,186627,M. Balotelli,28,187.96,88,FW,Italy,82,82,23500000,4,4,Medium/ Low
92,187754,Marlos,30,175.26,68.9,MF,Ukraine,82,82,21000000,2,5,Medium/ Medium
93,188803,Taison,31,172.72,64,MF,Brazil,82,82,21000000,2,4,Medium/ Medium
94,189125,G. Bonaventura,29,154.94,74.8,MF,Italy,82,82,22000000,3,4,High/ Medium
95,201455,G. Kondogbia,26,187.96,79.8,MF,Central African Rep.,81,84,22000000,2,4,High/ Medium
96,202562,J. Roussillon,26,175.26,79.8,DF,France,81,83,18000000,2,3,High/ Medium
97,202685,S. Zaza,27,185.42,83.9,FW,Italy,81,82,21000000,2,4,High/ High
98,203890,S. Vrsaljko,27,154.94,76.2,DF,Croatia,81,81,15000000,2,3,High/ Medium
99,204024,C. Kramer,28,190.5,76.2,MF,Germany,81,82,17000000,2,3,High/ High
100,204884,B. Mendy,24,185.42,84.8,DF,France,81,86,20000000,2,3,High/ Low
101,204923,M. Sabitzer,24,152.4,77.1,MF,Austria,81,84,22500000,2,3,High/ High
102,205362,M. Nastasić,25,187.96,83,DF,Serbia,81,84,18500000,2,2,Low/ High
103,206467,A. Plea,25,154.94,78.9,FW,France,81,83,22000000,2,4,High/ Medium
104,207862,M. Ginter,25,187.96,83,DF,Germany,81,83,18500000,2,2,Medium/ Medium
105,208093,Gerard Moreno,26,154.94,77.1,FW,Spain,81,83,22000000,1,4,High/ Medium
106,208135,A. Doucouré,26,182.88,76.2,MF,France,81,85,19500000,2,3,High/ Medium
107,209889,R. Guerreiro,25,170.18,71.2,MF,Portugal,81,84,22500000,3,4,Medium/ Medium
108,210243,Ricardo Pereira,25,175.26,69.9,DF,Portugal,81,84,18500000,3,3,High/ High
109,210617,Samu Castillejo,24,182.88,67.1,MF,Spain,81,85,23000000,2,4,Medium/ High
110,212194,J. Brandt,22,185.42,83.9,MF,Germany,81,88,25000000,2,4,Medium/ Medium
111,226110,N. Pépé,23,182.88,73,MF,Ivory Coast,80,88,22000000,1,4,High/ Medium
112,225953,S. Bergwijn,21,152.4,78,MF,Netherlands,80,86,20500000,1,4,Medium/ Medium
113,226753,A. Onana,22,187.96,93,GK,Cameroon,80,85,14500000,2,1,Medium/ Medium
114,228229,F. Balbuena,27,187.96,84.8,DF,Paraguay,80,83,15500000,1,2,Medium/ Medium
115,228941,André Silva,23,185.42,78.9,FW,Portugal,80,87,21000000,2,4,Medium/ Medium
116,230142,Oyarzabal,21,154.94,78,MF,Spain,80,87,21000000,1,3,High/ Medium
117,230234,Everton Andrão,35,152.4,74.8,MF,Brazil,80,80,4500000,1,2,High/ High
118,230347,Welington Dano,31,152.4,68.9,DF,Brazil,80,80,10500000,1,4,Medium/ Medium
119,231943,Richarlison,21,154.94,71.2,FW,Brazil,80,86,21000000,1,4,High/ High
120,234035,Odriozola,23,175.26,66.2,DF,Spain,80,88,18500000,1,3,High/ Medium
121,234153,Carlos Soler,22,154.94,76.2,MF,Spain,80,87,21000000,1,4,Medium/ Medium
122,234906,H. Aouar,20,175.26,69.9,MF,France,80,90,23500000,1,4,High/ Medium
123,235569,T. Ndombele,22,154.94,76.2,MF,France,80,89,22500000,1,4,High/ Medium
124,239207,M. Gómez,22,185.42,83.9,FW,Uruguay,80,85,20500000,1,4,High/ Low
125,45186,Joaquín,37,152.4,74.8,MF,Spain,81,81,6000000,2,4,High/ Medium
126,112316,J. Mathieu,35,187.96,83.9,DF,France,81,81,5500000,3,2,High/ Medium
127,197061,J. Matip,27,193.04,89.8,DF,Cameroon,80,82,15000000,2,2,Medium/ Medium
128,197853,S. Aurier,26,175.26,76.2,DF,Ivory Coast,80,83,15500000,2,3,High/ Medium
129,198118,J. Guilavogui,28,187.96,77.1,MF,France,80,81,14000000,2,2,Medium/ High
130,198784,A. Oxlade-Chamberlain,25,175.26,69.9,MF,England,80,85,19500000,2,4,High/ High
131,199005,M. Ryan,26,182.88,82.1,GK,Australia,80,83,13000000,1,1,Medium/ Medium
132,199069,V. Aboubakar,27,182.88,82.1,FW,Cameroon,80,81,17500000,3,5,High/ Medium
133,199110,L. Muriel,27,152.4,78.9,FW,Colombia,80,81,17500000,2,4,High/ Medium
134,199206,D. Vida,29,182.88,76.2,DF,Croatia,80,80,11500000,3,2,Medium/ High
135,199416,Ibai Gómez,29,152.4,72.1,MF,Spain,80,80,15000000,1,3,Medium/ Medium
136,200315,Cristian Tello,27,152.4,64.9,MF,Spain,80,80,16000000,2,4,Medium/ Medium
137,201119,Ismaily,29,152.4,82.1,DF,Brazil,80,80,11500000,1,4,High/ Medium
138,201143,A. Mandi,27,182.88,78,DF,Algeria,80,83,15500000,1,2,High/ Medium
139,201325,C. Tătăruşanu,33,195.58,86.2,GK,Romania,80,80,8500000,2,1,Medium/ Medium
140,201377,J. Murillo,26,182.88,78,DF,Colombia,80,84,16000000,2,2,Medium/ High
141,202335,E. Dier,25,187.96,89.8,MF,England,80,84,16500000,2,2,Medium/ High
142,203042,J. Butland,25,195.58,94.8,GK,England,80,85,14000000,2,1,Medium/ Medium
143,49031,S. Sorrentino,39,185.42,84.8,GK,Italy,80,80,1000000,2,1,Medium/ Medium
144,54050,W. Rooney,33,175.26,83,FW,England,80,80,12000000,4,3,Medium/ High
145,110677,Moyá,34,187.96,83,GK,Spain,80,80,6000000,2,1,Medium/ Medium
146,142707,L. López,36,175.26,72.1,FW,Argentina,80,80,7000000,2,4,High/ High
147,142754,J. Mascherano,34,175.26,73,MF,Argentina,80,80,4500000,4,2,Low/ High
148,144622,Raffael,33,175.26,68.9,FW,Brazil,80,80,9500000,2,4,High/ Medium
149,146748,Diego López,37,195.58,88.9,GK,Spain,80,80,2000000,3,1,Medium/ Medium
150,146760,Juanfran,34,154.94,71.2,DF,Spain,80,80,5500000,3,3,High/ Medium
151,147782,I. Denisov,34,175.26,69.9,MF,Russia,80,80,4500000,2,3,Medium/ High
152,148119,I. Akinfeev,32,185.42,78,GK,Russia,80,80,8500000,3,1,Medium/ Medium
153,153244,A. Gignac,33,187.96,91.2,FW,France,80,80,12000000,3,3,Medium/ Medium
154,156713,A. Granqvist,33,193.04,83.9,DF,Sweden,80,80,,2,2,High/ Medium
155,157960,Manuel Fernandes,33,175.26,74.8,MF,Portugal,80,80,11500000,2,4,High/ Medium
156,158625,Dante,35,187.96,84.8,DF,Brazil,80,80,4500000,3,2,Medium/ High
157,159147,L. Perrin,33,154.94,79.8,DF,France,80,80,8500000,2,2,Medium/ High
158,161956,Borja Valero,34,175.26,73,MF,Spain,80,80,9000000,3,4,Medium/ Medium
159,208330,A. Januzaj,24,185.42,76.2,DF,Belgium,79,85,17500000,1,4,Medium/ Low
160,208334,J. Hector,28,185.42,74.8,DF,Germany,79,79,10000000,3,3,Medium/ Medium
161,208498,M. Dabbur,26,182.88,76.2,FW,Israel,79,81,15500000,2,4,Medium/ Low
162,208777,Óliver Torres,24,175.26,63,MF,Spain,79,84,16500000,3,3,Medium/ Medium
163,209981,Y. Bounou,27,193.04,78,GK,Morocco,79,82,10500000,1,1,Medium/ Medium
164,210324,J. Hofmann,26,175.26,69.9,MF,Germany,79,80,15000000,2,3,Medium/ Medium
165,210411,Otávio,24,172.72,71.2,MF,Brazil,79,85,17500000,1,4,Medium/ Medium
166,210455,Jonny,25,170.18,69.9,DF,Spain,79,83,13500000,2,4,High/ High
167,212501,L. Dendoncker,23,187.96,88,MF,Belgium,79,85,14500000,2,2,High/ High
168,213160,R. Zobnin,25,182.88,74.8,MF,Russia,79,86,15000000,1,4,High/ High
169,213516,Ricardo Horta,24,172.72,63,MF,Portugal,79,84,17000000,1,3,High/ Medium
170,213874,Thiago Mendes,26,152.4,79.8,MF,Brazil,79,83,13500000,1,4,High/ Medium
171,213991,J. Lerma,24,152.4,69.9,MF,Colombia,79,83,14000000,1,3,Medium/ High
172,214947,J. Gbamin,23,185.42,83,MF,Ivory Coast,79,84,14500000,1,3,Medium/ High
173,215057,I. Marcone,28,182.88,83,MF,Argentina,79,80,11500000,1,3,Medium/ High
174,215061,D. Benedetto,28,152.4,79.8,FW,Argentina,79,79,13000000,2,3,High/ Low
175,190243,M. Hitz,31,193.04,88.9,GK,Switzerland,79,79,8000000,2,1,Medium/ Medium
176,190456,N. Clyne,27,175.26,67.1,DF,England,79,80,11500000,2,3,High/ Medium
177,190544,A. Ljajić,27,182.88,73.9,MF,Serbia,79,80,15000000,2,4,High/ Low
178,191076,J. Guðmundsson,28,152.4,77.1,MF,Iceland,79,79,13000000,1,4,High/ High
179,192598,Elkeson,29,154.94,77.1,FW,Brazil,79,79,13000000,2,4,High/ Medium
180,192678,Kike García,29,185.42,78.9,FW,Spain,79,79,13000000,1,3,Medium/ Medium
181,192679,Escudero,29,175.26,72.1,DF,Spain,79,79,10000000,1,3,Medium/ Medium
182,193152,Herrerín,31,187.96,94.8,GK,Spain,79,79,8000000,1,1,Medium/ Medium
183,193469,Víctor Ruiz,30,185.42,78,DF,Spain,79,79,10000000,2,2,Medium/ Medium
184,193532,G. Medel,31,170.18,64.9,MF,Chile,79,79,9500000,3,3,Medium/ High
185,193738,Y. Belhanda,29,152.4,74.8,MF,Morocco,79,79,12500000,2,4,Medium/ Medium
186,194229,Hugo Mallo,27,175.26,72.1,DF,Spain,79,79,10500000,2,3,High/ Medium
187,194761,Borja García,28,175.26,72.1,MF,Spain,79,79,13000000,1,3,High/ Medium
188,194845,W. Khazri,28,175.26,82.1,FW,Tunisia,79,79,13500000,1,4,High/ High
189,194957,P. Jones,27,185.42,71.2,DF,England,79,80,12000000,2,2,Medium/ High
190,195586,A. Finnbogason,30,182.88,79.8,FW,Iceland,79,79,12500000,2,3,Medium/ Medium
191,238794,Vinícius Júnior,18,175.26,73,MF,Brazil,78,92,20500000,1,5,High/ Medium
192,241184,Junior Firpo,22,182.88,74.8,MF,Spain,78,85,12500000,1,3,Medium/ Medium
193,80,E. Belözoğlu,38,170.18,72.1,MF,Turkey,79,79,4000000,2,4,Medium/ Medium
194,49369,Fernando Torres,34,185.42,78.9,FW,Spain,79,79,6500000,3,3,Medium/ Medium
195,121944,B. Schweinsteiger,34,182.88,78.9,MF,Germany,79,79,5000000,4,3,Medium/ Medium
196,124375,B. Yılmaz,33,187.96,77.1,FW,Turkey,79,79,10000000,2,3,High/ Low
197,150418,M. Gómez,33,187.96,88.9,FW,Germany,79,79,10000000,3,3,Medium/ Low
198,152908,A. Young,33,175.26,64.9,DF,England,79,79,7000000,2,4,High/ Medium
199,157301,R. Babel,32,185.42,84.8,MF,Netherlands,79,79,11000000,3,4,Medium/ Low
200,158121,B. Costil,31,187.96,88,GK,France,79,79,8000000,2,1,Medium/ Medium
201,158232,S. Kalou,33,182.88,77.1,MF,Ivory Coast,79,79,10000000,3,4,Medium/ Low
202,159065,E. Lavezzi,33,172.72,74.8,FW,Argentina,79,79,8000000,3,4,High/ Low
203,161648,H. Ben Arfa,32,152.4,73.9,MF,France,79,79,11000000,3,5,Medium/ Low
204,163155,B. Foster,35,193.04,89.8,GK,England,79,79,3000000,2,1,Medium/ Medium
205,163264,T. Heaton,32,187.96,92.1,GK,England,79,79,7000000,2,1,Medium/ Medium
206,164029,Charles,34,152.4,74.8,FW,Brazil,79,79,6500000,1,4,High/ High
207,164468,G. Cahill,33,193.04,88,DF,England,79,79,7000000,3,2,Medium/ Medium
208,213655,A. Iwobi,22,185.42,74.8,MF,Nigeria,78,84,14000000,1,4,Medium/ Medium
209,213666,R. Loftus-Cheek,23,190.5,88,MF,England,78,85,14500000,1,4,Medium/ Low
210,213732,A. Selikhov,24,187.96,84.8,GK,Russia,78,82,9500000,1,1,Medium/ Medium
211,214026,J. Mojica,26,185.42,73,MF,Colombia,78,81,10500000,1,3,High/ Low
212,214394,W. Barrios,25,152.4,71.2,MF,Colombia,78,83,,1,3,Medium/ High
213,214766,C. Izquierdoz,30,185.42,88.9,DF,Argentina,78,78,8000000,1,2,Medium/ High
214,215223,W. Benítez,26,190.5,91.2,GK,Argentina,78,82,9500000,1,1,Medium/ Medium
215,215466,N. Maksimović,27,193.04,87.1,DF,Serbia,78,81,11000000,2,2,Medium/ High
216,215716,A. Mitrović,24,187.96,82.1,FW,Serbia,78,83,14000000,1,3,Medium/ Medium
217,216065,M. Sportiello,26,193.04,87.1,GK,Italy,78,80,8500000,2,1,Medium/ Medium
218,216189,Capa,26,175.26,74.8,DF,Spain,78,81,10500000,1,3,High/ High
219,216373,Marcelo Goiano,31,175.26,68.9,DF,Brazil,78,78,7500000,1,3,Medium/ High
220,216393,Y. Tielemans,21,175.26,72.1,MF,Belgium,78,87,16000000,2,4,Medium/ Medium
221,216435,S. Lobotka,24,170.18,64,MF,Slovakia,78,84,14000000,1,4,Medium/ High
222,216497,M. Philipp,25,182.88,78.9,FW,Germany,78,83,14000000,2,4,High/ Medium
223,216643,L. Dubois,24,152.4,73,DF,France,78,82,11000000,1,3,Medium/ Medium
224,199915,L. Dunk,27,193.04,88,DF,England,78,81,11000000,1,2,Medium/ High
225,200607,C. Schindler,28,187.96,77.1,DF,Germany,78,80,10000000,1,2,Medium/ Medium
226,200641,Y. Konoplyanka,29,152.4,78,MF,Ukraine,78,78,10500000,2,4,Medium/ Medium
227,200677,Pedro Mendes,28,185.42,78,DF,Portugal,78,80,10000000,1,2,Medium/ Medium
228,201046,R. Saponara,27,182.88,73,MF,Italy,78,78,11000000,2,4,High/ Medium
229,201510,L. Kurzawa,26,182.88,76.2,DF,France,78,81,10500000,2,4,High/ Low
230,201922,M. Hinteregger,26,182.88,83,DF,Austria,78,80,10500000,2,2,High/ Medium
231,202429,D. da Costa,25,187.96,88,DF,Germany,78,80,10500000,1,3,High/ Medium
232,202642,Fernando,27,175.26,79.8,MF,Brazil,78,80,10500000,1,3,Medium/ Medium
233,202750,W. Boly,28,195.58,97.1,DF,France,78,80,10000000,1,2,Medium/ Medium
234,202789,A. Schwolow,26,187.96,83.9,GK,Germany,78,79,8500000,1,1,Medium/ Medium
235,202851,G. Defrel,27,152.4,77.1,FW,France,78,78,11000000,2,4,High/ Medium
236,202935,Álvaro,29,182.88,74.8,DF,Spain,78,79,9500000,1,2,Medium/ High
237,203106,L. Bittencourt,25,170.18,62.1,MF,Germany,78,81,13000000,2,4,Medium/ Medium
238,203299,A. Carrillo,27,154.94,78,MF,Peru,78,78,11000000,2,4,High/ High
239,203362,M. Elyounoussi,24,152.4,69.9,MF,Norway,78,83,14000000,1,4,Medium/ Medium
240,183497,O. Karnezis,33,190.5,81.2,GK,Greece,78,78,6000000,2,1,Medium/ Medium
241,190149,De Marcos,29,182.88,79.8,DF,Spain,78,78,8000000,2,4,High/ Medium
242,193476,R. Cabella,29,170.18,71.2,MF,France,78,78,10500000,2,4,Medium/ Low
243,150724,J. Hart,31,195.58,91.2,GK,England,78,78,6500000,3,1,Medium/ Medium
244,159171,Jurado,32,175.26,72.1,MF,Spain,78,78,8000000,2,3,Medium/ Low
245,186302,E. Hernández,30,170.18,64.9,MF,Mexico,78,78,10000000,1,4,Medium/ Low
246,192445,D. Ginczek,27,190.5,84.8,FW,Germany,78,79,12000000,2,3,High/ Medium
247,199354,Lucas Pérez,30,154.94,73,FW,Spain,78,78,10500000,2,4,Medium/ Medium
248,158133,J. Farfán,34,152.4,83.9,MF,Peru,78,78,6500000,2,4,Medium/ Low
249,172723,A. Begović,31,198.12,83,GK,Bosnia Herzegovina,78,78,6500000,3,1,Medium/ Medium
250,153260,Hilton,41,154.94,78,DF,Brazil,78,78,,2,3,Low/ Medium
251,189606,J. Baumgartlinger,31,182.88,86.2,MF,Austria,78,78,7500000,2,2,Medium/ High
252,178085,Granero,31,154.94,78,MF,Spain,78,78,9500000,2,4,Medium/ Medium
253,173474,Z. Junuzović,31,172.72,72.1,MF,Austria,78,78,9500000,2,3,High/ High
254,172962,V. Moses,28,152.4,77.1,DF,Nigeria,78,78,11000000,2,4,Medium/ Medium
255,158626,M. Debuchy,33,175.26,76.2,DF,France,78,78,5500000,3,3,High/ Medium
256,219145,G. Maripán,24,193.04,83,DF,Chile,77,81,10000000,1,2,Low/ High
257,146952,Iván Cuéllar,34,187.96,76.2,GK,Spain,77,77,3600000,1,1,Medium/ Medium
258,177159,F. Johnson,31,182.88,73.9,MF,United States,77,77,8500000,2,3,Medium/ Medium
259,236295,Aarón Martín,21,154.94,72.1,DF,Spain,77,84,10500000,1,3,High/ Medium
260,229636,G. Pereiro,23,187.96,76.2,MF,Uruguay,77,82,12000000,1,3,Medium/ Low
261,185090,B. Moukandjo,30,154.94,73.9,FW,Cameroon,77,77,9000000,2,4,High/ Low
262,177666,M. Harnik,31,185.42,79.8,FW,Austria,77,77,8000000,2,3,High/ Medium
263,205569,J. Ward-Prowse,24,172.72,66.2,MF,England,77,82,12000000,2,3,Medium/ Medium
264,184575,R. Alessandrini,29,172.72,69.9,MF,France,78,78,10000000,2,4,High/ Medium
265,172287,Manu García,32,182.88,73.9,MF,Spain,78,78,6000000,1,2,Medium/ High
266,190717,M. Antonio,28,152.4,82.1,FW,England,78,78,10500000,2,4,Medium/ Medium
267,184826,Adrien Silva,29,175.26,68.9,MF,Portugal,78,78,10000000,3,3,Medium/ High
268,193011,S. Cook,27,185.42,82.1,DF,England,78,78,8500000,1,2,Medium/ High
269,189682,B. Mee,29,182.88,82.1,DF,England,78,78,8500000,1,2,Medium/ High
270,164082,Adriano,34,172.72,74.8,DF,Brazil,78,78,4000000,2,4,High/ Medium
271,178416,J. Lens,31,152.4,74.8,MF,Netherlands,78,78,10000000,2,4,High/ Medium
272,189250,S. Rondón,29,185.42,98,FW,Venezuela,77,77,9000000,2,3,High/ Medium
273,208450,Andreas Pereira,23,152.4,71.2,MF,Brazil,77,82,11500000,1,4,Medium/ Medium
274,162369,V. Ibišević,34,187.96,82.1,FW,Bosnia Herzegovina,77,77,5500000,2,3,Medium/ Low
275,205632,L. Ocampos,24,187.96,83.9,MF,Argentina,77,82,12000000,2,4,High/ High
276,183871,N. Müller,31,172.72,66.2,MF,Germany,77,77,8500000,2,3,High/ Medium
277,230463,Simão Acunha,31,152.4,71.2,MF,Brazil,77,77,8500000,1,4,High/ Low
278,219455,J. Calleri,25,154.94,77.1,FW,Argentina,77,82,12000000,1,4,High/ Medium
279,215871,A. Jahanbakhsh,25,154.94,78,MF,Iran,77,80,11500000,2,4,High/ High
280,189757,A. Prijović,28,190.5,88,FW,Serbia,77,77,9000000,1,3,High/ Low
281,177723,Fabricio,31,182.88,79.8,GK,Spain,77,77,5500000,1,1,Medium/ Medium
282,213051,M. Elneny,26,154.94,73.9,MF,Egypt,77,79,9000000,1,3,Medium/ High
