player_name,value_euro,predicted_value_euro,age,sliding_tackle,agility,short_passing,interceptions,jumping,positioning,curve,crossing,freekick_accuracy
L. Torreira,"25,000,000","268,560",23,77,85,83,86,52,65,70,74,78
Gonçalo Guedes,"29,000,000","1,231,791",22,30,85,77,50,65,77,76,78,70
G. Lo Celso,"29,999,999","823,837",22,67,82,82,65,64,79,82,75,72
Fabián,"32,000,000","1,195,023",22,75,73,80,77,46,80,75,72,59
F. de Jong,"30,999,999","6,977,492",21,70,84,87,78,76,66,82,75,64
Raphaelito Anjos,"13,999,999","1,196,487",31,13,34,18,23,67,27,9,10,18
Juiano Mestres,"6,500,000","420,299",35,84,61,67,82,91,58,72,40,58
Rosberto Dourado,"16,500,000","2,180,467",31,80,72,82,82,43,58,54,61,57
Arthur,"32,500,000","2,808,394",22,70,79,86,75,78,77,68,70,60
Rodri,"29,000,000","658,897",22,74,69,84,81,69,75,65,63,54
M. Parolo,"8,999,999","729,990",34,82,67,80,80,77,82,67,70,55
M. Kruse,"21,500,000","170,362",30,34,74,84,41,65,85,80,81,69
J. Henderson,"18,000,000","214,584",28,76,68,84,80,79,75,80,81,74
N. Gaitán,"20,999,999","1,327,314",31,43,87,81,40,81,77,88,80,72
M. Arnautović,"21,999,999","1,733,470",29,39,69,78,44,67,83,79,78,72
S. Giovinco,"19,999,999","382,143",32,28,94,80,26,34,83,90,72,93
G. Sigurðsson,"22,499,999","79,758",29,55,68,85,55,68,79,87,86,86
Giuliano,"22,499,999","6,317,886",28,38,85,82,42,61,81,67,77,71
P. Gulácsi,"18,000,000","2,450,998",28,20,41,29,23,67,11,18,16,11
Luiz Gustavo,"16,500,000","351,921",31,84,65,79,83,76,53,42,63,60
K. Trippier,"18,499,999","39,290,659",28,79,74,79,79,73,75,87,91,83
A. Ramsey,"22,999,999","27,214,373",28,67,73,84,69,66,84,70,75,66
M. Balotelli,"23,499,999","1,577,209",28,20,71,78,30,74,78,78,68,78
Marlos,"20,999,999","1,478,420",30,42,92,81,51,68,77,82,76,72
Taison,"20,999,999","1,799,579",31,40,90,77,49,62,74,52,73,73
G. Bonaventura,"21,999,999","206,865",29,68,77,84,72,69,78,78,82,78
G. Kondogbia,"21,999,999","773,779",26,82,76,81,79,81,77,62,65,56
J. Roussillon,"18,000,000","4,442,204",26,79,77,77,77,73,71,75,81,56
S. Zaza,"20,999,999","268,421",27,50,76,71,40,89,83,71,52,56
S. Vrsaljko,"15,000,000","584,245",27,77,67,77,80,85,65,70,82,57
C. Kramer,"16,999,999","689,329",28,76,66,80,81,51,70,54,61,51
B. Mendy,"19,999,999","4,903,810",24,81,68,80,79,71,77,80,87,34
M. Sabitzer,"22,499,999","81,001",24,51,75,79,55,75,81,74,70,63
M. Nastasić,"18,499,999","246,197",25,87,65,73,78,81,30,72,46,68
A. Plea,"21,999,999","5,804,868",25,30,79,76,39,75,83,78,78,74
M. Ginter,"18,499,999","399,837",25,77,55,77,80,65,55,44,68,42
Gerard Moreno,"21,999,999","777,861",26,41,70,75,40,73,83,69,61,56
A. Doucouré,"19,499,999","156,988",26,75,60,82,82,72,73,41,68,42
R. Guerreiro,"22,499,999","2,188,426",25,77,88,84,84,63,77,84,85,82
Ricardo Pereira,"18,499,999","1,330,658",25,76,82,80,81,74,75,78,81,45
Samu Castillejo,"22,999,999","3,785,228",24,25,83,80,50,63,80,78,80,75
J. Brandt,"25,000,000","527,882",22,24,82,81,29,63,78,72,77,59
N. Pépé,"21,999,999","3,551,001",23,25,90,72,25,68,78,79,69,65
S. Bergwijn,"20,499,999","123,092",21,26,79,76,30,71,77,76,73,66
A. Onana,"14,500,000","593,060",22,14,68,33,15,80,11,30,15,17
F. Balbuena,"15,500,000","322,898",27,76,42,71,80,73,27,30,33,34
André Silva,"20,999,999","417,219",23,35,77,69,55,84,84,69,59,33
Oyarzabal,"20,999,999","554,772",21,30,70,80,29,58,80,69,81,71
Everton Andrão,"4,500,000","153,975",35,77,78,78,79,67,54,48,75,73
Welington Dano,"10,500,000","950,833",31,81,83,78,77,71,72,83,82,52
Richarlison,"20,999,999","4,831,543",21,36,78,75,35,80,79,71,69,65
Odriozola,"18,499,999","329,931",23,80,78,77,75,71,68,69,81,30
Carlos Soler,"20,999,999","1,003,604",22,56,75,84,68,59,76,69,79,82
H. Aouar,"23,499,999","254,694",20,63,81,84,66,61,73,78,68,59
T. Ndombele,"22,499,999","263,102",22,69,83,83,73,63,70,67,67,63
M. Gómez,"20,499,999","133,360",22,23,45,76,21,73,83,68,56,53
Joaquín,"6,000,000","337,934",37,39,72,83,35,33,81,86,86,77
J. Mathieu,"5,499,999","937,523",35,82,52,73,82,65,58,82,79,79
J. Matip,"15,000,000","473,683",27,78,55,77,83,66,51,63,54,22
S. Aurier,"15,500,000","7,727,994",26,82,73,78,79,94,72,69,83,30
J. Guilavogui,"13,999,999","129,644",28,82,53,78,83,76,61,42,52,53
A. Oxlade-Chamberlain,"19,499,999","390,868",25,66,81,80,72,69,79,73,78,60
M. Ryan,"12,999,999","61,435",26,17,53,40,23,78,10,23,23,12
V. Aboubakar,"17,499,999","2,793,501",27,19,72,75,33,78,80,80,57,67
L. Muriel,"17,499,999","463,726",27,22,85,75,16,62,81,77,62,60
D. Vida,"11,500,000","793,268",29,83,64,66,81,79,43,44,65,35
Ibai Gómez,"15,000,000","783,335",29,55,79,77,45,66,78,85,79,81
Cristian Tello,"15,999,999","116,547",27,26,82,77,33,72,74,81,78,72
Ismaily,"11,500,000","729,228",29,75,72,81,79,59,82,65,80,50
A. Mandi,"15,500,000","23,967,672",27,84,78,79,84,82,67,67,78,49
C. Tătăruşanu,"8,500,000","526,834",33,12,51,37,26,66,13,11,13,11
J. Murillo,"15,999,999","129,693",26,82,77,68,81,89,45,38,56,26
E. Dier,"16,500,000","119,790",25,83,52,77,81,77,53,60,67,74
J. Butland,"13,999,999","814,968",25,11,55,40,27,76,16,12,11,14
S. Sorrentino,"999,999","470,320",39,13,52,36,25,74,10,14,11,11
W. Rooney,"12,000,000","22,012,884",33,40,66,81,56,74,80,84,73,83
Moyá,"6,000,000","285,486",34,14,54,31,11,62,10,16,11,12
L. López,"6,999,999","11,702,597",36,34,84,72,52,84,82,78,66,73
J. Mascherano,"4,500,000","1,751,858",34,82,72,79,85,80,51,63,63,50
Raffael,"9,499,999","527,160",33,31,83,83,45,70,82,79,78,77
Diego López,"1,999,999","964,695",37,14,48,28,16,68,11,10,11,11
Juanfran,"5,499,999","1,453,141",34,80,74,77,76,68,68,80,81,59
I. Denisov,"4,500,000","2,824,746",34,73,77,82,80,70,64,62,66,54
I. Akinfeev,"8,500,000","509,726",32,13,53,23,17,62,11,19,19,13
A. Gignac,"12,000,000","565,603",33,23,66,71,51,72,81,77,72,70
Manuel Fernandes,"11,500,000","2,746,060",33,68,82,80,68,74,75,79,77,70
Dante,"4,500,000","416,783",35,80,52,74,79,65,41,51,58,55
L. Perrin,"8,500,000","954,207",33,82,63,74,83,81,58,59,65,51
Borja Valero,"8,999,999","2,601,699",34,62,72,89,70,67,69,78,78,76
A. Januzaj,"17,499,999","524,263",24,22,85,79,36,61,76,80,82,65
J. Hector,"10,000,000","400,326",28,79,67,78,81,66,62,65,79,65
M. Dabbur,"15,500,000","399,809",26,27,77,73,19,89,82,74,50,66
Óliver Torres,"16,500,000","3,043,336",24,62,78,82,67,62,76,77,73,64
Y. Bounou,"10,500,000","783,418",27,15,38,39,12,48,10,12,15,19
J. Hofmann,"15,000,000","29,620,270",26,40,78,79,57,61,78,69,81,71
Otávio,"17,499,999","2,253,596",24,27,86,77,46,57,76,74,78,72
Jonny,"13,500,000","3,147,854",25,82,72,74,80,75,65,62,78,54
L. Dendoncker,"14,500,000","272,393",23,76,59,79,78,67,71,72,75,71
R. Zobnin,"15,000,000","19,395,489",25,76,70,81,75,63,64,65,69,65
Ricardo Horta,"16,999,999","746,838",24,35,85,76,55,62,81,78,77,70
Thiago Mendes,"13,500,000","1,635,159",26,76,78,82,76,68,70,67,67,77
J. Lerma,"13,999,999","828,458",24,81,75,77,80,84,58,66,66,65
J. Gbamin,"14,500,000","489,396",23,71,68,78,79,77,65,62,69,60
I. Marcone,"11,500,000","201,720",28,71,60,80,76,35,56,59,58,60
D. Benedetto,"12,999,999","3,706,782",28,25,77,67,28,86,82,67,55,60
M. Hitz,"7,999,999","537,564",31,14,41,29,23,67,8,15,12,17
N. Clyne,"11,500,000","808,371",27,82,79,75,79,69,72,64,78,39
A. Ljajić,"15,000,000","473,339",27,35,81,78,32,63,73,80,72,83
J. Guðmundsson,"12,999,999","228,616",28,55,76,78,62,78,74,79,82,77
Elkeson,"12,999,999","2,006,510",29,35,77,75,56,76,77,76,67,80
Kike García,"12,999,999","568,374",29,21,65,72,37,74,82,42,56,46
Escudero,"10,000,000","566,097",29,80,74,77,81,74,67,69,81,69
Herrerín,"7,999,999","378,589",31,12,49,16,23,67,16,15,14,12
Víctor Ruiz,"10,000,000","816,064",30,82,56,71,79,78,39,67,54,46
G. Medel,"9,499,999","443,431",31,76,78,79,81,82,58,35,50,45
Y. Belhanda,"12,499,999","643,853",29,55,85,78,66,77,70,78,79,78
Hugo Mallo,"10,500,000","1,346,846",27,82,77,71,81,82,46,78,83,38
Borja García,"12,999,999","44,050",28,59,75,82,66,72,77,67,70,54
W. Khazri,"13,500,000","291,915",28,30,80,77,61,44,81,80,79,79
P. Jones,"12,000,000","154,341",27,81,52,73,80,82,42,38,60,35
A. Finnbogason,"12,499,999","3,624,052",30,34,67,71,20,66,86,56,37,51
Vinícius Júnior,"20,499,999","72,217,953",18,18,93,73,26,74,76,77,71,62
Junior Firpo,"12,499,999","1,720,309",22,79,65,76,75,64,76,65,77,43
E. Belözoğlu,"3,999,999","558,833",38,60,68,85,66,72,63,83,80,80
Fernando Torres,"6,500,000","31,126",34,18,70,77,20,75,80,80,68,63
B. Schweinsteiger,"5,000,000","84,382",34,73,61,82,73,71,73,82,76,74
B. Yılmaz,"10,000,000","267,030",33,26,72,66,33,66,85,60,68,70
M. Gómez,"10,000,000","1,818,764",33,20,62,68,20,76,83,68,60,36
A. Young,"6,999,999","107,808",33,75,76,78,77,55,68,86,83,75
R. Babel,"11,000,000","377,979",32,21,77,71,34,82,77,77,72,50
B. Costil,"7,999,999","128,082",31,14,38,35,22,49,12,12,11,11
S. Kalou,"10,000,000","5,355,737",33,27,76,79,32,76,83,78,67,62
E. Lavezzi,"7,999,999","618,848",33,37,87,80,31,82,82,83,77,79
H. Ben Arfa,"11,000,000","949,183",32,21,82,78,36,74,72,76,70,73
B. Foster,"3,000,000","1,077,211",35,14,45,36,23,75,14,15,15,17
T. Heaton,"6,999,999","25,461",32,13,54,32,24,73,12,15,17,13
Charles,"6,500,000","1,703,852",34,27,86,69,18,91,83,78,51,53
G. Cahill,"6,999,999","1,094,896",33,79,49,63,77,80,45,48,28,27
A. Iwobi,"13,999,999","794,594",22,23,78,81,24,47,75,63,69,40
R. Loftus-Cheek,"14,500,000","13,292,476",23,61,76,83,57,59,79,58,62,57
A. Selikhov,"9,499,999","449,496",24,18,35,33,25,70,15,14,16,15
J. Mojica,"10,500,000","353,802",26,79,74,78,72,73,69,74,79,68
C. Izquierdoz,"7,999,999","503,752",30,78,36,66,80,85,35,32,44,26
W. Benítez,"9,499,999","6,797,426",26,17,43,26,21,57,18,19,12,17
N. Maksimović,"11,000,000","472,625",27,79,49,59,80,67,29,29,45,23
A. Mitrović,"13,999,999","962,959",24,13,67,70,14,82,82,39,29,52
M. Sportiello,"8,500,000","804,187",26,13,55,32,29,68,18,14,13,21
Capa,"10,500,000","910,011",26,80,75,73,73,77,76,55,77,58
Marcelo Goiano,"7,499,999","209,213",31,77,77,75,77,72,69,68,78,34
Y. Tielemans,"15,999,999","383,366",21,69,67,78,71,65,74,84,76,74
S. Lobotka,"13,999,999","500,220",24,68,78,84,74,82,67,68,68,55
M. Philipp,"13,999,999","2,133,960",25,39,83,78,39,59,78,68,66,65
L. Dubois,"11,000,000","314,101",24,82,69,79,76,69,69,68,77,56
L. Dunk,"11,000,000","1,263,180",27,78,47,71,78,72,30,23,32,39
C. Schindler,"10,000,000","1,225,709",28,78,56,68,81,74,27,45,49,33
Y. Konoplyanka,"10,500,000","1,289,118",29,27,83,77,37,62,76,83,72,80
Pedro Mendes,"10,000,000","195,425",28,78,55,66,80,74,25,48,25,52
R. Saponara,"11,000,000","463,100",27,30,72,80,30,64,78,80,74,70
L. Kurzawa,"10,500,000","464,566",26,79,75,80,74,82,76,73,79,53
M. Hinteregger,"10,500,000","108,572",26,80,62,63,76,85,61,58,53,63
D. da Costa,"10,500,000","199,769",25,74,68,75,74,81,67,64,79,49
Fernando,"10,500,000","666,087",27,77,74,81,80,80,47,82,60,84
W. Boly,"10,000,000","173,120",28,78,55,71,76,62,43,43,50,35
A. Schwolow,"8,500,000","34,004,157",26,9,40,26,13,72,10,13,9,16
G. Defrel,"11,000,000","63,616",27,18,82,67,37,42,81,67,70,69
Álvaro,"9,499,999","1,273,512",29,81,68,69,79,92,45,47,51,45
L. Bittencourt,"12,999,999","2,747,829",25,55,92,79,52,72,70,77,73,70
A. Carrillo,"11,000,000","562,894",27,25,80,73,34,73,74,78,78,55
M. Elyounoussi,"13,999,999","520,759",24,44,79,80,36,81,71,73,77,64
O. Karnezis,"6,000,000","5,443,427",33,24,45,22,23,64,10,11,19,11
De Marcos,"7,999,999","1,389,137",29,74,76,75,76,78,78,77,80,53
R. Cabella,"10,500,000","508,483",29,32,91,79,56,41,69,75,73,78
J. Hart,"6,500,000","242,472",31,13,50,34,25,69,14,17,14,13
Jurado,"7,999,999","5,841,205",32,27,80,80,40,65,78,80,79,78
E. Hernández,"10,000,000","384,310",30,52,80,79,42,70,70,75,80,67
D. Ginczek,"12,000,000","833,358",27,19,54,64,29,64,79,49,31,58
Lucas Pérez,"10,500,000","174,198",30,26,70,75,38,63,78,82,74,77
J. Farfán,"6,500,000","442,770",34,29,75,73,39,76,75,82,78,75
A. Begović,"6,500,000","1,463,036",31,12,52,26,21,38,11,17,14,15
J. Baumgartlinger,"7,499,999","109,284",31,75,65,81,77,80,62,47,63,49
Granero,"9,499,999","416,333",31,62,68,82,74,53,71,80,79,78
Z. Junuzović,"9,499,999","298,258",31,63,86,77,75,68,70,88,83,82
V. Moses,"11,000,000","117,918",28,71,76,76,73,66,76,75,76,61
M. Debuchy,"5,499,999","431,588",33,78,74,75,77,81,66,74,77,61
G. Maripán,"10,000,000","1,060,932",24,73,31,66,77,68,28,29,41,27
Iván Cuéllar,"3,599,999","3,613,228",34,15,57,23,18,65,12,25,35,20
F. Johnson,"8,500,000","1,353,038",31,73,73,76,65,69,74,72,76,57
Aarón Martín,"10,500,000","467,583",21,75,69,77,78,61,60,71,80,54
G. Pereiro,"12,000,000","728,154",23,36,74,75,30,70,75,74,73,73
B. Moukandjo,"8,999,999","1,309,021",30,19,83,69,32,71,77,71,75,71
M. Harnik,"7,999,999","1,368,588",31,42,69,72,39,90,78,73,68,52
J. Ward-Prowse,"12,000,000","677,613",24,60,75,84,65,66,65,88,89,83
R. Alessandrini,"10,000,000","1,457,370",29,34,93,72,33,61,75,78,76,76
Manu García,"6,000,000","2,213,720",32,75,66,77,79,79,61,52,65,54
M. Antonio,"10,500,000","459,244",28,53,84,73,40,89,76,66,74,60
Adrien Silva,"10,000,000","511,150",29,72,67,81,78,53,73,79,77,74
S. Cook,"8,500,000","5,405,819",27,77,55,70,78,75,21,31,41,30
B. Mee,"8,500,000","203,299",29,78,63,59,79,93,38,45,60,31
Adriano,"3,999,999","12,243,776",34,78,77,79,78,75,77,84,81,69
J. Lens,"10,000,000","3,103,974",31,32,75,74,23,74,71,71,79,68
S. Rondón,"8,999,999","930,028",29,13,66,68,33,71,77,53,48,52
Andreas Pereira,"11,500,000","809,926",23,63,79,80,70,62,71,80,78,80
V. Ibišević,"5,499,999","1,916,395",34,22,60,77,30,71,82,73,65,56
L. Ocampos,"12,000,000","387,200",24,48,77,75,67,76,71,69,75,65
N. Müller,"8,500,000","5,703,964",31,37,85,71,48,78,75,65,75,61
Simão Acunha,"8,500,000","930,261",31,22,81,79,45,64,67,87,74,61
J. Calleri,"12,000,000","590,029",25,32,72,66,37,83,79,57,56,35
A. Jahanbakhsh,"11,500,000","194,505",25,40,76,72,42,87,72,64,71,46
A. Prijović,"8,999,999","21,676,463",28,29,54,64,31,74,80,52,45,43
Fabricio,"5,499,999","14,363,697",31,11,57,44,26,73,14,19,15,15
M. Elneny,"8,999,999","257,605",26,72,65,78,76,69,63,69,66,56
Jorge Meré,"11,500,000","10,044,368",21,77,67,74,79,81,25,34,30,33
Wilson Eduardo,"9,499,999","2,158,166",28,23,73,73,24,64,79,82,75,71
Álex Remiro,"8,500,000","542,575",23,18,69,29,20,61,11,14,12,17
T. Gutiérrez,"5,499,999","719,798",33,20,72,73,25,80,81,67,70,63
A. Pyatov,"3,599,999","1,353,288",34,10,56,29,23,73,14,14,13,16
Diego Llorente,"10,500,000","678,481",25,78,65,76,80,79,43,30,55,35
I. Abate,"6,000,000","1,757,940",32,75,75,76,75,75,74,69,75,44
T. Vermaelen,"5,000,000","870,370",33,80,61,80,73,90,41,61,63,64
N. Füllkrug,"10,500,000","3,624,872",26,17,63,67,24,67,82,69,63,69
Pedro Obiang,"8,999,999","78,971",26,77,68,77,76,72,60,56,68,62
Wallace,"10,000,000","2,743,789",24,78,46,57,81,71,25,33,34,29
Djaniny,"10,500,000","3,572,025",27,21,76,70,47,71,78,64,63,53
Roberto,"5,000,000","1,560,461",33,18,68,39,24,74,17,14,15,14
S. Tasci,"6,000,000","1,262,104",31,78,59,76,74,81,39,37,50,45
L. Schøne,"6,500,000","3,169,674",32,48,68,83,79,77,66,85,81,86
J. Defoe,"4,099,999","4,787,568",36,11,77,66,19,68,85,63,54,68
V. Babacan,"6,999,999","1,326,361",30,15,58,34,27,74,17,16,12,12
O. Ighalo,"8,999,999","28,260,583",29,41,75,61,30,80,84,64,49,53
A. Schürrle,"9,499,999","131,541",28,52,74,75,39,69,80,80,76,70
E. Skhiri,"10,000,000","661,803",23,72,74,75,85,75,56,72,71,55
W. Anton,"11,000,000","383,204",22,76,62,71,78,71,52,37,42,39
R. Palacio,"3,200,000","2,030,568",37,30,79,76,39,76,80,78,70,67
K. Lasagna,"11,500,000","35,352",26,18,81,66,30,76,80,66,60,42
D. Cvitanich,"4,699,999","1,992,659",34,34,72,73,33,81,81,67,64,66
S. De Maio,"6,000,000","1,423,685",32,78,54,50,78,83,19,23,11,39
S. Terodde,"8,500,000","1,049,022",31,19,54,65,23,65,79,38,50,44
J. De Guzmán,"7,999,999","374,454",31,50,79,80,63,78,69,79,79,78
R. Civelli,"2,700,000","505,187",35,67,33,64,73,72,48,37,53,47
Pablo Maffeo,"10,500,000","3,975,878",21,79,82,76,69,61,67,71,78,34
Cédric,"8,500,000","527,759",27,76,74,75,74,72,71,66,70,64
K. Papadopoulos,"8,999,999","43,469",27,79,53,53,64,91,35,40,44,43
A. Szymanowski,"8,500,000","216,332",30,45,83,74,28,52,75,69,78,57
J. Kucka,"7,499,999","61,536",32,78,72,76,78,90,73,66,68,69
P. Jagielka,"2,099,999","635,836",36,76,45,70,77,81,48,55,55,31
M. Benassi,"11,500,000","2,375,160",24,70,74,80,72,68,76,68,70,64
P. Jansson,"8,500,000","363,193",28,75,53,68,75,54,28,49,29,40
B. Espinosa,"6,999,999","920,216",29,75,47,74,77,75,33,51,51,42
José Sá,"8,500,000","479,017",26,15,60,30,18,70,17,12,18,21
M. Sels,"7,499,999","7,116,310",27,14,36,32,13,70,18,17,16,17
Yuri Berchiche,"6,999,999","1,624,048",29,80,76,70,69,85,49,77,76,55
R. Borré,"12,499,999","2,183,635",23,22,82,71,39,81,81,79,63,67
Paulinho,"11,000,000","415,206",26,29,64,68,30,80,80,80,64,35
C. Piccini,"8,999,999","14,480,932",26,78,66,71,78,70,66,64,73,37
B. André,"8,999,999","348,709",28,71,73,80,73,85,70,68,72,46
Barragán,"6,000,000","76,724",31,80,66,75,78,71,66,64,77,51
M. Samatta,"11,500,000","274,898",26,13,79,62,18,84,80,65,63,57
I. Diop,"12,000,000","2,023,598",22,80,46,64,78,73,38,32,37,34
M. Lowton,"6,500,000","904,728",29,76,69,74,76,77,70,77,81,46
T. Hernández,"11,000,000","3,375,193",21,79,76,76,69,62,58,63,75,64
Juanpe,"8,500,000","1,048,774",27,78,32,79,75,70,32,28,35,35
K. Tete,"10,000,000","2,078,605",23,83,66,73,75,77,60,54,72,34
B. Džemaili,"6,500,000","179,874",32,69,68,78,69,59,77,79,75,70
André André,"8,999,999","1,298,515",29,65,74,80,76,70,76,78,72,61
Balenziaga,"5,499,999","464,751",31,74,70,70,74,78,54,76,78,33
V. Behrami,"3,099,999","1,479,035",33,76,70,74,74,70,66,70,68,68
D. Reyes,"7,999,999","405,406",26,79,68,77,79,70,44,45,49,36
Caiuby,"7,499,999","621,450",30,22,73,72,49,91,75,68,71,49
S. Doumbia,"7,499,999","194,357",31,34,70,70,29,82,74,67,46,69
João Félix,"13,999,999","526,864",19,35,84,70,38,78,76,75,65,51
L. López,"6,000,000","505,059",29,75,64,66,77,84,38,37,33,32
Mario Suárez,"6,500,000","3,640,363",32,69,54,79,78,58,59,66,64,70
J. Lössl,"6,000,000","323,194",30,15,32,35,20,51,10,14,14,13
G. Castro,"6,500,000","243,340",31,68,80,79,75,73,73,79,76,73
M. Phillips,"7,999,999","18,518,596",27,34,78,68,32,54,71,78,80,48
Gabriel Boschilia,"10,500,000","1,145,063",23,56,79,75,27,59,68,78,69,84
Wu Lei,"8,999,999","2,227,669",27,31,79,74,23,89,78,67,68,69
N. Blandi,"7,999,999","2,856,344",29,27,76,68,43,84,83,55,55,54
L. Kalinić,"6,500,000","2,572,569",28,17,26,18,23,58,7,18,15,13
F. Fernández,"6,000,000","512,658",30,77,48,68,76,76,36,49,23,40
J. Martínez,"6,999,999","1,177,861",32,33,68,67,47,77,74,70,56,46
Emerson,"8,999,999","104,906",24,70,75,75,76,67,75,53,78,71
Rômulo,"6,500,000","2,590,428",31,72,77,76,74,67,74,77,77,76
C. Benteke,"7,999,999","864,886",28,18,66,64,29,82,73,60,58,64
